SymbolSet,Entity,EntityType,EntitySubType,Code,GeometryType
01,"Military",,,110000,POINT
01,"Military","Fixed-Wing",,110100,POINT
01,"Military","Fixed-Wing","Medical Evacuation (MEDEVAC)",110101,POINT
01,"Military","Fixed-Wing","Attack/Strike",110102,POINT
01,"Military","Fixed-Wing","Bomber",110103,POINT
01,"Military","Fixed-Wing","Fighter",110104,POINT
01,"Military","Fixed-Wing","Fighter/Bomber",110105,POINT
01,"Military","Fixed-Wing","Cargo",110107,POINT
01,"Military","Fixed-Wing","Electronic/Combat (EC)/Jammer",110108,POINT
01,"Military","Fixed-Wing","Tanker",110109,POINT
01,"Military","Fixed-Wing","Patrol",110110,POINT
01,"Military","Fixed-Wing","Reconnaissance",110111,POINT
01,"Military","Fixed-Wing","Trainer",110112,POINT
01,"Military","Fixed-Wing","Utility",110113,POINT
01,"Military","Fixed-Wing","VSTOL",110114,POINT
01,"Military","Fixed-Wing","Airborne Command Post (ACP)",110115,POINT
01,"Military","Fixed-Wing","Airborne Early Warning (AEW)",110116,POINT
01,"Military","Fixed-Wing","Antisurface Warfare (ASUW)",110117,POINT
01,"Military","Fixed-Wing","Antisubmarine Warfare (ASW)",110118,POINT
01,"Military","Fixed-Wing","Communications",110119,POINT
01,"Military","Fixed-Wing","Combat Search and Rescue (CSAR)",110120,POINT
01,"Military","Fixed-Wing","Electronic Support (ES)",110121,POINT
01,"Military","Fixed-Wing","Government",110122,POINT
01,"Military","Fixed-Wing","Mine Countermeasures (MCM)",110123,POINT
01,"Military","Fixed-Wing","Personnel Recovery",110124,POINT
01,"Military","Fixed-Wing","Search and Rescue",110125,POINT
01,"Military","Fixed-Wing","Special Operations Forces",110126,POINT
01,"Military","Fixed-Wing","Ultra Light",110127,POINT
01,"Military","Fixed-Wing","Photographic Reconnaissance",110128,POINT
01,"Military","Fixed-Wing","Very Important Person (VIP)",110129,POINT
01,"Military","Fixed-Wing","Suppression of Enemy Air Defense",110130,POINT
01,"Military","Fixed-Wing","Passenger",110131,POINT
01,"Military","Fixed-Wing","Escort",110132,POINT
01,"Military","Fixed-Wing","Electronic Attack (EA)",110133,POINT
01,"Military","Rotary-Wing",,110200,POINT
01,"Military","Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV)",,110300,POINT
01,"Military","Vertical-Takeoff UAV (VT-UAV)",,110400,POINT
01,"Military","Lighter Than Air",,110500,POINT
01,"Military","Airship",,110600,POINT
01,"Military","Tethered Lighter Than Air",,110700,POINT
01,"Civilian",,,120000,POINT
01,"Civilian","Fixed-Wing",,120100,POINT
01,"Civilian","Rotary-Wing",,120200,POINT
01,"Civilian","Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV)",,120300,POINT
01,"Civilian","Lighter Than Air",,120400,POINT
01,"Civilian","Airship",,120500,POINT
01,"Civilian","Tethered Lighter Than Air",,120600,POINT
01,"Weapon",,,130000,POINT
01,"Weapon","Bomb",,130100,POINT
01,"Weapon","Decoy",,130200,POINT
01,"Manual Track",,,140000,POINT
