Name,Value
"Air : Modifier 1 : Attack/Strike",01011
"Air : Modifier 1 : Bomber",01021
"Air : Modifier 1 : Cargo",01031
"Air : Modifier 1 : Fighter",01041
"Air : Modifier 1 : Interceptor",01051
"Air : Modifier 1 : Tanker",01061
"Air : Modifier 1 : Utility",01071
"Air : Modifier 1 : VSTOL/VTOL",01081
"Air : Modifier 1 : Passenger",01091
"Air : Modifier 1 : Ultra Light",01101
"Air : Modifier 1 : Airborne Command Post (ACP)",01111
"Air : Modifier 1 : Airborne Early Warning (AEW)",01121
"Air : Modifier 1 : Government",01131
"Air : Modifier 1 : Medical Evacuation (MEDEVAC)",01141
"Air : Modifier 1 : Escort",01151
"Air : Modifier 1 : Electronic Combat (EC)/Jammer",01161
"Air : Modifier 1 : Patrol",01171
"Air : Modifier 1 : Reconnaissance",01181
"Air : Modifier 1 : Trainer",01191
"Air : Modifier 1 : Photographic (Reconnaissance)",01201
"Air : Modifier 1 : Personnel Recovery",01211
"Air : Modifier 1 : Antisubmarine Warfare",01221
"Air : Modifier 1 : Communications",01231
"Air : Modifier 1 : Electronic Support (ES)",01241
"Air : Modifier 1 : Mine Countermeasures (MCM)",01251
"Air : Modifier 1 : Search and Rescue",01261
"Air : Modifier 1 : Special Operations Forces",01271
"Air : Modifier 1 : Surface Warfare",01281
"Air : Modifier 1 : Very Important Person (VIP) Transport",01291
"Air : Modifier 1 : Combat Search and Rescue (CSAR)",01301
"Air : Modifier 1 : Suppression of Enemy Air Defenses",01311
"Air : Modifier 1 : Antisurface Warfare",01321
"Air : Modifier 1 : Fighter/Bomber",01331
"Air : Modifier 1 : Intensive Care",01341
"Air : Modifier 1 : Electronic Attack (EA)",01351
"Air : Modifier 1 : Multimission",01361
"Air : Modifier 1 : Hijacking",01371
"Air : Modifier 1 : ASW Helo - LAMPS",01381
"Air : Modifier 1 : ASW Helo – SH-60R",01391
"Air : Modifier 2 : Heavy",01012
"Air : Modifier 2 : Medium",01022
"Air : Modifier 2 : Light",01032
"Air : Modifier 2 : Boom-only",01042
"Air : Modifier 2 : Drogue-only",01052
"Air : Modifier 2 : Boom and Drogue",01062
"Air : Modifier 2 : Close Range",01072
"Air : Modifier 2 : Short Range",01082
"Air : Modifier 2 : Medium Range",01092
"Air : Modifier 2 : Long Range",01102
"Air : Modifier 2 : Downlinked",01112
