Name,Value
"Air : Modifier 1 : Attack/Strike",01011
"Air : Modifier 1 : Bomber",01021
"Air : Modifier 1 : Cargo",01031
"Air : Modifier 1 : Fighter",01041
"Air : Modifier 1 : Interceptor",01051
"Air : Modifier 1 : Tanker",01061
"Air : Modifier 1 : Utility",01071
"Air : Modifier 1 : VSTOL/VTOL",01081
"Air : Modifier 1 : Passenger",01091
"Air : Modifier 1 : Ultra Light",01101
"Air : Modifier 1 : Airborne Command Post (ACP)",01111
"Air : Modifier 1 : Airborne Early Warning (AEW)",01121
"Air : Modifier 1 : Government",01131
"Air : Modifier 1 : Medical Evacuation (MEDEVAC)",01141
"Air : Modifier 1 : Escort",01151
"Air : Modifier 1 : Electronic Combat (EC)/Jammer",01161
"Air : Modifier 1 : Patrol",01171
"Air : Modifier 1 : Reconnaissance",01181
"Air : Modifier 1 : Trainer",01191
"Air : Modifier 1 : Photographic (Reconnaissance)",01201
"Air : Modifier 1 : Personnel Recovery",01211
"Air : Modifier 1 : Antisubmarine Warfare",01221
"Air : Modifier 1 : Communications",01231
"Air : Modifier 1 : Electronic Support (ES)",01241
"Air : Modifier 1 : Mine Countermeasures (MCM)",01251
"Air : Modifier 1 : Search and Rescue",01261
"Air : Modifier 1 : Special Operations Forces",01271
"Air : Modifier 1 : Surface Warfare",01281
"Air : Modifier 1 : Very Important Person (VIP) Transport",01291
"Air : Modifier 1 : Combat Search and Rescue (CSAR)",01301
"Air : Modifier 1 : Suppression of Enemy Air Defenses",01311
"Air : Modifier 1 : Antisurface Warfare",01321
"Air : Modifier 1 : Fighter/Bomber",01331
"Air : Modifier 1 : Intensive Care",01341
"Air : Modifier 1 : Electronic Attack (EA)",01351
"Air : Modifier 1 : Multimission",01361
"Air : Modifier 1 : Hijacking",01371
"Air : Modifier 1 : ASW Helo - LAMPS",01381
"Air : Modifier 1 : ASW Helo – SH-60R",01391
"Air : Modifier 2 : Heavy",01012
"Air : Modifier 2 : Medium",01022
"Air : Modifier 2 : Light",01032
"Air : Modifier 2 : Boom-only",01042
"Air : Modifier 2 : Drogue-only",01052
"Air : Modifier 2 : Boom and Drogue",01062
"Air : Modifier 2 : Close Range",01072
"Air : Modifier 2 : Short Range",01082
"Air : Modifier 2 : Medium Range",01092
"Air : Modifier 2 : Long Range",01102
"Air : Modifier 2 : Downlinked",01112
"Air Missile : Modifier 1 : Air",02011
"Air Missile : Modifier 1 : Surface",02021
"Air Missile : Modifier 1 : Subsurface",02031
"Air Missile : Modifier 1 : Space",02041
"Air Missile : Modifier 1 : Anti-Ballistic",02051
"Air Missile : Modifier 1 : Ballistic",02061
"Air Missile : Modifier 1 : Cruise",02071
"Air Missile : Modifier 1 : Interceptor",02081
"Air Missile : Modifier 2 : Air",02012
"Air Missile : Modifier 2 : Surface",02022
"Air Missile : Modifier 2 : Subsurface",02032
"Air Missile : Modifier 2 : Space",02042
"Air Missile : Modifier 2 : Launched",02052
"Air Missile : Modifier 2 : Missile",02062
"Air Missile : Modifier 2 : Patriot",02072
"Air Missile : Modifier 2 : Standard Missile - 2 (SM-2)",02082
"Air Missile : Modifier 2 : Standard Missile - 6 (SM-6)",02092
"Air Missile : Modifier 2 : Evolved Sea Sparrow Missile (ESSM)",02102
"Air Missile : Modifier 2 : Rolling Airframe Missile (RAM)",02112
"Air Missile : Modifier 2 : Short Range",02122
"Air Missile : Modifier 2 : Medium Range",02132
"Air Missile : Modifier 2 : Intermediate Range",02142
"Air Missile : Modifier 2 : Long Range",02152
"Air Missile : Modifier 2 : Intercontinental",02162
"Space : Modifier 1 : Low Earth Orbit (LEO)",05011
"Space : Modifier 1 : Medium Earth Orbit (MEO)",05021
"Space : Modifier 1 : High Earth Orbit (MEO)",05031
"Space : Modifier 1 : Geosynchronous Orbit (GSO)",05041
"Space : Modifier 1 : Geostationary Orbit (GO)",05051
"Space : Modifier 1 : Molniya Orbit (MO)",05061
"Space : Modifier 2 : Optical",05012
"Space : Modifier 2 : Infrared",05022
"Space : Modifier 2 : Radar",05032
"Space : Modifier 2 : Signal Intelligence (SIGINT)",05042
"Space Missile : Modifier 1 : Ballistic",06011
"Space Missile : Modifier 1 : Space",06021
"Space Missile : Modifier 1 : Interceptor",06031
"Space Missile : Modifier 2 : Short",06012
"Space Missile : Modifier 2 : Medium",06022
"Space Missile : Modifier 2 : Intermediate",06032
"Space Missile : Modifier 2 : Long",06042
"Space Missile : Modifier 2 : Intercontinental",06052
"Space Missile : Modifier 2 : Arrow",06062
"Space Missile : Modifier 2 : Ground-Based Interceptor (GBI)",06072
"Space Missile : Modifier 2 : Patriot",06082
"Space Missile : Modifier 2 : Standard Missile Terminal Phase (SM-T)",06092
"Space Missile : Modifier 2 : Standard Missile - 3 (SM-3)",06102
"Space Missile : Modifier 2 : Terminal High Altitude Area Defense (THAAD)",06112
"Space Missile : Modifier 2 : Space",06122
"Sea Surface : Modifier 1 : Own Ship",30011
"Sea Surface : Modifier 1 : Antiair Warfare",30021
"Sea Surface : Modifier 1 : Antisubmarine Warfare",30031
"Sea Surface : Modifier 1 : Escort",30041
"Sea Surface : Modifier 1 : Electronic Warfare",30051
"Sea Surface : Modifier 1 : Intelligence, Surveillance, Reconnaissance",30061
"Sea Surface : Modifier 1 : Mine Countermeasures",30071
"Sea Surface : Modifier 1 : Missile Defense",30081
"Sea Surface : Modifier 1 : Medical",30091
"Sea Surface : Modifier 1 : Mine Warfare",30101
"Sea Surface : Modifier 1 : Remote Multimission Vehicle (RMV)",30111
"Sea Surface : Modifier 1 : Special Operations Forces (SOF)",30121
"Sea Surface : Modifier 1 : Surface Warfare",30131
"Sea Surface : Modifier 1 : Ballistic Missile",30141
"Sea Surface : Modifier 1 : Guided Missile",30151
"Sea Surface : Modifier 1 : Other Guided Missile",30161
"Sea Surface : Modifier 1 : Torpedo",30171
"Sea Surface : Modifier 1 : Drone Equipped",30181
"Sea Surface : Modifier 1 : Helicopter/VSTOL Equipped",30191
"Sea Surface : Modifier 1 : Ballistic Missile Defense, Shooter",30201
"Sea Surface : Modifier 1 : Ballistic Missile, Long Range Surveillance, and Track (LRST)",30211
"Sea Surface : Modifier 1 : Sea Based X-Band Radar",30221
"Sea Surface : Modifier 1 : Hijacking/Hijacked",30231
"Sea Surface : Modifier 2 : Nuclear Powered",30012
"Sea Surface : Modifier 2 : Heavy",30022
"Sea Surface : Modifier 2 : Light",30032
"Sea Surface : Modifier 2 : Medium",30042
"Sea Surface : Modifier 2 : Dock",30052
"Sea Surface : Modifier 2 : Logistics",30062
"Sea Surface : Modifier 2 : Tank",30072
"Sea Surface : Modifier 2 : Vehicle",30082
"Sea Surface : Modifier 2 : Fast",30092
"Sea Surface : Modifier 2 : Air-Cushioned (US)",30102
"Sea Surface : Modifier 2 : Air-Cushioned (NATO)",30112
"Sea Surface : Modifier 2 : Hydrofoil",30122
"Sea Surface : Modifier 2 : Autonomous Control",30132
"Sea Surface : Modifier 2 : Remotely Piloted",30142
"Sea Surface : Modifier 2 : Expendable",30152
