Name,Value
Air : Military,01110000
Air : Military : Fixed-Wing,01110100
Air : Military : Fixed-Wing : Medical Evacuation (MEDEVAC),01110101
Air : Military : Fixed-Wing : Attack/Strike,01110102
Air : Military : Fixed-Wing : Bomber,01110103
Air : Military : Fixed-Wing : Fighter,01110104
Air : Military : Fixed-Wing : Fighter/Bomber,01110105
Air : Military : Fixed-Wing : Cargo,01110107
Air : Military : Fixed-Wing : Electronic Combat (EC)/Jammer,01110108
Air : Military : Fixed-Wing : Tanker,01110109
Air : Military : Fixed-Wing : Patrol,01110110
Air : Military : Fixed-Wing : Reconnaissance,01110111
Air : Military : Fixed-Wing : Trainer,01110112
Air : Military : Fixed-Wing : Utility,01110113
Air : Military : Fixed-Wing : VSTOL,01110114
Air : Military : Fixed-Wing : Airborne Command Post (ACP),01110115
Air : Military : Fixed-Wing : Airborne Early Warning (AEW),01110116
Air : Military : Fixed-Wing : Antisurface Warfare,01110117
Air : Military : Fixed-Wing : Antisubmarine Warfare,01110118
Air : Military : Fixed-Wing : Communications,01110119
Air : Military : Fixed-Wing : Combat Search and Rescue (CSAR),01110120
Air : Military : Fixed-Wing : Electronic Support (ES),01110121
Air : Military : Fixed-Wing : Government,01110122
Air : Military : Fixed-Wing : Mine Countermeasures (MCM),01110123
Air : Military : Fixed-Wing : Personnel Recovery,01110124
Air : Military : Fixed-Wing : Search and Rescue,01110125
Air : Military : Fixed-Wing : Special Operations Forces,01110126
Air : Military : Fixed-Wing : Ultra Light,01110127
Air : Military : Fixed-Wing : Photographic Reconnaissance,01110128
Air : Military : Fixed-Wing : Very Important Person (VIP),01110129
Air : Military : Fixed-Wing : Suppression of Enemy Air Defense,01110130
Air : Military : Fixed-Wing : Passenger,01110131
Air : Military : Fixed-Wing : Escort,01110132
Air : Military : Fixed-Wing : Electronic Attack (EA),01110133
Air : Military : Rotary-Wing,01110200
Air : Military : Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV),01110300
Air : Military : Vertical-Takeoff UAV (VT-UAV),01110400
Air : Military : Lighter Than Air,01110500
Air : Military : Airship,01110600
Air : Military : Tethered Lighter Than Air,01110700
Air : Civilian,01120000
Air : Civilian : Fixed Wing,01120100
Air : Civilian : Rotary Wing,01120200
Air : Civilian : Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remote Piloted Vehicle (RPV),01120300
Air : Civilian : Lighter Than Air,01120400
Air : Civilian : Airship,01120500
Air : Civilian : Tethered Lighter than Air,01120600
Air : Weapon,01130000
Air : Weapon : Bomb,01130100
Air : Weapon : Decoy,01130200
Air : Manual Track,01140000
