Name,Value
Air : Modifier 1 : Military Aircraft Type : Attack/Strike,01011
Air : Modifier 1 : Military Aircraft Type : Bomber,01021
Air : Modifier 1 : Aircraft Type : Cargo,01031
Air : Modifier 1 : Military Aircraft Type : Fighter,01041
Air : Modifier 1 : Military Aircraft Type : Interceptor,01051
Air : Modifier 1 : Aircraft Type : Tanker,01061
Air : Modifier 1 : Aircraft Type : Utility,01071
Air : Modifier 1 : Aircraft Type : VSTOL/VTOL,01081
Air : Modifier 1 : Aircraft Type : Passenger,01091
Air : Modifier 1 : Aircraft Type : Ultra Light,01101
Air : Modifier 1 : Military Aircraft Type : Airborne Command Post (ACP),01111
Air : Modifier 1 : Military Aircraft Type : Airborne Early Warning (AEW),01121
Air : Modifier 1 : Aircraft Type : Government,01131
Air : Modifier 1 : Mission Area : Medical Evacuation (MEDEVAC),01141
Air : Modifier 1 : Military Mission Area : Escort,01151
Air : Modifier 1 : Military Mission Area : Electronic Combat (EC)/Jammer,01161
Air : Modifier 1 : Mission Area : Patrol,01171
Air : Modifier 1 : Mission Area : Reconnaissance,01181
Air : Modifier 1 : Mission Area : Trainer,01191
Air : Modifier 1 : Mission Area : Photographic (Reconnaissance),01201
Air : Modifier 1 : Mission Area : Personnel Recovery,01211
Air : Modifier 1 : Military Mission Area : Antisubmarine Warfare,01221
Air : Modifier 1 : Mission Area : Communications,01231
Air : Modifier 1 : Military Mission Area : Electronic Support (ES),01241
Air : Modifier 1 : Military Mission Area : Mine Countermeasures (MCM),01251
Air : Modifier 1 : Mission Area : Search and Rescue,01261
Air : Modifier 1 : Military Mission Area : Special Operations Forces,01271
Air : Modifier 1 : Military Mission Area : Surface Warfare,01281
Air : Modifier 1 : Mission Area : Very Important Person (VIP) Transport,01291
Air : Modifier 1 : Military Mission Area : Combat Search and Rescue (CSAR),01301
Air : Modifier 1 : Military Mission Area : Suppression of Enemy Air Defenses,01311
Air : Modifier 1 : Military Mission Area : Antisurface Warfare,01321
Air : Modifier 1 : Military Aircraft Type : Fighter/Bomber,01331
Air : Modifier 1 : Mission Area : Intensive Care,01341
Air : Modifier 1 : Military Mission Area : Electronic Attack (EA),01351
Air : Modifier 1 : Mission Area : Multimission,01361
Air : Modifier 1 : Crime : Hijacking,01371
Air : Modifier 1 : Mission Area : ASW Helo - LAMPS,01381
Air : Modifier 1 : Mission Area : ASW Helo – SH-60R,01391
Air : Modifier 2 : Cargo/Transport Capacity : Heavy,01012
Air : Modifier 2 : Cargo/Transport Capacity : Medium,01022
Air : Modifier 2 : Cargo/Transport Capacity : Light,01032
Air : Modifier 2 : Re-fueling Capability : Boom-Only,01042
Air : Modifier 2 : Re-fueling Capability : Drogue-Only,01052
Air : Modifier 2 : Re-fueling Capability : Boom and Drogue,01062
Air : Modifier 2 : Range : Close Range,01072
Air : Modifier 2 : Range : Short Range,01082
Air : Modifier 2 : Range : Medium Range,01092
Air : Modifier 2 : Range : Long Range,01102
Air : Modifier 2 : Track Link Availability : Downlinked,01112
