Name,Value
Internal : Invalid Symbol,98100000
Air : Military,01110000
Air : Military : Fixed-Wing,01110100
Air : Military : Fixed-Wing : Medical Evacuation (MEDEVAC),01110101
Air : Military : Fixed-Wing : Attack/Strike,01110102
Air : Military : Fixed-Wing : Bomber,01110103
Air : Military : Fixed-Wing : Fighter,01110104
Air : Military : Fixed-Wing : Fighter/Bomber,01110105
Air : Military : Fixed-Wing : Cargo,01110107
Air : Military : Fixed-Wing : Electronic/Combat (EC)/Jammer,01110108
Air : Military : Fixed-Wing : Tanker,01110109
Air : Military : Fixed-Wing : Patrol,01110110
Air : Military : Fixed-Wing : Reconnaissance,01110111
Air : Military : Fixed-Wing : Trainer,01110112
Air : Military : Fixed-Wing : Utility,01110113
Air : Military : Fixed-Wing : VSTOL,01110114
Air : Military : Fixed-Wing : Airborne Command Post (ACP),01110115
Air : Military : Fixed-Wing : Airborne Early Warning (AEW),01110116
Air : Military : Fixed-Wing : Antisurface Warfare (ASUW),01110117
Air : Military : Fixed-Wing : Antisubmarine Warfare (ASW),01110118
Air : Military : Fixed-Wing : Communications,01110119
Air : Military : Fixed-Wing : Combat Search and Rescue (CSAR),01110120
Air : Military : Fixed-Wing : Electronic Support (ES),01110121
Air : Military : Fixed-Wing : Government,01110122
Air : Military : Fixed-Wing : Mine Countermeasures (MCM),01110123
Air : Military : Fixed-Wing : Personnel Recovery,01110124
Air : Military : Fixed-Wing : Search and Rescue,01110125
Air : Military : Fixed-Wing : Special Operations Forces,01110126
Air : Military : Fixed-Wing : Ultra Light,01110127
Air : Military : Fixed-Wing : Photographic Reconnaissance,01110128
Air : Military : Fixed-Wing : Very Important Person (VIP),01110129
Air : Military : Fixed-Wing : Suppression of Enemy Air Defense,01110130
Air : Military : Fixed-Wing : Passenger,01110131
Air : Military : Fixed-Wing : Escort,01110132
Air : Military : Fixed-Wing : Electronic Attack (EA),01110133
Air : Military : Rotary-Wing,01110200
Air : Military : Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV),01110300
Air : Military : Vertical-Takeoff UAV (VT-UAV),01110400
Air : Military : Lighter Than Air,01110500
Air : Military : Airship,01110600
Air : Military : Tethered Lighter Than Air,01110700
Air : Civilian,01120000
Air : Civilian : Fixed-Wing,01120100
Air : Civilian : Rotary-Wing,01120200
Air : Civilian : Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV),01120300
Air : Civilian : Lighter Than Air,01120400
Air : Civilian : Airship,01120500
Air : Civilian : Tethered Lighter Than Air,01120600
Air : Weapon,01130000
Air : Weapon : Bomb,01130100
Air : Weapon : Decoy,01130200
Air : Manual Track,01140000
Air Missile : Missile,02110000
Signals Intelligence - Air : Signal Intercept,51110000
Signals Intelligence - Air : Signal Intercept : Communications,51110100
Signals Intelligence - Air : Signal Intercept : Jammer,51110200
Signals Intelligence - Air : Signal Intercept : Radar,51110300
Cyberspace - Air : Botnet,60110000
Cyberspace - Air : Botnet : Command and Control (C2),60110100
Cyberspace - Air : Botnet : Herder,60110200
Cyberspace - Air : Botnet : Callback Domain,60110300
Cyberspace - Air : Botnet : Zombie,60110400
Cyberspace - Air : Infection,60120000
Cyberspace - Air : Infection : Advanced Persistent Threat (APT),60120100
Cyberspace - Air : Infection : Advanced Persistent Threat (APT) : APT with C2,60120101
Cyberspace - Air : Infection : Advanced Persistent Threat (APT) : APT with Self Propagation,60120102
Cyberspace - Air : Infection : Advanced Persistent Threat (APT) : APT with C2 and Self Propagation,60120103
Cyberspace - Air : Infection : Advanced Persistent Threat (APT) : APT Other,60120104
Cyberspace - Air : Infection : Non-Advanced Persistent Threat (NAPT),60120200
Cyberspace - Air : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with C2,60120201
Cyberspace - Air : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with Self Propagation,60120202
Cyberspace - Air : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with C2 and Self Propagation,60120203
Cyberspace - Air : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT Other,60120204
Cyberspace - Air : Health and Status,60130000
Cyberspace - Air : Health and Status : Normal,60130100
Cyberspace - Air : Health and Status : Network Outage,60130200
Cyberspace - Air : Health and Status : Unknown,60130300
Cyberspace - Air : Health and Status : Impaired,60130400
Cyberspace - Air : Device Type,60140000
Cyberspace - Air : Device Type : Core Router,60140100
Cyberspace - Air : Device Type : Router,60140200
Cyberspace - Air : Device Type : Cross Domain Solution,60140300
Cyberspace - Air : Device Type : Mail Server,60140400
Cyberspace - Air : Device Type : Web Server,60140500
Cyberspace - Air : Device Type : Domain Server,60140600
Cyberspace - Air : Device Type : File Server,60140700
Cyberspace - Air : Device Type : Peer-to-Peer Node,60140800
Cyberspace - Air : Device Type : Firewall,60140900
Cyberspace - Air : Device Type : Switch,60141000
Cyberspace - Air : Device Type : Host,60141100
Cyberspace - Air : Device Type : Virtual Private Network (VPN),60141200
Cyberspace - Air : Device Domain,60150000
Cyberspace - Air : Device Domain : Department of Defense (DoD),60150100
Cyberspace - Air : Device Domain : Government,60150200
Cyberspace - Air : Device Domain : Contractor,60150300
Cyberspace - Air : Device Domain : Supervisory Control and Data Acquisition (SCADA),60150400
Cyberspace - Air : Device Domain : Non-Government,60150500
Cyberspace - Air : Effect,60160000
Cyberspace - Air : Effect : Infection,60160100
Cyberspace - Air : Effect : Degradation,60160200
Cyberspace - Air : Effect : Data Spoofing,60160300
Cyberspace - Air : Effect : Data Manipulation,60160400
Cyberspace - Air : Effect : Exfiltration,60160500
Cyberspace - Air : Effect : Power Outage,60160600
Cyberspace - Air : Effect : Network Outage,60160700
Cyberspace - Air : Effect : Service Outage,60160800
Cyberspace - Air : Effect : Device Outage,60160900
Space : Military,05110000
Space : Military : Space Vehicle,05110100
Space : Military : Re-Entry Vehicle,05110200
Space : Military : Planet Lander,05110300
Space : Military : Orbiter Shuttle,05110400
Space : Military : Capsule,05110500
Space : Military : General Satellite,05110600
Space : Military : Satellite,05110700
Space : Military : Anti-Satellite Weapon,05110800
Space : Military : Astronomical Satellite,05110900
Space : Military : Biosatellite,05111000
Space : Military : Communications Satellite,05111100
Space : Military : Earth Observation Satellite,05111200
Space : Military : Miniaturized Satellite,05111300
Space : Military : Navigational Satellite,05111400
Space : Military : Reconnaissance Satellite,05111500
Space : Military : Space Station,05111600
Space : Military : Tethered Satellite,05111700
Space : Military : Weather Satellite,05111800
Space : Military : Space Launched Vehicle (SLV),05111900
Space : Civilian,05120000
Space : Civilian : Orbiter Shuttle,05120100
Space : Civilian : Capsule,05120200
Space : Civilian : Satellite,05120300
Space : Civilian : Astronomical Satellite,05120400
Space : Civilian : Biosatellite,05120500
Space : Civilian : Communications Satellite,05120600
Space : Civilian : Earth Observation Satellite,05120700
Space : Civilian : Miniaturized Satellite,05120800
Space : Civilian : Navigational Satellite,05120900
Space : Civilian : Space Station,05121000
Space : Civilian : Tethered Satellite,05121100
Space : Civilian : Weather Satellite,05121200
Space : Manual Track,05130000
Space Missile : Missile,06110000
Signals Intelligence - Space : Signal Intercept,50110000
Signals Intelligence - Space : Signal Intercept : Communications,50110100
Signals Intelligence - Space : Signal Intercept : Jammer,50110200
Signals Intelligence - Space : Signal Intercept : Radar,50110300
Cyberspace - Space : Botnet,60110000
Cyberspace - Space : Botnet : Command and Control (C2),60110100
Cyberspace - Space : Botnet : Herder,60110200
Cyberspace - Space : Botnet : Callback Domain,60110300
Cyberspace - Space : Botnet : Zombie,60110400
Cyberspace - Space : Infection,60120000
Cyberspace - Space : Infection : Advanced Persistent Threat (APT),60120100
Cyberspace - Space : Infection : Advanced Persistent Threat (APT) : APT with C2,60120101
Cyberspace - Space : Infection : Advanced Persistent Threat (APT) : APT with Self Propagation,60120102
Cyberspace - Space : Infection : Advanced Persistent Threat (APT) : APT with C2 and Self Propagation,60120103
Cyberspace - Space : Infection : Advanced Persistent Threat (APT) : APT Other,60120104
Cyberspace - Space : Infection : Non-Advanced Persistent Threat (NAPT),60120200
Cyberspace - Space : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with C2,60120201
Cyberspace - Space : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with Self Propagation,60120202
Cyberspace - Space : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with C2 and Self Propagation,60120203
Cyberspace - Space : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT Other,60120204
Cyberspace - Space : Health and Status,60130000
Cyberspace - Space : Health and Status : Normal,60130100
Cyberspace - Space : Health and Status : Network Outage,60130200
Cyberspace - Space : Health and Status : Unknown,60130300
Cyberspace - Space : Health and Status : Impaired,60130400
Cyberspace - Space : Device Type,60140000
Cyberspace - Space : Device Type : Core Router,60140100
Cyberspace - Space : Device Type : Router,60140200
Cyberspace - Space : Device Type : Cross Domain Solution,60140300
Cyberspace - Space : Device Type : Mail Server,60140400
Cyberspace - Space : Device Type : Web Server,60140500
Cyberspace - Space : Device Type : Domain Server,60140600
Cyberspace - Space : Device Type : File Server,60140700
Cyberspace - Space : Device Type : Peer-to-Peer Node,60140800
Cyberspace - Space : Device Type : Firewall,60140900
Cyberspace - Space : Device Type : Switch,60141000
Cyberspace - Space : Device Type : Host,60141100
Cyberspace - Space : Device Type : Virtual Private Network (VPN),60141200
Cyberspace - Space : Device Domain,60150000
Cyberspace - Space : Device Domain : Department of Defense (DoD),60150100
Cyberspace - Space : Device Domain : Government,60150200
Cyberspace - Space : Device Domain : Contractor,60150300
Cyberspace - Space : Device Domain : Supervisory Control and Data Acquisition (SCADA),60150400
Cyberspace - Space : Device Domain : Non-Government,60150500
Cyberspace - Space : Effect,60160000
Cyberspace - Space : Effect : Infection,60160100
Cyberspace - Space : Effect : Degradation,60160200
Cyberspace - Space : Effect : Data Spoofing,60160300
Cyberspace - Space : Effect : Data Manipulation,60160400
Cyberspace - Space : Effect : Exfiltration,60160500
Cyberspace - Space : Effect : Power Outage,60160600
Cyberspace - Space : Effect : Network Outage,60160700
Cyberspace - Space : Effect : Service Outage,60160800
Cyberspace - Space : Effect : Device Outage,60160900
Land Units : Command and Control,10110000
Land Units : Command and Control : Broadcast Transmitter Antennae,10110100
Land Units : Command and Control : Broadcast Transmitter Antennae : Broadcast Transmitter Antennae Headquarters Element,10110195
Land Units : Command and Control : Broadcast Transmitter Antennae : Division and Below Support Broadcast Transmitter Antennae,10110196
Land Units : Command and Control : Broadcast Transmitter Antennae : Corps Support Broadcast Transmitter Antennae,10110197
Land Units : Command and Control : Broadcast Transmitter Antennae : Theatre/Echelons Above Corps Support Broadcast Transmitter Antennae,10110198
Land Units : Command and Control : Civil Affairs,10110200
Land Units : Command and Control : Civil Affairs : Civil Affairs Headquarters Element,10110295
Land Units : Command and Control : Civil Affairs : Division and Below Support Civil Affairs,10110296
Land Units : Command and Control : Civil Affairs : Corps Support Civil Affairs,10110297
Land Units : Command and Control : Civil Affairs : Theatre/Echelons Above Corps Support Civil Affairs,10110298
Land Units : Command and Control : Civil-Military Cooperation,10110300
Land Units : Command and Control : Civil-Military Cooperation : Civil-Military Cooperation Headquarters Element,10110395
Land Units : Command and Control : Civil-Military Cooperation : Division and Below Support Civil-Military Cooperation,10110396
Land Units : Command and Control : Civil-Military Cooperation : Corps Support Civil-Military Cooperation,10110397
Land Units : Command and Control : Civil-Military Cooperation : Theatre/Echelons Above Corps Support Civil-Military Cooperation,10110398
Land Units : Command and Control : Information Operations,10110400
Land Units : Command and Control : Information Operations : Information Operations Headquarters Element,10110495
Land Units : Command and Control : Information Operations : Division and Below Support Information Operations,10110496
Land Units : Command and Control : Information Operations : Corps Support Information Operations,10110497
Land Units : Command and Control : Information Operations : Theatre/Echelons Above Corps Support Information Operations,10110498
Land Units : Command and Control : Liaison,10110500
Land Units : Command and Control : Liaison : Liaison Headquarters Element,10110595
Land Units : Command and Control : Liaison : Division and Below Support Liaison,10110596
Land Units : Command and Control : Liaison : Corps Support Liaison,10110597
Land Units : Command and Control : Liaison : Theatre/Echelons Above Corps Support Liaison,10110598
Land Units : Command and Control : Military Information Support Operations (MISO),10110600
