Name,Value
Air : Modifier 1 : Military Aircraft Type : Attack/Strike,01011
Air : Modifier 1 : Military Aircraft Type : Bomber,01021
Air : Modifier 1 : Aircraft Type : Cargo,01031
Air : Modifier 1 : Military Aircraft Type : Fighter,01041
Air : Modifier 1 : Military Aircraft Type : Interceptor,01051
Air : Modifier 1 : Aircraft Type : Tanker,01061
Air : Modifier 1 : Aircraft Type : Utility,01071
Air : Modifier 1 : Aircraft Type : VSTOL/VTOL,01081
Air : Modifier 1 : Aircraft Type : Passenger,01091
Air : Modifier 1 : Aircraft Type : Ultra Light,01101
Air : Modifier 1 : Military Aircraft Type : Airborne Command Post (ACP),01111
Air : Modifier 1 : Military Aircraft Type : Airborne Early Warning (AEW),01121
Air : Modifier 1 : Aircraft Type : Government,01131
Air : Modifier 1 : Mission Area : Medical Evacuation (MEDEVAC),01141
Air : Modifier 1 : Military Mission Area : Escort,01151
Air : Modifier 1 : Military Mission Area : Electronic Combat (EC)/Jammer,01161
Air : Modifier 1 : Mission Area : Patrol,01171
Air : Modifier 1 : Mission Area : Reconnaissance,01181
Air : Modifier 1 : Mission Area : Trainer,01191
Air : Modifier 1 : Mission Area : Photographic (Reconnaissance),01201
Air : Modifier 1 : Mission Area : Personnel Recovery,01211
Air : Modifier 1 : Military Mission Area : Antisubmarine Warfare,01221
Air : Modifier 1 : Mission Area : Communications,01231
Air : Modifier 1 : Military Mission Area : Electronic Support (ES),01241
Air : Modifier 1 : Military Mission Area : Mine Countermeasures (MCM),01251
Air : Modifier 1 : Mission Area : Search and Rescue,01261
Air : Modifier 1 : Military Mission Area : Special Operations Forces,01271
Air : Modifier 1 : Military Mission Area : Surface Warfare,01281
Air : Modifier 1 : Mission Area : Very Important Person (VIP) Transport,01291
Air : Modifier 1 : Military Mission Area : Combat Search and Rescue (CSAR),01301
Air : Modifier 1 : Military Mission Area : Suppression of Enemy Air Defenses,01311
Air : Modifier 1 : Military Mission Area : Antisurface Warfare,01321
Air : Modifier 1 : Military Mission Area : Fighter/Bomber,01331
Air : Modifier 1 : Mission Area : Intensive Care,01341
Air : Modifier 1 : Military Mission Area : Electronic Attack (EA),01351
Air : Modifier 1 : Mission Area : Multimission,01361
Air : Modifier 1 : Crime : Hijacking,01371
Air : Modifier 1 : Mission Area : ASW Helo - LAMPS,01381
Air : Modifier 1 : Mission Area : ASW Helo – SH-60R,01391
Air : Modifier 2 : Cargo/Transport Capacity : Heavy,01012
Air : Modifier 2 : Cargo/Transport Capacity : Medium,01022
Air : Modifier 2 : Cargo/Transport Capacity : Light,01032
Air : Modifier 2 : Re-fueling Capability : Boom-Only,01042
Air : Modifier 2 : Re-fueling Capability : Drogue-Only,01052
Air : Modifier 2 : Re-fueling Capability : Boom and Drogue,01062
Air : Modifier 2 : Range : Close Range,01072
Air : Modifier 2 : Range : Short Range,01082
Air : Modifier 2 : Range : Medium Range,01092
Air : Modifier 2 : Range : Long Range,01102
Air : Modifier 2 : Track Link Availability : Downlinked,01112
Air Missile : Modifier 1 : Launch Origin : Air,02011
Air Missile : Modifier 1 : Launch Origin : Surface,02021
Air Missile : Modifier 1 : Launch Origin : Subsurface,02031
Air Missile : Modifier 1 : Launch Origin : Space,02041
Air Missile : Modifier 1 : Missile Class : Anti-Ballistic,02051
Air Missile : Modifier 1 : Missile Class : Ballistic,02061
Air Missile : Modifier 1 : Missile Class : Cruise,02071
Air Missile : Modifier 1 : Missile Class : Interceptor,02081
Air Missile : Modifier 2 : Missile Destination : Air,02012
Air Missile : Modifier 2 : Missile Destination : Surface,02022
Air Missile : Modifier 2 : Missile Destination : Subsurface,02032
Air Missile : Modifier 2 : Missile Destination : Space,02042
Air Missile : Modifier 2 : Missile Status : Launched,02052
Air Missile : Modifier 2 : Missile Status : Missile,02062
Air Missile : Modifier 2 : Missile Type-BMD : Patriot,02072
Air Missile : Modifier 2 : Missile Type-AAW : Standard Missile-2 (SM-2),02082
Air Missile : Modifier 2 : Missile Type-AAW : Standard Missile-6 (SM-6),02092
Air Missile : Modifier 2 : Missile Type-AAW : Evolved Sea Sparrow Missile (ESSM),02102
Air Missile : Modifier 2 : Missile Type-AAW : Rolling Airframe Missile (RAM),02112
Air Missile : Modifier 2 : Missile Range : Short Range,02122
Air Missile : Modifier 2 : Missile Range : Medium Range,02132
Air Missile : Modifier 2 : Missile Range : Intermediate Range,02142
Air Missile : Modifier 2 : Missile Range : Long Range,02152
Air Missile : Modifier 2 : Missile Range : Intercontinental,02162
Space : Modifier 1 : Orbit : Low Earth Orbit (LEO),05011
Space : Modifier 1 : Orbit : Medium Earth Orbit (MEO),05021
Space : Modifier 1 : Orbit : High Earth Orbit (MEO),05031
Space : Modifier 1 : Orbit : Geosynchronous Orbit (GSO),05041
Space : Modifier 1 : Orbit : Geostationary Orbit (GO),05051
Space : Modifier 1 : Orbit : Molniya Orbit (MO),05061
Space : Modifier 2 : Sensor : Optical,05012
Space : Modifier 2 : Sensor : Infrared,05022
Space : Modifier 2 : Sensor : Radar,05032
Space : Modifier 2 : Sensor : Signals Intelligence (SIGINT),05042
Space Missile : Modifier 1 : Missile Class : Ballistic,06011
Space Missile : Modifier 1 : Launch Origin : Space,06021
Space Missile : Modifier 1 : Missile Class : Interceptor,06031
Space Missile : Modifier 2 : Missile Range : Short Range,06012
Space Missile : Modifier 2 : Missile Range : Medium Range,06022
Space Missile : Modifier 2 : Missile Range : Intermediate Range,06032
Space Missile : Modifier 2 : Missile Range : Long Range,06042
Space Missile : Modifier 2 : Missile Range : Intercontinental,06052
Space Missile : Modifier 2 : Missile Type - BMD : Arrow,06062
Space Missile : Modifier 2 : Missile Type - BMD : Ground-Based Interceptor (GBI),06072
Space Missile : Modifier 2 : Missile Type - BMD : Patriot,06082
Space Missile : Modifier 2 : Missile Type - BMD : Standard Missile - Terminal Phase (SM-T),06092
Space Missile : Modifier 2 : Missile Type - BMD : Standard Missile - 3 (SM-3),06102
Space Missile : Modifier 2 : Missile Type - BMD : Terminal High-Altitude Area Defense (THAAD),06112
Space Missile : Modifier 2 : Launch Origin : Space,06122
Land Units : Modifier 1 : Mobility : Air Mobile/Air Assault (US Only),10011
Land Units : Modifier 1 : Capability : Area,10021
Land Units : Modifier 1 : Capability : Attack,10031
Land Units : Modifier 1 : Capability : Biological,10041
Land Units : Modifier 1 : Capability : Border,10051
Land Units : Modifier 1 : Capability : Bridging,10061
Land Units : Modifier 1 : Capability : Chemical,10071
Land Units : Modifier 1 : Capability : Close Protection,10081
Land Units : Modifier 1 : Capability : Combat,10091
Land Units : Modifier 1 : Capability : Command and Control,10101
Land Units : Modifier 1 : Capability : Communications Contingency Package,10111
Land Units : Modifier 1 : Capability : Construction,10121
Land Units : Modifier 1 : Capability : Cross Cultural Communication,10131
Land Units : Modifier 1 : Capability : Crowd and Riot Control,10141
Land Units : Modifier 1 : Capability : Decontamination,10151
Land Units : Modifier 1 : Capability : Detention,10161
Land Units : Modifier 1 : Capability : Direct Communications,10171
Land Units : Modifier 1 : Capability : Diving,10181
Land Units : Modifier 1 : Capability : Division,10191
Land Units : Modifier 1 : Capability : Dog,10201
Land Units : Modifier 1 : Capability : Drilling,10211
Land Units : Modifier 1 : Capability : Electro-Optical,10221
Land Units : Modifier 1 : Capability : Enhanced,10231
Land Units : Modifier 1 : Capability : Explosive Ordnance Disposal (EOD),10241
Land Units : Modifier 1 : Capability : Fire Direction Center,10251
Land Units : Modifier 1 : Capability : Force,10261
Land Units : Modifier 1 : Capability : Forward,10271
Land Units : Modifier 1 : Capability : Ground Station Module,10281
Land Units : Modifier 1 : Capability : Landing Support,10291
Land Units : Modifier 1 : Capability : Large Extension Node,10301
Land Units : Modifier 1 : Capability : Maintenance,10311
Land Units : Modifier 1 : Capability : Meteorological,10321
Land Units : Modifier 1 : Capability : Mine Countermeasure,10331
Land Units : Modifier 1 : Capability : Missile,10341
Land Units : Modifier 1 : Capability : Mobile Advisor and Support,10351
Land Units : Modifier 1 : Capability : Mobile Subscriber Equipment,10361
Land Units : Modifier 1 : Capability : Mobility Support,10371
Land Units : Modifier 1 : Capability : Movement Control Center,10381
Land Units : Modifier 1 : Capability : Multinational,10391
Land Units : Modifier 1 : Capability : Multinational Specialized Unit,10401
Land Units : Modifier 1 : Capability : Multiple Rocket Launcher,10411
Land Units : Modifier 1 : Capability : NATO Medical Role 1,10421
Land Units : Modifier 1 : Capability : NATO Medical Role 2,10431
Land Units : Modifier 1 : Capability : NATO Medical Role 3,10441
Land Units : Modifier 1 : Capability : NATO Medical Role 4,10451
Land Units : Modifier 1 : Capability : Naval,10461
Land Units : Modifier 1 : Capability : Node Center,10471
Land Units : Modifier 1 : Capability : Nuclear,10481
Land Units : Modifier 1 : Capability : Operations,10491
Land Units : Modifier 1 : Capability : Radar,10501
Land Units : Modifier 1 : Capability : Radio Frequency Identification (RFID) Interrogator / Sensor,10511
Land Units : Modifier 1 : Capability : Radiological,10521
