filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Activities\40110100.emf,64,Incident : Criminal Activity Incident,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;E*IPB-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident;40110100,40110100,Point,
{Symbols_Root}\Appendices\Activities\40110101.emf,64,Incident : Criminal Activity Incident : Arrest,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Arrest;O*OPA-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Arrest;40110101,40110101,Point,
{Symbols_Root}\Appendices\Activities\40110102.emf,64,Incident : Criminal Activity Incident : Arson,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Arson;O*VPA-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Arson;40110102,40110102,Point,
{Symbols_Root}\Appendices\Activities\40110103.emf,64,Incident : Criminal Activity Incident : Attempted Criminal Activity,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Attempted Criminal Activity;NEW_AT_2525D;MAIN;Point;Incident : Criminal Activity Incident : Attempted Criminal Activity;40110103,40110103,Point,
{Symbols_Root}\Appendices\Activities\40110104.emf,64,Incident : Criminal Activity Incident : Drive-by Shooting,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Drive-by Shooting;O*VPD-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Drive-by Shooting;40110104,40110104,Point,
{Symbols_Root}\Appendices\Activities\40110105.emf,64,Incident : Criminal Activity Incident : Drug Related,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Drug Related;O*OPU-----*****;MAIN;Point;Incident : Criminal Activity Incident : Drug Related;40110105,40110105,Point,
{Symbols_Root}\Appendices\Activities\40110106.emf,64,Incident : Criminal Activity Incident : Extortion,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Extortion;O*OPE-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Extortion;40110106,40110106,Point,
{Symbols_Root}\Appendices\Activities\40110107.emf,64,Incident : Criminal Activity Incident : Graffiti,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Graffiti;O*IPG-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Graffiti;40110107,40110107,Point,
{Symbols_Root}\Appendices\Activities\40110108.emf,64,Incident : Criminal Activity Incident : Killing,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Killing;O*VPM-----*****;MAIN;Point;Incident : Criminal Activity Incident : Killing;40110108,40110108,Point,
{Symbols_Root}\Appendices\Activities\40110109.emf,64,Incident : Criminal Activity Incident : Poisoning,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Poisoning;O*VPP-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Poisoning;40110109,40110109,Point,
{Symbols_Root}\Appendices\Activities\40110110.emf,64,Incident : Criminal Activity Incident : Civil Rioting,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Civil Rioting;E*IPAC----*****;MAIN;Point;Incident : Criminal Activity Incident : Civil Rioting;40110110,40110110,Point,
{Symbols_Root}\Appendices\Activities\40110111.emf,64,Incident : Criminal Activity Incident : Booby Trap,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Booby Trap;O*VPY-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Booby Trap;40110111,40110111,Point,
{Symbols_Root}\Appendices\Activities\40110112.emf,64,Incident : Criminal Activity Incident : Home Eviction,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Home Eviction;NEW_AT_2525D;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Home Eviction;40110112,40110112,Point,
{Symbols_Root}\Appendices\Activities\40110113.emf,64,Incident : Criminal Activity Incident : Black Marketing,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Black Marketing;NEW_AT_2525D;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Black Marketing;40110113,40110113,Point,
{Symbols_Root}\Appendices\Activities\40110114.emf,64,Incident : Criminal Activity Incident : Vandalism / Loot / Ransack / Plunder,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Vandalism / Loot / Ransack / Plunder;O*IPV-----*****;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Vandalism / Loot / Ransack / Plunder;40110114,40110114,Point,
{Symbols_Root}\Appendices\Activities\40110115.emf,64,Incident : Criminal Activity Incident : Jail Break,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Jail Break;NEW_AT_2525D;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Jail Break;40110115,40110115,Point,
{Symbols_Root}\Appendices\Activities\40110116.emf,64,Incident : Criminal Activity Incident : Robbery,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Robbery;NEW_AT_2525D;MAIN;Point;Incident : Criminal Activity Incident : Robbery;40110116,40110116,Point,
{Symbols_Root}\Appendices\Activities\40110117.emf,64,Incident : Criminal Activity Incident : Theft,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Theft;NEW_AT_2525D;MAIN;Point;Incident : Criminal Activity Incident : Theft;40110117,40110117,Point,
{Symbols_Root}\Appendices\Activities\40110118.emf,64,Incident : Criminal Activity Incident : Burglary,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Burglary;NEW_AT_2525D;MAIN;Point;Incident : Criminal Activity Incident : Burglary;40110118,40110118,Point,
{Symbols_Root}\Appendices\Activities\40110119.emf,64,Incident : Criminal Activity Incident : Smuggling,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Smuggling;NEW_AT_2525D;MAIN;Point;Incident : Criminal Activity Incident : Smuggling;40110119,40110119,Point,
{Symbols_Root}\Appendices\Activities\40110120.emf,64,Incident : Criminal Activity Incident : Rock Throwing,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Rock Throwing;NEW_AT_2525D;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Rock Throwing;40110120,40110120,Point,
{Symbols_Root}\Appendices\Activities\40110121.emf,64,Incident : Criminal Activity Incident : Dead Body,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Dead Body;NEW_AT_2525D;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Dead Body;40110121,40110121,Point,
{Symbols_Root}\Appendices\Activities\40110122.emf,64,Incident : Criminal Activity Incident : Sabotage,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Sabotage;NEW_AT_2525D;MAIN;Point;Incident : Criminal Activity Incident : Sabotage;40110122,40110122,Point,
{Symbols_Root}\Appendices\Activities\40110123.emf,64,Incident : Criminal Activity Incident : Suspicious Activity,Activities : Main Icon,Activities;Incident;Criminal Activity Incident;Suspicious Activity;NEW_AT_2525D;FULL_OCTAGON;Point;Incident : Criminal Activity Incident : Suspicious Activity;40110123,40110123,Point,
{Symbols_Root}\Appendices\Activities\40110200.emf,64,Incident : Bomb/Bombing,Activities : Main Icon,Activities;Incident;Bomb/Bombing;O*VPB-----*****;MAIN;Point;Incident : Bomb/Bombing;40110200,40110200,Point,
{Symbols_Root}\Appendices\Activities\40110201.emf,64,Incident : Bomb/Bombing : Bomb Threat,Activities : Main Icon,Activities;Incident;Bomb/Bombing;Bomb Threat;E*IPBA----*****;FULL_OCTAGON;Point;Incident : Bomb/Bombing : Bomb Threat;40110201,40110201,Point,
{Symbols_Root}\Appendices\Activities\40110300.emf,64,Incident : IED Event,Activities : Main Icon,Activities;Incident;IED Event;NEW_AT_2525D;MAIN;Point;Incident : IED Event;40110300,40110300,Point,
{Symbols_Root}\Appendices\Activities\40110301.emf,64,Incident : IED Event : IED Explosion,Activities : Main Icon,Activities;Incident;IED Event;IED Explosion;O*VPEI----*****;FULL_OCTAGON;Point;Incident : IED Event : IED Explosion;40110301,40110301,Point,
