filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Air\01110000.emf,64,Military (Air),Air : Main Icon,Air;Military;S*APM-----*****;MAIN;Point;Military (Air);01110000,01110000,Point,
{Symbols_Root}\Appendices\Air\01110100.emf,64,Military (Air) : Fixed-Wing,Air : Main Icon,Air;Military;Fixed-Wing;S*APMF----*****;MAIN;Point;Military (Air) : Fixed-Wing;01110100,01110100,Point,
{Symbols_Root}\Appendices\Air\01110101.emf,64,Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC),Air : Main Icon,Air;Military;Fixed-Wing;Medical Evacuation (MEDEVAC);S*APMFO---*****;MAIN;Point;Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC);01110101,01110101,Point,
{Symbols_Root}\Appendices\Air\01110102.emf,64,Military (Air) : Fixed-Wing : Attack/Strike,Air : Main Icon,Air;Military;Fixed-Wing;Attack/Strike;S*APMFA---*****;MAIN;Point;Military (Air) : Fixed-Wing : Attack/Strike;01110102,01110102,Point,
{Symbols_Root}\Appendices\Air\01110103.emf,64,Military (Air) : Fixed-Wing : Bomber,Air : Main Icon,Air;Military;Fixed-Wing;Bomber;S*APMFB---*****;MAIN;Point;Military (Air) : Fixed-Wing : Bomber;01110103,01110103,Point,
{Symbols_Root}\Appendices\Air\01110104.emf,64,Military (Air) : Fixed-Wing : Fighter,Air : Main Icon,Air;Military;Fixed-Wing;Fighter;S*APMFF---*****;MAIN;Point;Military (Air) : Fixed-Wing : Fighter;01110104,01110104,Point,
{Symbols_Root}\Appendices\Air\01110105.emf,64,Military (Air) : Fixed-Wing : Fighter/Bomber,Air : Main Icon,Air;Military;Fixed-Wing;Fighter/Bomber;NEW_AT_2525D;MAIN;Point;Military (Air) : Fixed-Wing : Fighter/Bomber;01110105,01110105,Point,
{Symbols_Root}\Appendices\Air\01110107.emf,64,Military (Air) : Fixed-Wing : Cargo,Air : Main Icon,Air;Military;Fixed-Wing;Cargo;S*APMFC---*****;MAIN;Point;Military (Air) : Fixed-Wing : Cargo;01110107,01110107,Point,
{Symbols_Root}\Appendices\Air\01110108.emf,64,Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer,Air : Main Icon,Air;Military;Fixed-Wing;Electronic Combat (EC)/Jammer;S*APMFJ---*****;MAIN;Point;Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer;01110108,01110108,Point,
{Symbols_Root}\Appendices\Air\01110109.emf,64,Military (Air) : Fixed-Wing : Tanker,Air : Main Icon,Air;Military;Fixed-Wing;Tanker;S*APMFK---*****;MAIN;Point;Military (Air) : Fixed-Wing : Tanker;01110109,01110109,Point,
