filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Air\01110000.emf,64,Military (Air),Air : Main Icon,Air;Military;MAIN;Point;Military (Air);01110000,01110000,Point,
{Symbols_Root}\Appendices\Air\01110100.emf,64,Military (Air) : Fixed-Wing,Air : Main Icon,Air;Military;Fixed-Wing;MAIN;Point;Military (Air) : Fixed-Wing;01110100,01110100,Point,
{Symbols_Root}\Appendices\Air\01110101.emf,64,Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC),Air : Main Icon,Air;Military;Fixed-Wing;Medical Evacuation (MEDEVAC);MAIN;Point;Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC);01110101,01110101,Point,
{Symbols_Root}\Appendices\Air\01110102.emf,64,Military (Air) : Fixed-Wing : Attack/Strike,Air : Main Icon,Air;Military;Fixed-Wing;Attack/Strike;MAIN;Point;Military (Air) : Fixed-Wing : Attack/Strike;01110102,01110102,Point,
{Symbols_Root}\Appendices\Air\01110103.emf,64,Military (Air) : Fixed-Wing : Bomber,Air : Main Icon,Air;Military;Fixed-Wing;Bomber;MAIN;Point;Military (Air) : Fixed-Wing : Bomber;01110103,01110103,Point,
{Symbols_Root}\Appendices\Air\01110104.emf,64,Military (Air) : Fixed-Wing : Fighter,Air : Main Icon,Air;Military;Fixed-Wing;Fighter;MAIN;Point;Military (Air) : Fixed-Wing : Fighter;01110104,01110104,Point,
{Symbols_Root}\Appendices\Air\01110105.emf,64,Military (Air) : Fixed-Wing : Fighter/Bomber,Air : Main Icon,Air;Military;Fixed-Wing;Fighter/Bomber;MAIN;Point;Military (Air) : Fixed-Wing : Fighter/Bomber;01110105,01110105,Point,
{Symbols_Root}\Appendices\Air\01110107.emf,64,Military (Air) : Fixed-Wing : Cargo,Air : Main Icon,Air;Military;Fixed-Wing;Cargo;MAIN;Point;Military (Air) : Fixed-Wing : Cargo;01110107,01110107,Point,
{Symbols_Root}\Appendices\Air\01110108.emf,64,Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer,Air : Main Icon,Air;Military;Fixed-Wing;Electronic Combat (EC)/Jammer;MAIN;Point;Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer;01110108,01110108,Point,
{Symbols_Root}\Appendices\Air\01110109.emf,64,Military (Air) : Fixed-Wing : Tanker,Air : Main Icon,Air;Military;Fixed-Wing;Tanker;MAIN;Point;Military (Air) : Fixed-Wing : Tanker;01110109,01110109,Point,
{Symbols_Root}\Appendices\Air\01110110.emf,64,Military (Air) : Fixed-Wing : Patrol,Air : Main Icon,Air;Military;Fixed-Wing;Patrol;MAIN;Point;Military (Air) : Fixed-Wing : Patrol;01110110,01110110,Point,
{Symbols_Root}\Appendices\Air\01110111.emf,64,Military (Air) : Fixed-Wing : Reconnaissance,Air : Main Icon,Air;Military;Fixed-Wing;Reconnaissance;MAIN;Point;Military (Air) : Fixed-Wing : Reconnaissance;01110111,01110111,Point,
{Symbols_Root}\Appendices\Air\01110112.emf,64,Military (Air) : Fixed-Wing : Trainer,Air : Main Icon,Air;Military;Fixed-Wing;Trainer;MAIN;Point;Military (Air) : Fixed-Wing : Trainer;01110112,01110112,Point,
{Symbols_Root}\Appendices\Air\01110113.emf,64,Military (Air) : Fixed-Wing : Utility,Air : Main Icon,Air;Military;Fixed-Wing;Utility;MAIN;Point;Military (Air) : Fixed-Wing : Utility;01110113,01110113,Point,
{Symbols_Root}\Appendices\Air\01110114.emf,64,Military (Air) : Fixed-Wing : VSTOL,Air : Main Icon,Air;Military;Fixed-Wing;VSTOL;MAIN;Point;Military (Air) : Fixed-Wing : VSTOL;01110114,01110114,Point,
{Symbols_Root}\Appendices\Air\01110115.emf,64,Military (Air) : Fixed-Wing : Airborne Command Post (ACP),Air : Main Icon,Air;Military;Fixed-Wing;Airborne Command Post (ACP);MAIN;Point;Military (Air) : Fixed-Wing : Airborne Command Post (ACP);01110115,01110115,Point,
