filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\ControlMeasures\25120100.emf,64,Command and Control Areas : Area of Operations,Control Measure : Area,Control Measure;Command and Control Areas;Area of Operations;MAIN;G*GPSAO---****X;Area;Command and Control Areas : Area of Operations;25120100,25120100,Area,
{Symbols_Root}\Appendices\ControlMeasures\25120200.emf,64,Command and Control Areas : Named Area of Interest,Control Measure : Area,Control Measure;Command and Control Areas;Named Area of Interest;MAIN;G*GPSAN---****X;Area;Command and Control Areas : Named Area of Interest;25120200,25120200,Area,
{Symbols_Root}\Appendices\ControlMeasures\25120300.emf,64,Command and Control Areas : Targeted Area of Interest,Control Measure : Area,Control Measure;Command and Control Areas;Targeted Area of Interest;MAIN;G*GPSAT---****X;Area;Command and Control Areas : Targeted Area of Interest;25120300,25120300,Area,
{Symbols_Root}\Appendices\ControlMeasures\25120400.emf,64,Command and Control Areas : Airfield Zone,Control Measure : Area,Control Measure;Command and Control Areas;Airfield Zone;MAIN;G*GPGAZ---****X;Area;Command and Control Areas : Airfield Zone;25120400,25120400,Area,
{Symbols_Root}\Appendices\ControlMeasures\25141300.emf,64,Maneuver Lines : Airhead Line,Control Measure : Area,Control Measure;Maneuver Lines;Airhead Line;MAIN;G*GPSAA---****X;Area;Maneuver Lines : Airhead Line;25141300,25141300,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150101.emf,64,Maneuver Areas : Area : Friendly,Control Measure : Area,Control Measure;Maneuver Areas;Area;Friendly;MAIN;SIDC_IS_NA;Area;Maneuver Areas : Area : Friendly;25150101,25150101,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150102.emf,64,Maneuver Areas : Area : Friendly Planned or On Order,Control Measure : Area,Control Measure;Maneuver Areas;Area;Friendly Planned or On Order;MAIN;SIDC_IS_NA;Area;Maneuver Areas : Area : Friendly Planned or On Order;25150102,25150102,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150103.emf,64,Maneuver Areas : Area : Enemy Known or Confirmed,Control Measure : Area,Control Measure;Maneuver Areas;Area;Enemy Known or Confirmed;MAIN;SIDC_IS_NA;Area;Maneuver Areas : Area : Enemy Known or Confirmed;25150103,25150103,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150104.emf,64,Maneuver Areas : Area : Enemy Suspected,Control Measure : Area,Control Measure;Maneuver Areas;Area;Enemy Suspected;MAIN;SIDC_IS_NA;Area;Maneuver Areas : Area : Enemy Suspected;25150104,25150104,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150200.emf,64,Maneuver Areas : Assembly Area,Control Measure : Area,Control Measure;Maneuver Areas;Assembly Area;MAIN;G*GPGAA---****X;Area;Maneuver Areas : Assembly Area;25150200,25150200,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150300.emf,64,Maneuver Areas : Occupied Assembly Area,Control Measure : Area,Control Measure;Maneuver Areas;Occupied Assembly Area;MAIN;SIDC_IS_NA;Area;Maneuver Areas : Occupied Assembly Area;25150300,25150300,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150400.emf,64,Maneuver Areas : Proposed or On Order Assembly Area,Control Measure : Area,Control Measure;Maneuver Areas;Proposed or On Order Assembly Area;MAIN;SIDC_IS_NA;Area;Maneuver Areas : Proposed or On Order Assembly Area;25150400,25150400,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150501.emf,64,Maneuver Areas : Action Area : Joint Tactical Action Area (JTAA),Control Measure : Area,Control Measure;Maneuver Areas;Action Area;Joint Tactical Action Area (JTAA);MAIN;SIDC_IS_NA;Area;Maneuver Areas : Action Area : Joint Tactical Action Area (JTAA);25150501,25150501,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150502.emf,64,Maneuver Areas : Action Area : Submarine Action Area (SAA),Control Measure : Area,Control Measure;Maneuver Areas;Action Area;Submarine Action Area (SAA);MAIN;SIDC_IS_NA;Area;Maneuver Areas : Action Area : Submarine Action Area (SAA);25150502,25150502,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150503.emf,64,Maneuver Areas : Action Area : Submarine-Generated Action Area (SGAA),Control Measure : Area,Control Measure;Maneuver Areas;Action Area;Submarine-Generated Action Area (SGAA);MAIN;SIDC_IS_NA;Area;Maneuver Areas : Action Area : Submarine-Generated Action Area (SGAA);25150503,25150503,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150600.emf,64,Maneuver Areas : Drop Zone,Control Measure : Area,Control Measure;Maneuver Areas;Drop Zone;MAIN;G*GPGAD---****X;Area;Maneuver Areas : Drop Zone;25150600,25150600,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150700.emf,64,Maneuver Areas : Extraction Zone,Control Measure : Area,Control Measure;Maneuver Areas;Extraction Zone;MAIN;G*GPGAX---****X;Area;Maneuver Areas : Extraction Zone;25150700,25150700,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150800.emf,64,Maneuver Areas : Landing Zone,Control Measure : Area,Control Measure;Maneuver Areas;Landing Zone;MAIN;G*GPGAL---****X;Area;Maneuver Areas : Landing Zone;25150800,25150800,Area,
{Symbols_Root}\Appendices\ControlMeasures\25150900.emf,64,Maneuver Areas : Pick-Up Zone,Control Measure : Area,Control Measure;Maneuver Areas;Pick-Up Zone;MAIN;G*GPGAP---****X;Area;Maneuver Areas : Pick-Up Zone;25150900,25150900,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151000.emf,64,Maneuver Areas : Fortified Area,Control Measure : Area,Control Measure;Maneuver Areas;Fortified Area;MAIN;G*GPGAF---****X;Area;Maneuver Areas : Fortified Area;25151000,25151000,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151100.emf,64,Maneuver Areas : Limited Access Area,Control Measure : Area,Control Measure;Maneuver Areas;Limited Access Area;MAIN;G*GPGAY---****X;Area;Maneuver Areas : Limited Access Area;25151100,25151100,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151200.emf,64,Maneuver Areas : Battle Position,Control Measure : Area,Control Measure;Maneuver Areas;Battle Position;MAIN;G*GPDAB---****X;Area;Maneuver Areas : Battle Position;25151200,25151200,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151201.emf,64,Maneuver Areas : Battle Position : Battle Position - Planned,Control Measure : Area,Control Measure;Maneuver Areas;Battle Position;Battle Position - Planned;MAIN;G*GPDAB---****X;Area;Maneuver Areas : Battle Position : Battle Position - Planned;25151201,25151201,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151202.emf,64,Maneuver Areas : Battle Position : Battle Position - Prepared (P) but not Occupied,Control Measure : Area,Control Measure;Maneuver Areas;Battle Position;Battle Position - Prepared (P) but not Occupied;MAIN;G*GPDABP--****X;Area;Maneuver Areas : Battle Position : Battle Position - Prepared (P) but not Occupied;25151202,25151202,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151203.emf,64,Maneuver Areas : Battle Position : Strong Point,Control Measure : Area,Control Measure;Maneuver Areas;Battle Position;Strong Point;MAIN;G*MPSP----****X;Area;Maneuver Areas : Battle Position : Strong Point;25151203,25151203,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151300.emf,64,Maneuver Areas : Engagement Area (EA),Control Measure : Area,Control Measure;Maneuver Areas;Engagement Area (EA);MAIN;G*GPGAE---****X;Area;Maneuver Areas : Engagement Area (EA);25151300,25151300,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151500.emf,64,Maneuver Areas : Assault Position,Control Measure : Area,Control Measure;Maneuver Areas;Assault Position;MAIN;G*GPOAA---****X;Area;Maneuver Areas : Assault Position;25151500,25151500,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151600.emf,64,Maneuver Areas : Attack Position,Control Measure : Area,Control Measure;Maneuver Areas;Attack Position;MAIN;G*GPOAK---****X;Area;Maneuver Areas : Attack Position;25151600,25151600,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151700.emf,64,Maneuver Areas : Objective,Control Measure : Area,Control Measure;Maneuver Areas;Objective;MAIN;G*GPOAO---****X;Area;Maneuver Areas : Objective;25151700,25151700,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151801.emf,64,Maneuver Areas : Encirclement : Friendly,Control Measure : Area,Control Measure;Maneuver Areas;Encirclement;Friendly;MAIN;G*GPSAE---****X;Area;Maneuver Areas : Encirclement : Friendly;25151801,25151801,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151802.emf,64,Maneuver Areas : Encirclement : Enemy,Control Measure : Area,Control Measure;Maneuver Areas;Encirclement;Enemy;MAIN;SIDC_IS_NA;Area;Maneuver Areas : Encirclement : Enemy;25151802,25151802,Area,
{Symbols_Root}\Appendices\ControlMeasures\25151900.emf,64,Maneuver Areas : Penetration Box,Control Measure : Area,Control Measure;Maneuver Areas;Penetration Box;MAIN;G*GPOAP---****X;Area;Maneuver Areas : Penetration Box;25151900,25151900,Area,
{Symbols_Root}\Appendices\ControlMeasures\25152000.emf,64,Maneuver Areas : Attack by Fire Position,Control Measure : Area,Control Measure;Maneuver Areas;Attack by Fire Position;MAIN;G*GPOAF---****X;Area;Maneuver Areas : Attack by Fire Position;25152000,25152000,Area,
{Symbols_Root}\Appendices\ControlMeasures\25170100.emf,64,Air Corridors : Air Corridor,Control Measure : Area,Control Measure;Airspace Control (Corridors) Areas;Air Corridor;MAIN;G*GPALC---****X;Area;Air Corridors : Air Corridor;25170100,25170100,Area,
{Symbols_Root}\Appendices\ControlMeasures\25170200.emf,64,Air Corridors : Low Level Transit Route,Control Measure : Area,Control Measure;Airspace Control (Corridors) Areas;Low Level Transit Route;MAIN;G*GPALL---****X;Area;Air Corridors : Low Level Transit Route;25170200,25170200,Area,
{Symbols_Root}\Appendices\ControlMeasures\25170300.emf,64,Air Corridors : Minimum-Risk Route,Control Measure : Area,Control Measure;Airspace Control (Corridors) Areas;Minimum-Risk Route;MAIN;G*GPALM---****X;Area;Air Corridors : Minimum-Risk Route;25170300,25170300,Area,
{Symbols_Root}\Appendices\ControlMeasures\25170400.emf,64,Air Corridors : Safe Lane,Control Measure : Area,Control Measure;Airspace Control (Corridors) Areas;Safe Lane;MAIN;SIDC_IS_NA;Area;Air Corridors : Safe Lane;25170400,25170400,Area,
{Symbols_Root}\Appendices\ControlMeasures\25170500.emf,64,Air Corridors : Standard Use Army Aircraft Flight Route,Control Measure : Area,Control Measure;Airspace Control (Corridors) Areas;Standard Use Army Aircraft Flight Route;MAIN;G*GPALS---****X;Area;Air Corridors : Standard Use Army Aircraft Flight Route;25170500,25170500,Area,
{Symbols_Root}\Appendices\ControlMeasures\25170600.emf,64,Air Corridors : Transit Corridor,Control Measure : Area,Control Measure;Airspace Control (Corridors) Areas;Transit Corridor;MAIN;SIDC_IS_NA;Area;Air Corridors : Transit Corridor;25170600,25170600,Area,
{Symbols_Root}\Appendices\ControlMeasures\25170700.emf,64,Air Corridors : Unmanned Aircraft (UA) Route,Control Measure : Area,Control Measure;Airspace Control (Corridors) Areas;Unmanned Aircraft (UA) Route;MAIN;G*GPALU---****X;Area;Air Corridors : Unmanned Aircraft (UA) Route;25170700,25170700,Area,
