filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\ControlMeasures\25130100.emf,64,Command and Control Points : Action Point (General),Control Measure : Point,Control Measure;Command and Control Points;Action Point (General);G*GPGPP---****X;MAIN;Point;Command and Control Points : Action Point (General);25130100,25130100,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130200.emf,64,Command and Control Points : Amnesty Point,Control Measure : Point,Control Measure;Command and Control Points;Amnesty Point;G*GPGPPA--****X;MAIN;Point;Command and Control Points : Amnesty Point;25130200,25130200,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130300.emf,64,Command and Control Points : Checkpoint,Control Measure : Point,Control Measure;Command and Control Points;Checkpoint;G*GPGPPK--****X;MAIN;Point;Command and Control Points : Checkpoint;25130300,25130300,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130400.emf,64,Command and Control Points : Center of Main Effort,Control Measure : Point,Control Measure;Command and Control Points;Center of Main Effort;NEW_AT_2525D;MAIN;Point;Command and Control Points : Center of Main Effort;25130400,25130400,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130500.emf,64,Command and Control Points : Contact Point,Control Measure : Point,Control Measure;Command and Control Points;Contact Point;G*GPGPPC--****X;MAIN;Point;Command and Control Points : Contact Point;25130500,25130500,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130600.emf,64,Command and Control Points : Coordinating Point,Control Measure : Point,Control Measure;Command and Control Points;Coordinating Point;G*GPGPPO--****X;MAIN;Point;Command and Control Points : Coordinating Point;25130600,25130600,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130700.emf,64,Command and Control Points : Decision Point,Control Measure : Point,Control Measure;Command and Control Points;Decision Point;G*GPGPPD--****X;MAIN;Point;Command and Control Points : Decision Point;25130700,25130700,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130800.emf,64,Command and Control Points : Distress Call,Control Measure : Point,Control Measure;Command and Control Points;Distress Call;NEW_AT_2525D;MAIN;Point;Command and Control Points : Distress Call;25130800,25130800,Point,
{Symbols_Root}\Appendices\ControlMeasures\25130900.emf,64,Command and Control Points : Entry Control Point,Control Measure : Point,Control Measure;Command and Control Points;Entry Control Point;NEW_AT_2525D;MAIN;Point;Command and Control Points : Entry Control Point;25130900,25130900,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131001.emf,64,Command and Control Points : Fly-To-Point : Fly-To-Point (Sonobuoy),Control Measure : Point,Control Measure;Command and Control Points;Fly-To-Point;Fly-To-Point (Sonobuoy);NEW_AT_2525D;MAIN;Point;Command and Control Points : Fly-To-Point : Fly-To-Point (Sonobuoy);25131001,25131001,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131002.emf,64,Command and Control Points : Fly-To-Point : Fly-To-Point (Weapon),Control Measure : Point,Control Measure;Command and Control Points;Fly-To-Point;Fly-To-Point (Weapon);NEW_AT_2525D;MAIN;Point;Command and Control Points : Fly-To-Point : Fly-To-Point (Weapon);25131002,25131002,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131003.emf,64,Command and Control Points : Fly-To-Point : Fly-To-Point (Normal),Control Measure : Point,Control Measure;Command and Control Points;Fly-To-Point;Fly-To-Point (Normal);NEW_AT_2525D;MAIN;Point;Command and Control Points : Fly-To-Point : Fly-To-Point (Normal);25131003,25131003,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131100.emf,64,Command and Control Points : Linkup Point,Control Measure : Point,Control Measure;Command and Control Points;Linkup Point;G*GPGPPL--****X;MAIN;Point;Command and Control Points : Linkup Point;25131100,25131100,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131200.emf,64,Command and Control Points : Passage Point,Control Measure : Point,Control Measure;Command and Control Points;Passage Point;G*GPGPPP--****X;MAIN;Point;Command and Control Points : Passage Point;25131200,25131200,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131300.emf,64,Command and Control Points : Point of Interest,Control Measure : Point,Control Measure;Command and Control Points;Point of Interest;G*GPGPRI--****X;MAIN;Point;Command and Control Points : Point of Interest;25131300,25131300,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131301.emf,64,Command and Control Points : Point of Interest : Launch Event (Point of Interest),Control Measure : Point,Control Measure;Command and Control Points;Point of Interest;Launch Event (Point of Interest);NEW_AT_2525D;MAIN;Point;Command and Control Points : Point of Interest : Launch Event (Point of Interest);25131301,25131301,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131400.emf,64,Command and Control Points : Rally Point,Control Measure : Point,Control Measure;Command and Control Points;Rally Point;G*GPGPPR--****X;MAIN;Point;Command and Control Points : Rally Point;25131400,25131400,Point,
{Symbols_Root}\Appendices\ControlMeasures\25131500.emf,64,Command and Control Points : Release Point,Control Measure : Point,Control Measure;Command and Control Points;Release Point;G*GPGPPE--****X;MAIN;Point;Command and Control Points : Release Point;25131500,25131500,Point,
