filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Cyberspace\60110100.emf,64,Botnet : Command and Control (C2),Cyberspace : Main Icon,Cyberspace;Botnet;Command and Control (C2);NEW_AT_2525D;MAIN;Point;Botnet : Command and Control (C2);60110100,60110100,Point,
{Symbols_Root}\Appendices\Cyberspace\60110200.emf,64,Botnet : Herder,Cyberspace : Main Icon,Cyberspace;Botnet;Herder;NEW_AT_2525D;MAIN;Point;Botnet : Herder;60110200,60110200,Point,
{Symbols_Root}\Appendices\Cyberspace\60110300.emf,64,Botnet : Callback Domain,Cyberspace : Main Icon,Cyberspace;Botnet;Callback Domain;NEW_AT_2525D;MAIN;Point;Botnet : Callback Domain;60110300,60110300,Point,
{Symbols_Root}\Appendices\Cyberspace\60110400.emf,64,Botnet : Zombie,Cyberspace : Main Icon,Cyberspace;Botnet;Zombie;NEW_AT_2525D;MAIN;Point;Botnet : Zombie;60110400,60110400,Point,
{Symbols_Root}\Appendices\Cyberspace\60120100.emf,64,Infection : APT,Cyberspace : Main Icon,Cyberspace;Infection;Advanced Persistent Threat (APT);NEW_AT_2525D;MAIN;Point;Infection : APT;60120100,60120100,Point,
{Symbols_Root}\Appendices\Cyberspace\60120101.emf,64,Infection : APT : APT with C2,Cyberspace : Main Icon,Cyberspace;Infection;Advanced Persistent Threat (APT);APT with C2;NEW_AT_2525D;MAIN;Point;Infection : APT : APT with C2;60120101,60120101,Point,
{Symbols_Root}\Appendices\Cyberspace\60120102.emf,64,Infection : APT : APT with Self Propagation,Cyberspace : Main Icon,Cyberspace;Infection;Advanced Persistent Threat (APT);APT with Self Propagation;NEW_AT_2525D;MAIN;Point;Infection : APT : APT with Self Propagation;60120102,60120102,Point,
{Symbols_Root}\Appendices\Cyberspace\60120103.emf,64,Infection : APT : APT with C2 and Self Propagation,Cyberspace : Main Icon,Cyberspace;Infection;Advanced Persistent Threat (APT);APT with C2 and Self Propagation;NEW_AT_2525D;MAIN;Point;Infection : APT : APT with C2 and Self Propagation;60120103,60120103,Point,
{Symbols_Root}\Appendices\Cyberspace\60120104.emf,64,Infection : APT : Other,Cyberspace : Main Icon,Cyberspace;Infection;Advanced Persistent Threat (APT);APT Other;NEW_AT_2525D;MAIN;Point;Infection : APT : Other;60120104,60120104,Point,
{Symbols_Root}\Appendices\Cyberspace\60120200.emf,64,Infection : NAPT,Cyberspace : Main Icon,Cyberspace;Infection;Non-Advanced Persistent Threat (NAPT);NEW_AT_2525D;MAIN;Point;Infection : NAPT;60120200,60120200,Point,
{Symbols_Root}\Appendices\Cyberspace\60120201.emf,64,Infection : NAPT : NAPT with C2,Cyberspace : Main Icon,Cyberspace;Infection;Non-Advanced Persistent Threat (NAPT);NAPT with C2;NEW_AT_2525D;MAIN;Point;Infection : NAPT : NAPT with C2;60120201,60120201,Point,
{Symbols_Root}\Appendices\Cyberspace\60120202.emf,64,Infection : NAPT : NAPT with Self Propagation,Cyberspace : Main Icon,Cyberspace;Infection;Non-Advanced Persistent Threat (NAPT);NAPT with Self Propagation;NEW_AT_2525D;MAIN;Point;Infection : NAPT : NAPT with Self Propagation;60120202,60120202,Point,
