filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Frames\0_000_0.emf,64,Pending : Unknown,Frame,Frame;Reality;Pending;Unknown;FRAME;Point;Pending : Unknown;0_000_0,0_000_0,Point,
{Symbols_Root}\Frames\0_000_0c.emf,64,Pending : Unknown : Civilian,Frame,Frame;Reality;Pending;Unknown;Civilian;FRAME;Point;Pending : Unknown : Civilian;0_000_0c,0_000_0c,Point,
{Symbols_Root}\Frames\0_001_0.emf,64,Pending : Air,Frame,Frame;Reality;Pending;Air;Air Missile;Signals Intelligence - Air;Cyberspace;FRAME;Point;Pending : Air;0_001_0,0_001_0,Point,
{Symbols_Root}\Frames\0_001_0c.emf,64,Pending : Air : Civilian,Frame,Frame;Reality;Pending;Air;Civilian;Air Missile;Signals Intelligence - Air;Cyberspace;FRAME;Point;Pending : Air : Civilian;0_001_0c,0_001_0c,Point,
{Symbols_Root}\Frames\0_005_0.emf,64,Pending : Space,Frame,Frame;Reality;Pending;Space;Space Missile;Signals Intelligence - Space;Cyberspace;FRAME;Point;Pending : Space;0_005_0,0_005_0,Point,
{Symbols_Root}\Frames\0_005_0c.emf,64,Pending : Space : Civilian,Frame,Frame;Reality;Pending;Space;Civilian;Space Missile;Signals Intelligence - Space;Cyberspace;FRAME;Point;Pending : Space : Civilian;0_005_0c,0_005_0c,Point,
{Symbols_Root}\Frames\0_010_0.emf,64,Pending : Land Unit,Frame,Frame;Reality;Pending;Land Unit;Land Units;Land Civilian;FRAME;Point;Pending : Land Unit;0_010_0,0_010_0,Point,
{Symbols_Root}\Frames\0_010_0c.emf,64,Pending : Land Unit : Civilian,Frame,Frame;Reality;Pending;Land Unit;Civilian;Land Units;Land Civilian;FRAME;Point;Pending : Land Unit : Civilian;0_010_0c,0_010_0c,Point,
{Symbols_Root}\Frames\0_015_0.emf,64,Pending : Land Equipment,Frame,Frame;Reality;Pending;Land Equipment;Signals Intelligence - Land;Cyberspace;FRAME;Point;Pending : Land Equipment;0_015_0,0_015_0,Point,
{Symbols_Root}\Frames\0_015_0c.emf,64,Pending : Land Equipment : Civilian,Frame,Frame;Reality;Pending;Land Equipment;Civilian;Signals Intelligence - Land;Cyberspace;FRAME;Point;Pending : Land Equipment : Civilian;0_015_0c,0_015_0c,Point,
{Symbols_Root}\Frames\0_020_0.emf,64,Pending : Land Installations,Frame,Frame;Reality;Pending;Land Installations;Land Installation;FRAME;Point;Pending : Land Installations;0_020_0,0_020_0,Point,
{Symbols_Root}\Frames\0_020_0c.emf,64,Pending : Land Installations : Civilian,Frame,Frame;Reality;Pending;Land Installations;Civilian;Land Installation;FRAME;Point;Pending : Land Installations : Civilian;0_020_0c,0_020_0c,Point,
{Symbols_Root}\Frames\0_030_0.emf,64,Pending : Sea Surface,Frame,Frame;Reality;Pending;Sea Surface;Signals Intelligence - Surface;Cyberspace;FRAME;Point;Pending : Sea Surface;0_030_0,0_030_0,Point,
{Symbols_Root}\Frames\0_030_0c.emf,64,Pending : Sea Surface : Civilian,Frame,Frame;Reality;Pending;Sea Surface;Civilian;Signals Intelligence - Surface;Cyberspace;FRAME;Point;Pending : Sea Surface : Civilian;0_030_0c,0_030_0c,Point,
{Symbols_Root}\Frames\0_035_0.emf,64,Pending : Sea Subsurface,Frame,Frame;Reality;Pending;Sea Subsurface;Mine Warfare;Signals Intelligence - Subsurface;Cyberspace;FRAME;Point;Pending : Sea Subsurface;0_035_0,0_035_0,Point,
{Symbols_Root}\Frames\0_035_0c.emf,64,Pending : Sea Subsurface : Civilian,Frame,Frame;Reality;Pending;Sea Subsurface;Civilian;Mine Warfare;Signals Intelligence - Subsurface;Cyberspace;FRAME;Point;Pending : Sea Subsurface : Civilian;0_035_0c,0_035_0c,Point,
{Symbols_Root}\Frames\0_040_0.emf,64,Pending : Activities,Frame,Frame;Reality;Pending;Activities;Activity;FRAME;Point;Pending : Activities;0_040_0,0_040_0,Point,
{Symbols_Root}\Frames\0_040_0c.emf,64,Pending : Activities : Civilian,Frame,Frame;Reality;Pending;Activities;Civilian;Activity;FRAME;Point;Pending : Activities : Civilian;0_040_0c,0_040_0c,Point,
{Symbols_Root}\Frames\0_198_0.emf,64,Unknown : Internal,Frame,Frame;Reality;Unknown;Internal;FRAME;Point;Unknown : Internal;0_198_0,0_198_0,Point,
{Symbols_Root}\Frames\0_198_0.emf,64,Unknown : Internal : Civilian,Frame,Frame;Reality;Unknown;Internal;Civilian;FRAME;Point;Unknown : Internal : Civilian;0_198_0c,0_198_0c,Point,
{Symbols_Root}\Frames\0_100_0.emf,64,Unknown : Unknown,Frame,Frame;Reality;Unknown;Unknown;FRAME;Point;Unknown : Unknown;0_100_0,0_100_0,Point,
{Symbols_Root}\Frames\0_100_1.emf,64,Unknown : Unknown : Planned,Frame,Frame;Reality;Unknown;Unknown;Planned;FRAME;Point;Unknown : Unknown : Planned;0_100_1,0_100_1,Point,
