filePath,pointSize,styleItemName,styleItemCategory,styleItemTags
{Symbols_Root}\Frames\0000.svg,32,Frame : Pending : 0000,Frame,Frame;Pending;Frames\0000.svg;0000;
{Symbols_Root}\Frames\0001.svg,32,Frame : Pending : 0001,Frame,Frame;Pending;Frames\0001.svg;0001;
{Symbols_Root}\Frames\0005.svg,32,Frame : Pending : 0005,Frame,Frame;Pending;Frames\0005.svg;0005;
{Symbols_Root}\Frames\0010.svg,32,Frame : Pending : 0010,Frame,Frame;Pending;Frames\0010.svg;0010;
{Symbols_Root}\Frames\0020.svg,32,Frame : Pending : 0020,Frame,Frame;Pending;Frames\0020.svg;0020;
{Symbols_Root}\Frames\0030.svg,32,Frame : Pending : 0030,Frame,Frame;Pending;Frames\0030.svg;0030;
{Symbols_Root}\Frames\0035.svg,32,Frame : Pending : 0035,Frame,Frame;Pending;Frames\0035.svg;0035;
{Symbols_Root}\Frames\0040.svg,32,Frame : Pending : 0040,Frame,Frame;Pending;Frames\0040.svg;0040;
{Symbols_Root}\Frames\0100.svg,32,Frame : Unknown : 0100,Frame,Frame;Unknown;Frames\0100.svg;0100;
{Symbols_Root}\Frames\0101.svg,32,Frame : Unknown : 0101,Frame,Frame;Unknown;Frames\0101.svg;0101;
{Symbols_Root}\Frames\0105.svg,32,Frame : Unknown : 0105,Frame,Frame;Unknown;Frames\0105.svg;0105;
{Symbols_Root}\Frames\0110.svg,32,Frame : Unknown : 0110,Frame,Frame;Unknown;Frames\0110.svg;0110;
{Symbols_Root}\Frames\0120.svg,32,Frame : Unknown : 0120,Frame,Frame;Unknown;Frames\0120.svg;0120;
{Symbols_Root}\Frames\0130.svg,32,Frame : Unknown : 0130,Frame,Frame;Unknown;Frames\0130.svg;0130;
{Symbols_Root}\Frames\0135.svg,32,Frame : Unknown : 0135,Frame,Frame;Unknown;Frames\0135.svg;0135;
{Symbols_Root}\Frames\0140.svg,32,Frame : Unknown : 0140,Frame,Frame;Unknown;Frames\0140.svg;0140;
{Symbols_Root}\Frames\0200.svg,32,Frame : Assumed Friend : 0200,Frame,Frame;Assumed Friend;Frames\0200.svg;0200;
{Symbols_Root}\Frames\0201.svg,32,Frame : Assumed Friend : 0201,Frame,Frame;Assumed Friend;Frames\0201.svg;0201;
{Symbols_Root}\Frames\0205.svg,32,Frame : Assumed Friend : 0205,Frame,Frame;Assumed Friend;Frames\0205.svg;0205;
{Symbols_Root}\Frames\0210.svg,32,Frame : Assumed Friend : 0210,Frame,Frame;Assumed Friend;Frames\0210.svg;0210;
{Symbols_Root}\Frames\0220.svg,32,Frame : Assumed Friend : 0220,Frame,Frame;Assumed Friend;Frames\0220.svg;0220;
