filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Land\15110000.emf,64,Weapon/Weapon System,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;NEW_AT_2525D;FULL_OCTAGON;Point;Weapon/Weapon System;15110000,15110000,Point,
{Symbols_Root}\Appendices\Land\15110100.emf,64,Weapon/Weapon System : Rifle,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Rifle;S*GPEWR---*****;FULL_OCTAGON;Point;Weapon/Weapon System : Rifle;15110100,15110100,Point,
{Symbols_Root}\Appendices\Land\15110101.emf,64,Weapon/Weapon System : Rifle : Single Shot Rifle,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Rifle;Single Shot Rifle;S*GPEWRR--*****;FULL_OCTAGON;Point;Weapon/Weapon System : Rifle : Single Shot Rifle;15110101,15110101,Point,
{Symbols_Root}\Appendices\Land\15110102.emf,64,Weapon/Weapon System : Rifle : Semiautomatic Rifle,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Rifle;Semiautomatic Rifle;S*GPEWRL--*****;FULL_OCTAGON;Point;Weapon/Weapon System : Rifle : Semiautomatic Rifle;15110102,15110102,Point,
{Symbols_Root}\Appendices\Land\15110103.emf,64,Weapon/Weapon System : Rifle : Automatic Rifle,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Rifle;Automatic Rifle;S*GPEWRH--*****;FULL_OCTAGON;Point;Weapon/Weapon System : Rifle : Automatic Rifle;15110103,15110103,Point,
{Symbols_Root}\Appendices\Land\15110200.emf,64,Weapon/Weapon System : Machine Gun,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Machine Gun;NEW_AT_2525D;FULL_OCTAGON;Point;Weapon/Weapon System : Machine Gun;15110200,15110200,Point,
{Symbols_Root}\Appendices\Land\15110201.emf,64,Weapon/Weapon System : Machine Gun : Light,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Machine Gun;Light;NEW_AT_2525D;FULL_OCTAGON;Point;Weapon/Weapon System : Machine Gun : Light;15110201,15110201,Point,
{Symbols_Root}\Appendices\Land\15110202.emf,64,Weapon/Weapon System : Machine Gun : Medium,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Machine Gun;Medium;NEW_AT_2525D;FULL_OCTAGON;Point;Weapon/Weapon System : Machine Gun : Medium;15110202,15110202,Point,
{Symbols_Root}\Appendices\Land\15110203.emf,64,Weapon/Weapon System : Machine Gun : Heavy,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Machine Gun;Heavy;NEW_AT_2525D;FULL_OCTAGON;Point;Weapon/Weapon System : Machine Gun : Heavy;15110203,15110203,Point,
{Symbols_Root}\Appendices\Land\15110300.emf,64,Weapon/Weapon System : Grenade Launcher,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Grenade Launcher;S*GPEWZ---*****;FULL_OCTAGON;Point;Weapon/Weapon System : Grenade Launcher;15110300,15110300,Point,
{Symbols_Root}\Appendices\Land\15110301.emf,64,Weapon/Weapon System : Grenade Launcher : Light,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Grenade Launcher;Light;S*GPEWZL--*****;FULL_OCTAGON;Point;Weapon/Weapon System : Grenade Launcher : Light;15110301,15110301,Point,
{Symbols_Root}\Appendices\Land\15110302.emf,64,Weapon/Weapon System : Grenade Launcher : Medium,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Grenade Launcher;Medium;S*GPEWZM--*****;FULL_OCTAGON;Point;Weapon/Weapon System : Grenade Launcher : Medium;15110302,15110302,Point,
{Symbols_Root}\Appendices\Land\15110303.emf,64,Weapon/Weapon System : Grenade Launcher : Heavy,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Grenade Launcher;Heavy;S*GPEWZH--*****;FULL_OCTAGON;Point;Weapon/Weapon System : Grenade Launcher : Heavy;15110303,15110303,Point,
{Symbols_Root}\Appendices\Land\15110400.emf,64,Weapon/Weapon System : Flame Thrower,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Flame Thrower;S*GPEXF---*****;FULL_OCTAGON;Point;Weapon/Weapon System : Flame Thrower;15110400,15110400,Point,
{Symbols_Root}\Appendices\Land\15110500.emf,64,Weapon/Weapon System : Air Defense Gun,Land Equipment : Main Icon,Land Equipment;Weapon/Weapon System;Air Defense Gun;S*GPEWA---*****;FULL_OCTAGON;Point;Weapon/Weapon System : Air Defense Gun;15110500,15110500,Point,
