filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Land\20110000.emf,64,Installation,Land Installation : Main Icon,Land Installation;Installation;MAIN;SIDC_IS_NA;Point;Installation;20110000,20110000,Point,
{Symbols_Root}\Appendices\Land\20110100.emf,64,Installation : Aircraft Production/Assembly,Land Installation : Main Icon,Land Installation;Installation;Aircraft Production/Assembly;MAIN;S*GPIMA---H****;Point;Installation : Aircraft Production/Assembly;20110100,20110100,Point,
{Symbols_Root}\Appendices\Land\20110200.emf,64,Installation : Ammunition and Explosives/Assembly,Land Installation : Main Icon,Land Installation;Installation;Ammunition and Explosives/Assembly;FULL_OCTAGON;S*GPIME---H****;Point;Installation : Ammunition and Explosives/Assembly;20110200,20110200,Point,
{Symbols_Root}\Appendices\Land\20110300_0.emf,64,Installation : Ammunition Cache : Unknown,Land Installation : Main Icon,Land Installation;Installation;Ammunition Cache;Unknown;FULL_FRAME;SIDC_IS_NA;Point;Installation : Ammunition Cache : Unknown;20110300_0,20110300_0,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20110300_1.emf,64,Installation : Ammunition Cache : Friend,Land Installation : Main Icon,Land Installation;Installation;Ammunition Cache;Friend;FULL_FRAME;SIDC_IS_NA;Point;Installation : Ammunition Cache : Friend;20110300_1,20110300_1,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20110300_2.emf,64,Installation : Ammunition Cache : Neutral,Land Installation : Main Icon,Land Installation;Installation;Ammunition Cache;Neutral;FULL_FRAME;SIDC_IS_NA;Point;Installation : Ammunition Cache : Neutral;20110300_2,20110300_2,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20110300_3.emf,64,Installation : Ammunition Cache : Hostile,Land Installation : Main Icon,Land Installation;Installation;Ammunition Cache;Hostile;FULL_FRAME;SIDC_IS_NA;Point;Installation : Ammunition Cache : Hostile;20110300_3,20110300_3,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20110400.emf,64,Installation : Armament Production,Land Installation : Main Icon,Land Installation;Installation;Armament Production;FULL_OCTAGON;S*GPIMG---H****;Point;Installation : Armament Production;20110400,20110400,Point,
{Symbols_Root}\Appendices\Land\20110500.emf,64,Installation : Black List Location,Land Installation : Main Icon,Land Installation;Installation;Black List Location;MAIN;O*LPB-----*****;Point;Installation : Black List Location;20110500,20110500,Point,
{Symbols_Root}\Appendices\Land\20110600.emf,64,Installation : Chemical-Biological-Radiological and Nuclear (CBRN),Land Installation : Main Icon,Land Installation;Installation;Chemical-Biological-Radiological and Nuclear (CBRN);MAIN;S*GPIRN---H****;Point;Installation : Chemical-Biological-Radiological and Nuclear (CBRN);20110600,20110600,Point,
{Symbols_Root}\Appendices\Land\20110700.emf,64,Installation : Engineering Equipment Production,Land Installation : Main Icon,Land Installation;Installation;Engineering Equipment Production;FULL_OCTAGON;S*GPIMN---H****;Point;Installation : Engineering Equipment Production;20110700,20110700,Point,
{Symbols_Root}\Appendices\Land\20110701.emf,64,Installation : Engineering Equipment Production : Bridge,Land Installation : Main Icon,Land Installation;Installation;Engineering Equipment Production;Bridge;MAIN;S*GPIMNB--H****;Point;Installation : Engineering Equipment Production : Bridge;20110701,20110701,Point,
{Symbols_Root}\Appendices\Land\20110800.emf,64,Installation : Equipment Manufacture,Land Installation : Main Icon,Land Installation;Installation;Equipment Manufacture;FULL_OCTAGON;S*GPIE----H****;Point;Installation : Equipment Manufacture;20110800,20110800,Point,
{Symbols_Root}\Appendices\Land\20110900.emf,64,Installation : Government Leadership,Land Installation : Main Icon,Land Installation;Installation;Government Leadership;MAIN;S*GPIG----H****;Point;Installation : Government Leadership;20110900,20110900,Point,
{Symbols_Root}\Appendices\Land\20111000.emf,64,Installation : Gray List Location,Land Installation : Main Icon,Land Installation;Installation;Gray List Location;MAIN;O*LPG-----*****;Point;Installation : Gray List Location;20111000,20111000,Point,
{Symbols_Root}\Appendices\Land\20111100.emf,64,Installation : Mass Grave Site,Land Installation : Main Icon,Land Installation;Installation;Mass Grave Site;MAIN;O*LPM-----*****;Point;Installation : Mass Grave Site;20111100,20111100,Point,
{Symbols_Root}\Appendices\Land\20111200_0.emf,64,Installation : Materiel : Unknown,Land Installation : Main Icon,Land Installation;Installation;Materiel;Unknown;FULL_FRAME;SIDC_IS_NA;Point;Installation : Materiel : Unknown;20111200_0,20111200_0,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20111200_1.emf,64,Installation : Materiel : Friend,Land Installation : Main Icon,Land Installation;Installation;Materiel;Friend;FULL_FRAME;SIDC_IS_NA;Point;Installation : Materiel : Friend;20111200_1,20111200_1,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20111200_2.emf,64,Installation : Materiel : Neutral,Land Installation : Main Icon,Land Installation;Installation;Materiel;Neutral;FULL_FRAME;SIDC_IS_NA;Point;Installation : Materiel : Neutral;20111200_2,20111200_2,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20111200_3.emf,64,Installation : Materiel : Hostile,Land Installation : Main Icon,Land Installation;Installation;Materiel;Hostile;FULL_FRAME;SIDC_IS_NA;Point;Installation : Materiel : Hostile;20111200_3,20111200_3,Point,icon touches frame;
{Symbols_Root}\Appendices\Land\20111300.emf,64,Installation : Mine,Land Installation : Main Icon,Land Installation;Installation;Mine;MAIN;S*GPIRM---H****;Point;Installation : Mine;20111300,20111300,Point,
{Symbols_Root}\Appendices\Land\20111400.emf,64,Installation : Missile and Space System Production,Land Installation : Main Icon,Land Installation;Installation;Missile and Space System Production;FULL_OCTAGON;S*GPIMM---H****;Point;Installation : Missile and Space System Production;20111400,20111400,Point,
{Symbols_Root}\Appendices\Land\20111500.emf,64,Installation : Nuclear (Non CBRN Defense),Land Installation : Main Icon,Land Installation;Installation;Nuclear (Non CBRN Defense);MAIN;S*GPIMF---H****;Point;Installation : Nuclear (Non CBRN Defense);20111500,20111500,Point,
{Symbols_Root}\Appendices\Land\20111600.emf,64,Installation : Printed Media,Land Installation : Main Icon,Land Installation;Installation;Printed Media;MAIN;SIDC_IS_NA;Point;Installation : Printed Media;20111600,20111600,Point,
{Symbols_Root}\Appendices\Land\20111700.emf,64,Installation : Safe House,Land Installation : Main Icon,Land Installation;Installation;Safe House;MAIN;O*IPS-----*****;Point;Installation : Safe House;20111700,20111700,Point,
{Symbols_Root}\Appendices\Land\20111800.emf,64,Installation : White List Location,Land Installation : Main Icon,Land Installation;Installation;White List Location;MAIN;O*LPW-----*****;Point;Installation : White List Location;20111800,20111800,Point,
{Symbols_Root}\Appendices\Land\20111900.emf,64,Installation : Tented Camp,Land Installation : Main Icon,Land Installation;Installation;Tented Camp;FULL_OCTAGON;SIDC_IS_NA;Point;Installation : Tented Camp;20111900,20111900,Point,
{Symbols_Root}\Appendices\Land\20111901.emf,64,Installation : Tented Camp : Displaced Persons / Refugee / Evacuees Camp,Land Installation : Main Icon,Land Installation;Installation;Tented Camp;Displaced Persons / Refugee / Evacuees Camp;FULL_OCTAGON;SIDC_IS_NA;Point;Installation : Tented Camp : Displaced Persons / Refugee / Evacuees Camp;20111901,20111901,Point,
{Symbols_Root}\Appendices\Land\20111902.emf,64,Installation : Tented Camp : Training Camp,Land Installation : Main Icon,Land Installation;Installation;Tented Camp;Training Camp;FULL_OCTAGON;SIDC_IS_NA;Point;Installation : Tented Camp : Training Camp;20111902,20111902,Point,
{Symbols_Root}\Appendices\Land\20112000.emf,64,Installation : Warehouse/Storage Facility,Land Installation : Main Icon,Land Installation;Installation;Warehouse/Storage Facility;FULL_OCTAGON;SIDC_IS_NA;Point;Installation : Warehouse/Storage Facility;20112000,20112000,Point,
{Symbols_Root}\Appendices\Land\20112100.emf,64,Installation : Law Enforcement,Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;FULL_OCTAGON;E*OPDC----H****;Point;Installation : Law Enforcement;20112100,20112100,Point,
{Symbols_Root}\Appendices\Land\20112101.emf,64,Installation : Law Enforcement : Bureau of Alcohol-Tobacco-Firearms and Explosives (ATF) (Department of Justice),Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Bureau of Alcohol-Tobacco-Firearms and Explosives (ATF) (Department of Justice);MAIN;E*OPDDC---H****;Point;Installation : Law Enforcement : Bureau of Alcohol-Tobacco-Firearms and Explosives (ATF) (Department of Justice);20112101,20112101,Point,styleItemTags > 255;
{Symbols_Root}\Appendices\Land\20112102.emf,64,Installation : Law Enforcement : Border Patrol,Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Border Patrol;FULL_OCTAGON;E*OPDEC---H****;Point;Installation : Law Enforcement : Border Patrol;20112102,20112102,Point,
{Symbols_Root}\Appendices\Land\20112103.emf,64,Installation : Law Enforcement : Customs Service,Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Customs Service;FULL_OCTAGON;E*OPDFC---H****;Point;Installation : Law Enforcement : Customs Service;20112103,20112103,Point,
{Symbols_Root}\Appendices\Land\20112104.emf,64,Installation : Law Enforcement : Drug Enforcement Administration (DEA),Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Drug Enforcement Administration (DEA);MAIN;E*OPDGC---H****;Point;Installation : Law Enforcement : Drug Enforcement Administration (DEA);20112104,20112104,Point,
{Symbols_Root}\Appendices\Land\20112105.emf,64,Installation : Law Enforcement : Department of Justice (DOJ),Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Department of Justice (DOJ);FULL_OCTAGON;E*OPDHC---H****;Point;Installation : Law Enforcement : Department of Justice (DOJ);20112105,20112105,Point,
{Symbols_Root}\Appendices\Land\20112106.emf,64,Installation : Law Enforcement : Federal Bureau of Investigation (FBI),Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Federal Bureau of Investigation (FBI);MAIN;E*OPDIC---H****;Point;Installation : Law Enforcement : Federal Bureau of Investigation (FBI);20112106,20112106,Point,
{Symbols_Root}\Appendices\Land\20112107.emf,64,Installation : Law Enforcement : Police,Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Police;MAIN;E*OPDJC---H****;Point;Installation : Law Enforcement : Police;20112107,20112107,Point,
{Symbols_Root}\Appendices\Land\20112108.emf,64,Installation : Law Enforcement : Prison,Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Prison;FULL_OCTAGON;SIDC_IS_NA;Point;Installation : Law Enforcement : Prison;20112108,20112108,Point,
{Symbols_Root}\Appendices\Land\20112109.emf,64,Installation : Law Enforcement : United States Secret Service (USSS),Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;United States Secret Service (USSS);MAIN;E*OPDLC---H****;Point;Installation : Law Enforcement : United States Secret Service (USSS);20112109,20112109,Point,
{Symbols_Root}\Appendices\Land\20112110.emf,64,Installation : Law Enforcement : Transportation Security Administration (TSA),Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Transportation Security Administration (TSA);MAIN;E*OPDMC---H****;Point;Installation : Law Enforcement : Transportation Security Administration (TSA);20112110,20112110,Point,
{Symbols_Root}\Appendices\Land\20112111.emf,64,Installation : Law Enforcement : Coast Guard,Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;Coast Guard;FULL_OCTAGON;E*OPDNC---H****;Point;Installation : Law Enforcement : Coast Guard;20112111,20112111,Point,
{Symbols_Root}\Appendices\Land\20112112.emf,64,Installation : Law Enforcement : US Marshals Service,Land Installation : Main Icon,Land Installation;Installation;Law Enforcement;US Marshals Service;FULL_OCTAGON;E*OPDOC---H****;Point;Installation : Law Enforcement : US Marshals Service;20112112,20112112,Point,
{Symbols_Root}\Appendices\Land\20112200.emf,64,Installation : Emergency Operation,Land Installation : Main Icon,Land Installation;Installation;Emergency Operation;FULL_OCTAGON;E*OPBC----H****;Point;Installation : Emergency Operation;20112200,20112200,Point,
{Symbols_Root}\Appendices\Land\20112201.emf,64,Installation : Emergency Operation : Fire Station,Land Installation : Main Icon,Land Installation;Installation;Emergency Operation;Fire Station;FULL_OCTAGON;E*OPCE----H****;Point;Installation : Emergency Operation : Fire Station;20112201,20112201,Point,
{Symbols_Root}\Appendices\Land\20112202.emf,64,Installation : Emergency Operation : Emergency Medical Operation,Land Installation : Main Icon,Land Installation;Installation;Emergency Operation;Emergency Medical Operation;FULL_OCTAGON;E*OPAC----H****;Point;Installation : Emergency Operation : Emergency Medical Operation;20112202,20112202,Point,
