filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\Land\10110000.svg,32,Land Unit : Command and Control,Land Unit : Main Icon,Land Unit;Command and Control;Point;Appendices\Land\10110000.svg;Land Unit : Command and Control;10110000,
{Symbols_Root}\Appendices\Land\10110100.svg,32,Land Unit : Command and Control : Broadcast Transmitter Antennae,Land Unit : Main Icon,Land Unit;Command and Control;Broadcast Transmitter Antennae;Point;Appendices\Land\10110100.svg;Land Unit : Command and Control : Broadcast Transmitter Antennae;10110100,
{Symbols_Root}\Appendices\Land\10110200.svg,32,Land Unit : Command and Control : Civil Affairs ,Land Unit : Main Icon,Land Unit;Command and Control;Civil Affairs ;Point;Appendices\Land\10110200.svg;Land Unit : Command and Control : Civil Affairs ;10110200,
{Symbols_Root}\Appendices\Land\10110300.svg,32,Land Unit : Command and Control : Civil-Military Cooperation ,Land Unit : Main Icon,Land Unit;Command and Control;Civil-Military Cooperation ;Point;Appendices\Land\10110300.svg;Land Unit : Command and Control : Civil-Military Cooperation ;10110300,
{Symbols_Root}\Appendices\Land\10110400.svg,32,Land Unit : Command and Control : Information Operations,Land Unit : Main Icon,Land Unit;Command and Control;Information Operations;Point;Appendices\Land\10110400.svg;Land Unit : Command and Control : Information Operations;10110400,
{Symbols_Root}\Appendices\Land\10110500.svg,32,Land Unit : Command and Control : Liaison,Land Unit : Main Icon,Land Unit;Command and Control;Liaison;Point;Appendices\Land\10110500.svg;Land Unit : Command and Control : Liaison;10110500,
{Symbols_Root}\Appendices\Land\10110600.svg,32,Land Unit : Command and Control : Military Information Support Operations (MISO),Land Unit : Main Icon,Land Unit;Command and Control;Military Information Support Operations (MISO);Point;Appendices\Land\10110600.svg;Land Unit : Command and Control : Military Information Support Operations (MISO);10110600,
{Symbols_Root}\Appendices\Land\10110601.svg,32,Land Unit : Command and Control : Military Information Support Operations (MISO) : Broadcast Transmitter Antennae,Land Unit : Main Icon,Land Unit;Command and Control;Military Information Support Operations (MISO);Broadcast Transmitter Antennae;Point;Appendices\Land\10110601.svg;Land Unit : Command and Control : Military Information Support Operations (MISO) : Broadcast Transmitter Antennae;10110601,
{Symbols_Root}\Appendices\Land\10110700.svg,32,Land Unit : Command and Control : Radio,Land Unit : Main Icon,Land Unit;Command and Control;Radio;Point;Appendices\Land\10110700.svg;Land Unit : Command and Control : Radio;10110700,
{Symbols_Root}\Appendices\Land\10110800.svg,32,Land Unit : Command and Control : Radio Relay,Land Unit : Main Icon,Land Unit;Command and Control;Radio Relay;Point;Appendices\Land\10110800.svg;Land Unit : Command and Control : Radio Relay;10110800,
