filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\SeaSurface\30110000.svg,32,Sea Surface : Military,Sea Surface : Main Icon,Sea Surface;Military;Point;Appendices\SeaSurface\30110000.svg;Sea Surface : Military;30110000,
{Symbols_Root}\Appendices\SeaSurface\30120000.svg,32,Sea Surface : Military Combatant,Sea Surface : Main Icon,Sea Surface;Military Combatant;Point;Appendices\SeaSurface\30120000.svg;Sea Surface : Military Combatant;30120000,
{Symbols_Root}\Appendices\SeaSurface\30120100.svg,32,Sea Surface : Military Combatant : Carrier,Sea Surface : Main Icon,Sea Surface;Military Combatant;Carrier;Point;Appendices\SeaSurface\30120100.svg;Sea Surface : Military Combatant : Carrier;30120100,
{Symbols_Root}\Appendices\SeaSurface\30120200.svg,32,Sea Surface : Military Combatant : Surface Combatant-Line,Sea Surface : Main Icon,Sea Surface;Military Combatant;Surface Combatant-Line;Point;Appendices\SeaSurface\30120200.svg;Sea Surface : Military Combatant : Surface Combatant-Line;30120200,
{Symbols_Root}\Appendices\SeaSurface\30120201.svg,32,Sea Surface : Military Combatant : Surface Combatant-Line : Battleship,Sea Surface : Main Icon,Sea Surface;Military Combatant;Surface Combatant-Line;Battleship;Point;Appendices\SeaSurface\30120201.svg;Sea Surface : Military Combatant : Surface Combatant-Line : Battleship;30120201,
{Symbols_Root}\Appendices\SeaSurface\30120202.svg,32,Sea Surface : Military Combatant : Surface Combatant-Line : Cruiser,Sea Surface : Main Icon,Sea Surface;Military Combatant;Surface Combatant-Line;Cruiser;Point;Appendices\SeaSurface\30120202.svg;Sea Surface : Military Combatant : Surface Combatant-Line : Cruiser;30120202,
{Symbols_Root}\Appendices\SeaSurface\30120203.svg,32,Sea Surface : Military Combatant : Surface Combatant-Line : Destroyer,Sea Surface : Main Icon,Sea Surface;Military Combatant;Surface Combatant-Line;Destroyer;Point;Appendices\SeaSurface\30120203.svg;Sea Surface : Military Combatant : Surface Combatant-Line : Destroyer;30120203,
{Symbols_Root}\Appendices\SeaSurface\30120204.svg,32,Sea Surface : Military Combatant : Surface Combatant-Line : Frigate,Sea Surface : Main Icon,Sea Surface;Military Combatant;Surface Combatant-Line;Frigate;Point;Appendices\SeaSurface\30120204.svg;Sea Surface : Military Combatant : Surface Combatant-Line : Frigate;30120204,
{Symbols_Root}\Appendices\SeaSurface\30120205.svg,32,Sea Surface : Military Combatant : Surface Combatant-Line : Corvette,Sea Surface : Main Icon,Sea Surface;Military Combatant;Surface Combatant-Line;Corvette;Point;Appendices\SeaSurface\30120205.svg;Sea Surface : Military Combatant : Surface Combatant-Line : Corvette;30120205,
{Symbols_Root}\Appendices\SeaSurface\30120206.svg,32,Sea Surface : Military Combatant : Surface Combatant-Line : Littoral Combatant Ship,Sea Surface : Main Icon,Sea Surface;Military Combatant;Surface Combatant-Line;Littoral Combatant Ship;Point;Appendices\SeaSurface\30120206.svg;Sea Surface : Military Combatant : Surface Combatant-Line : Littoral Combatant Ship;30120206,
{Symbols_Root}\Appendices\SeaSurface\30120300.svg,32,Sea Surface : Military Combatant : Amphibious Warfare Ship,Sea Surface : Main Icon,Sea Surface;Military Combatant;Amphibious Warfare Ship;Point;Appendices\SeaSurface\30120300.svg;Sea Surface : Military Combatant : Amphibious Warfare Ship;30120300,
{Symbols_Root}\Appendices\SeaSurface\30120301.svg,32,Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Command Ship,Sea Surface : Main Icon,Sea Surface;Military Combatant;Amphibious Warfare Ship;Amphibious Command Ship;Point;Appendices\SeaSurface\30120301.svg;Sea Surface : Military Combatant : Amphibious Warfare Ship : Amphibious Command Ship;30120301,
