filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\SigInt\50110100.emf,64,Signal Intercept (Space) : Communications,Signals Intelligence - Space : Main Icon,Signals Intelligence - Space;Signal Intercept;Communications;NEW_AT_2525D;MAIN;Point;Signal Intercept (Space) : Communications;50110100,50110100,Point,
{Symbols_Root}\Appendices\SigInt\50110200.emf,64,Signal Intercept (Space) : Jammer,Signals Intelligence - Space : Main Icon,Signals Intelligence - Space;Signal Intercept;Jammer;NEW_AT_2525D;MAIN;Point;Signal Intercept (Space) : Jammer;50110200,50110200,Point,
{Symbols_Root}\Appendices\SigInt\50110300.emf,64,Signal Intercept (Space) : Radar,Signals Intelligence - Space : Main Icon,Signals Intelligence - Space;Signal Intercept;Radar;NEW_AT_2525D;MAIN;Point;Signal Intercept (Space) : Radar;50110300,50110300,Point,
{Symbols_Root}\Appendices\SigInt\51110100.emf,64,Signal Intercept (Air) : Communications,Signals Intelligence - Air : Main Icon,Signals Intelligence - Air;Signal Intercept;Communications;I*APSCC---*****;MAIN;Point;Signal Intercept (Air) : Communications;51110100,51110100,Point,
{Symbols_Root}\Appendices\SigInt\51110200.emf,64,Signal Intercept (Air) : Jammer,Signals Intelligence - Air : Main Icon,Signals Intelligence - Air;Signal Intercept;Jammer;NEW_AT_2525D;MAIN;Point;Signal Intercept (Air) : Jammer;51110200,51110200,Point,
{Symbols_Root}\Appendices\SigInt\51110300.emf,64,Signal Intercept (Air) : Radar,Signals Intelligence - Air : Main Icon,Signals Intelligence - Air;Signal Intercept;Radar;NEW_AT_2525D;MAIN;Point;Signal Intercept (Air) : Radar;51110300,51110300,Point,
{Symbols_Root}\Appendices\SigInt\52110100.emf,64,Signal Intercept (Land) : Communications,Signals Intelligence - Land : Main Icon,Signals Intelligence - Land;Signal Intercept;Communications;NEW_AT_2525D;MAIN;Point;Signal Intercept (Land) : Communications;52110100,52110100,Point,
{Symbols_Root}\Appendices\SigInt\52110200.emf,64,Signal Intercept (Land) : Jammer,Signals Intelligence - Land : Main Icon,Signals Intelligence - Land;Signal Intercept;Jammer;NEW_AT_2525D;MAIN;Point;Signal Intercept (Land) : Jammer;52110200,52110200,Point,
{Symbols_Root}\Appendices\SigInt\52110300.emf,64,Signal Intercept (Land) : Radar,Signals Intelligence - Land : Main Icon,Signals Intelligence - Land;Signal Intercept;Radar;I*GPSRCS--*****;MAIN;Point;Signal Intercept (Land) : Radar;52110300,52110300,Point,
{Symbols_Root}\Appendices\SigInt\53110100.emf,64,Signal Intercept (Sea Surface) : Communications,Signals Intelligence - Surface : Main Icon,Signals Intelligence - Surface;Signal Intercept;Communications;NEW_AT_2525D;MAIN;Point;Signal Intercept (Sea Surface) : Communications;53110100,53110100,Point,
{Symbols_Root}\Appendices\SigInt\53110200.emf,64,Signal Intercept (Sea Surface) : Jammer,Signals Intelligence - Surface : Main Icon,Signals Intelligence - Surface;Signal Intercept;Jammer;NEW_AT_2525D;MAIN;Point;Signal Intercept (Sea Surface) : Jammer;53110200,53110200,Point,
{Symbols_Root}\Appendices\SigInt\53110300.emf,64,Signal Intercept (Sea Surface) : Radar,Signals Intelligence - Surface : Main Icon,Signals Intelligence - Surface;Signal Intercept;Radar;NEW_AT_2525D;MAIN;Point;Signal Intercept (Sea Surface) : Radar;53110300,53110300,Point,
{Symbols_Root}\Appendices\SigInt\54110100.emf,64,Signal Intercept (Sea Subsurface) : Communications,Signals Intelligence - Subsurface : Main Icon,Signals Intelligence - Subsurface;Signal Intercept;Communications;NEW_AT_2525D;MAIN;Point;Signal Intercept (Sea Subsurface) : Communications;54110100,54110100,Point,
{Symbols_Root}\Appendices\SigInt\54110200.emf,64,Signal Intercept (Sea Subsurface) : Jammer,Signals Intelligence - Subsurface : Main Icon,Signals Intelligence - Subsurface;Signal Intercept;Jammer;NEW_AT_2525D;MAIN;Point;Signal Intercept (Sea Subsurface) : Jammer;54110200,54110200,Point,
{Symbols_Root}\Appendices\SigInt\54110300.emf,64,Signal Intercept (Sea Subsurface) : Radar,Signals Intelligence - Subsurface : Main Icon,Signals Intelligence - Subsurface;Signal Intercept;Radar;NEW_AT_2525D;MAIN;Point;Signal Intercept (Sea Subsurface) : Radar;54110300,54110300,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50141.emf,64,Radar : Data Transmission (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Data Transmission;MOD1;Point;Radar : Data Transmission (Space);50141,50141,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50151.emf,64,Radar : Earth Surveillance,Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Earth Surveillance;MOD1;Point;Radar : Earth Surveillance;50151,50151,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50211.emf,64,Radar : Identification Friend or Foe (Interrogator) (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Identification Friend or Foe (Interrogator);MOD1;Point;Radar : Identification Friend or Foe (Interrogator) (Space);50211,50211,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50241.emf,64,Radar : Identification Friend or Foe (Transponder) (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Identification Friend or Foe (Transponder);MOD1;Point;Radar : Identification Friend or Foe (Transponder) (Space);50241,50241,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50251.emf,64,Jammer : Barrage Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Barrage Jammer;MOD1;Point;Jammer : Barrage Jammer (Space);50251,50251,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50261.emf,64,Jammer : Click Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Click Jammer;MOD1;Point;Jammer : Click Jammer (Space);50261,50261,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50271.emf,64,Jammer : Deceptive Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Deceptive Jammer;MOD1;Point;Jammer : Deceptive Jammer (Space);50271,50271,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50281.emf,64,Jammer : Frequency Swept Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Frequency Swept Jammer;MOD1;Point;Jammer : Frequency Swept Jammer (Space);50281,50281,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50291.emf,64,Jammer : Jammer (General) (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Jammer (General);MOD1;Point;Jammer : Jammer (General) (Space);50291,50291,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50301.emf,64,Jammer : Noise Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Noise Jammer;MOD1;Point;Jammer : Noise Jammer (Space);50301,50301,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50311.emf,64,Jammer : Pulsed Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Pulsed Jammer;MOD1;Point;Jammer : Pulsed Jammer (Space);50311,50311,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50321.emf,64,Jammer : Repeater Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Repeater Jammer;MOD1;Point;Jammer : Repeater Jammer (Space);50321,50321,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50331.emf,64,Jammer : Spot Noise Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Spot Noise Jammer;MOD1;Point;Jammer : Spot Noise Jammer (Space);50331,50331,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50341.emf,64,Jammer : Transponder Jammer (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Transponder Jammer;MOD1;Point;Jammer : Transponder Jammer (Space);50341,50341,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50361.emf,64,Jammer : Missile Control (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Missile Control;MOD1;Point;Jammer : Missile Control (Space);50361,50361,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50391.emf,64,Jammer : Multi-Function (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Multi-Function;MOD1;Point;Jammer : Multi-Function (Space);50391,50391,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50421.emf,64,Jammer : Missile Tracking (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Missile Tracking;MOD1;Point;Jammer : Missile Tracking (Space);50421,50421,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50431.emf,64,Jammer : Navigational/General (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Navigational/General;MOD1;Point;Jammer : Navigational/General (Space);50431,50431,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50441.emf,64,Jammer : Navigational/Distance Measuring Equipment (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Navigational/Distance Measuring Equipment;MOD1;Point;Jammer : Navigational/Distance Measuring Equipment (Space);50441,50441,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50451.emf,64,Jammer : Navigation/Terrain Following (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Navigation/Terrain Following;MOD1;Point;Jammer : Navigation/Terrain Following (Space);50451,50451,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50491.emf,64,Communications : Point-to-Point Line of Sight (LOS) (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Point-to-Point Line of Sight (LOS);MOD1;Point;Communications : Point-to-Point Line of Sight (LOS) (Space);50491,50491,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50501.emf,64,Radar : Instrumentation (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Instrumentation;MOD1;Point;Radar : Instrumentation (Space);50501,50501,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50511.emf,64,Radar : Range Only (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Range Only;MOD1;Point;Radar : Range Only (Space);50511,50511,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50531.emf,64,Communications : Satellite Downlink (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Satellite Downlink;MOD1;Point;Communications : Satellite Downlink (Space);50531,50531,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50541.emf,64,Radar : Space (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Space;MOD1;Point;Radar : Space (Space);50541,50541,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50551.emf,64,Radar : Surface Search (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Surface Search;MOD1;Point;Radar : Surface Search (Space);50551,50551,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50581.emf,64,Jammer : Target Acquisition (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Target Acquisition;MOD1;Point;Jammer : Target Acquisition (Space);50581,50581,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50611.emf,64,Radar : Target Tracking (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Target Tracking;MOD1;Point;Radar : Target Tracking (Space);50611,50611,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50621.emf,64,Radar : Unknown (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Unknown;MOD1;Point;Radar : Unknown (Space);50621,50621,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50631.emf,64,Radar : Video Remoting (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Video Remoting;MOD1;Point;Radar : Video Remoting (Space);50631,50631,Point,
{Symbols_Root}\Appendices\SigInt\mod1\50641.emf,64,Radar : Experimental (Space),Signals Intelligence - Space : Modifier 1,Signals Intelligence - Space;Modifier 1;Experimental;MOD1;Point;Radar : Experimental (Space);50641,50641,Point,
