filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\Space\05110000.emf,64,Military (Space),Space : Main Icon,Space;Military;MAIN;Point;Military (Space);05110000,05110000,Point,
{Symbols_Root}\Appendices\Space\05110100.emf,64,Military (Space) : Space Vehicle,Space : Main Icon,Space;Military;Space Vehicle;MAIN;Point;Military (Space) : Space Vehicle;05110100,05110100,Point,
{Symbols_Root}\Appendices\Space\05110200.emf,64,Military (Space) : Re-Entry Vehicle,Space : Main Icon,Space;Military;Re-Entry Vehicle;MAIN;Point;Military (Space) : Re-Entry Vehicle;05110200,05110200,Point,
{Symbols_Root}\Appendices\Space\05110300.emf,64,Military (Space) : Planet Lander,Space : Main Icon,Space;Military;Planet Lander;MAIN;Point;Military (Space) : Planet Lander;05110300,05110300,Point,
{Symbols_Root}\Appendices\Space\05110400.emf,64,Military (Space) : Orbiter Shuttle,Space : Main Icon,Space;Military;Orbiter Shuttle;MAIN;Point;Military (Space) : Orbiter Shuttle;05110400,05110400,Point,
{Symbols_Root}\Appendices\Space\05110500.emf,64,Military (Space) : Capsule,Space : Main Icon,Space;Military;Capsule;MAIN;Point;Military (Space) : Capsule;05110500,05110500,Point,
{Symbols_Root}\Appendices\Space\05110600.emf,64,Military (Space) : Satellite- General,Space : Main Icon,Space;Military;Satellite- General;MAIN;Point;Military (Space) : Satellite- General;05110600,05110600,Point,
{Symbols_Root}\Appendices\Space\05110700.emf,64,Military (Space) : Satellite,Space : Main Icon,Space;Military;Satellite;MAIN;Point;Military (Space) : Satellite;05110700,05110700,Point,
{Symbols_Root}\Appendices\Space\05110800.emf,64,Military (Space) : Antisatellite Weapon,Space : Main Icon,Space;Military;Antisatellite Weapon;MAIN;Point;Military (Space) : Antisatellite Weapon;05110800,05110800,Point,
{Symbols_Root}\Appendices\Space\05110900.emf,64,Military (Space) : Astronomical Satellite,Space : Main Icon,Space;Military;Astronomical Satellite;MAIN;Point;Military (Space) : Astronomical Satellite;05110900,05110900,Point,
{Symbols_Root}\Appendices\Space\05111000.emf,64,Military (Space) : Biosatellite,Space : Main Icon,Space;Military;Biosatellite;MAIN;Point;Military (Space) : Biosatellite;05111000,05111000,Point,
{Symbols_Root}\Appendices\Space\05111100.emf,64,Military (Space) : Communications Satellite,Space : Main Icon,Space;Military;Communications Satellite;MAIN;Point;Military (Space) : Communications Satellite;05111100,05111100,Point,
{Symbols_Root}\Appendices\Space\05111200.emf,64,Military (Space) : Earth Observation Satellite,Space : Main Icon,Space;Military;Earth Observation Satellite;MAIN;Point;Military (Space) : Earth Observation Satellite;05111200,05111200,Point,
{Symbols_Root}\Appendices\Space\05111300.emf,64,Military (Space) : Miniaturized Satellite,Space : Main Icon,Space;Military;Miniaturized Satellite;MAIN;Point;Military (Space) : Miniaturized Satellite;05111300,05111300,Point,
{Symbols_Root}\Appendices\Space\05111400.emf,64,Military (Space) : Navigational Satellite,Space : Main Icon,Space;Military;Navigational Satellite;MAIN;Point;Military (Space) : Navigational Satellite;05111400,05111400,Point,
{Symbols_Root}\Appendices\Space\05111500.emf,64,Military (Space) : Reconnaissance Satellite,Space : Main Icon,Space;Military;Reconnaissance Satellite;MAIN;Point;Military (Space) : Reconnaissance Satellite;05111500,05111500,Point,
{Symbols_Root}\Appendices\Space\05111600.emf,64,Military (Space) : Space Station,Space : Main Icon,Space;Military;Space Station;MAIN;Point;Military (Space) : Space Station;05111600,05111600,Point,
{Symbols_Root}\Appendices\Space\05111700.emf,64,Military (Space) : Tethered Satellite,Space : Main Icon,Space;Military;Tethered Satellite;MAIN;Point;Military (Space) : Tethered Satellite;05111700,05111700,Point,
{Symbols_Root}\Appendices\Space\05111800.emf,64,Military (Space) : Weather Satellite,Space : Main Icon,Space;Military;Weather Satellite;MAIN;Point;Military (Space) : Weather Satellite;05111800,05111800,Point,
{Symbols_Root}\Appendices\Space\05111900.emf,64,Military (Space) : Space Launched Vehicle (SLV),Space : Main Icon,Space;Military;Space Launched Vehicle (SLV);MAIN;Point;Military (Space) : Space Launched Vehicle (SLV);05111900,05111900,Point,
{Symbols_Root}\Appendices\Space\05120000.emf,64,Civilian (Space),Space : Main Icon,Space;Civilian;MAIN;Point;Civilian (Space);05120000,05120000,Point,
{Symbols_Root}\Appendices\Space\05120100.emf,64,Civilian (Space) : Orbiter Shuttle,Space : Main Icon,Space;Civilian;Orbiter Shuttle;MAIN;Point;Civilian (Space) : Orbiter Shuttle;05120100,05120100,Point,
{Symbols_Root}\Appendices\Space\05120200.emf,64,Civilian (Space) : Capsule,Space : Main Icon,Space;Civilian;Capsule;MAIN;Point;Civilian (Space) : Capsule;05120200,05120200,Point,
{Symbols_Root}\Appendices\Space\05120300.emf,64,Civilian (Space) : Satellite,Space : Main Icon,Space;Civilian;Satellite;MAIN;Point;Civilian (Space) : Satellite;05120300,05120300,Point,
{Symbols_Root}\Appendices\Space\05120400.emf,64,Civilian (Space) : Astronomical Satellite,Space : Main Icon,Space;Civilian;Astronomical Satellite;MAIN;Point;Civilian (Space) : Astronomical Satellite;05120400,05120400,Point,
{Symbols_Root}\Appendices\Space\05120500.emf,64,Civilian (Space) : Biosatellite,Space : Main Icon,Space;Civilian;Biosatellite;MAIN;Point;Civilian (Space) : Biosatellite;05120500,05120500,Point,
{Symbols_Root}\Appendices\Space\05120600.emf,64,Civilian (Space) : Communications Satellite,Space : Main Icon,Space;Civilian;Communications Satellite;MAIN;Point;Civilian (Space) : Communications Satellite;05120600,05120600,Point,
{Symbols_Root}\Appendices\Space\05120700.emf,64,Civilian (Space) : Earth Observation Satellite,Space : Main Icon,Space;Civilian;Earth Observation Satellite;MAIN;Point;Civilian (Space) : Earth Observation Satellite;05120700,05120700,Point,
{Symbols_Root}\Appendices\Space\05120800.emf,64,Civilian (Space) : Miniaturized Satellite,Space : Main Icon,Space;Civilian;Miniaturized Satellite;MAIN;Point;Civilian (Space) : Miniaturized Satellite;05120800,05120800,Point,
{Symbols_Root}\Appendices\Space\05120900.emf,64,Civilian (Space) : Navigational Satellite,Space : Main Icon,Space;Civilian;Navigational Satellite;MAIN;Point;Civilian (Space) : Navigational Satellite;05120900,05120900,Point,
{Symbols_Root}\Appendices\Space\05121000.emf,64,Civilian (Space) : Space Station,Space : Main Icon,Space;Civilian;Space Station;MAIN;Point;Civilian (Space) : Space Station;05121000,05121000,Point,
{Symbols_Root}\Appendices\Space\05121100.emf,64,Civilian (Space) : Tethered Satellite,Space : Main Icon,Space;Civilian;Tethered Satellite;MAIN;Point;Civilian (Space) : Tethered Satellite;05121100,05121100,Point,
{Symbols_Root}\Appendices\Space\05121200.emf,64,Civilian (Space) : Weather Satellite,Space : Main Icon,Space;Civilian;Weather Satellite;MAIN;Point;Civilian (Space) : Weather Satellite;05121200,05121200,Point,
{Symbols_Root}\Appendices\Space\05130000.emf,64,Manual Track (Space),Space : Main Icon,Space;Manual Track;FULL_OCTAGON;Point;Manual Track (Space);05130000,05130000,Point,
{Symbols_Root}\Appendices\Space\06110000.emf,64,Missile (Space Missile),Space Missile : Main Icon,Space Missile;Missile;MAIN;Point;Missile (Space Missile);06110000,06110000,Point,
{Symbols_Root}\Appendices\Space\mod1\05011.emf,64,Orbit : Low Earth Orbit (LEO),Space : Modifier 1,Space;Modifier 1;Low Earth Orbit (LEO);MOD1;Point;Orbit : Low Earth Orbit (LEO);05011,05011,Point,
{Symbols_Root}\Appendices\Space\mod1\05021.emf,64,Orbit : Medium Earth Orbit (MEO),Space : Modifier 1,Space;Modifier 1;Medium Earth Orbit (MEO);MOD1;Point;Orbit : Medium Earth Orbit (MEO);05021,05021,Point,
{Symbols_Root}\Appendices\Space\mod1\05031.emf,64,Orbit : High Earth Orbit (HEO),Space : Modifier 1,Space;Modifier 1;High Earth Orbit (HEO);MOD1;Point;Orbit : High Earth Orbit (HEO);05031,05031,Point,
{Symbols_Root}\Appendices\Space\mod1\05041.emf,64,Orbit : Geosynchronous Orbit (GSO),Space : Modifier 1,Space;Modifier 1;Geosynchronous Orbit (GSO);MOD1;Point;Orbit : Geosynchronous Orbit (GSO);05041,05041,Point,
{Symbols_Root}\Appendices\Space\mod1\05051.emf,64,Orbit : Geostationary Orbit (GO),Space : Modifier 1,Space;Modifier 1;Geostationary Orbit (GO);MOD1;Point;Orbit : Geostationary Orbit (GO);05051,05051,Point,
{Symbols_Root}\Appendices\Space\mod1\05061.emf,64,Orbit : Molniya Orbit (MO),Space : Modifier 1,Space;Modifier 1;Molniya Orbit (MO);MOD1;Point;Orbit : Molniya Orbit (MO);05061,05061,Point,
{Symbols_Root}\Appendices\Space\mod1\06011.emf,64,Missile Class : Ballistic (Space Missile),Space Missile : Modifier 1,Space Missile;Modifier 1;Ballistic;MOD1;Point;Missile Class : Ballistic (Space Missile);06011,06011,Point,
{Symbols_Root}\Appendices\Space\mod1\06021.emf,64,Launch Origin : Space 1,Space Missile : Modifier 1,Space Missile;Modifier 1;Space;MOD1;Point;Launch Origin : Space 1;06021,06021,Point,
{Symbols_Root}\Appendices\Space\mod1\06031.emf,64,Missile Class : Interceptor (Space Missile),Space Missile : Modifier 1,Space Missile;Modifier 1;Interceptor;MOD1;Point;Missile Class : Interceptor (Space Missile);06031,06031,Point,
{Symbols_Root}\Appendices\Space\mod2\05012.emf,64,Sensor : Optical,Space : Modifier 2,Space;Modifier 2;Optical;MOD2;Point;Sensor : Optical;05012,05012,Point,
