filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\METOC\Atmospheric\45162004.emf,64,Weather Symbols : Tropical Storm Systems : Tropical Storm Wind Areas and Date/Time Labels,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Weather Symbols;Tropical Storm Systems;Tropical Storm Wind Areas and Date/Time Labels;WA-DWSTSWA--A**;MAIN;Area;Weather Symbols : Tropical Storm Systems : Tropical Storm Wind Areas and Date/Time Labels;45162004,45162004,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170100.emf,64,Bounded Areas : Instrument Flight Rule (IFR),Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Instrument Flight Rule (IFR);WA-DBAIF----A**;MAIN;Area;Bounded Areas : Instrument Flight Rule (IFR);45170100,45170100,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170200.emf,64,Bounded Areas : Marginal Visual Flight Rule (MVFR),Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Marginal Visual Flight Rule (MVFR);WA-DBAMV----A**;MAIN;Area;Bounded Areas : Marginal Visual Flight Rule (MVFR);45170200,45170200,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170300.emf,64,Bounded Areas : Turbulence,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Turbulence;WA-DBATB----A**;MAIN;Area;Bounded Areas : Turbulence;45170300,45170300,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170400.emf,64,Bounded Areas : Icing,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Icing;WA-DBAI-----A**;MAIN;Area;Bounded Areas : Icing;45170400,45170400,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170500.emf,64,Bounded Areas : Liquid Precipitation - Non-Convective Continuous or Intermittent,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Liquid Precipitation - Non-Convective Continuous or Intermittent;WA-DBALPNC--A**;MAIN;Area;Bounded Areas : Liquid Precipitation - Non-Convective Continuous or Intermittent;45170500,45170500,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170501.emf,64,Bounded Areas : Liquid Precipitation - Non-Convective Continuous or Intermittent : Liquid Precipitation - Convective,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Liquid Precipitation - Non-Convective Continuous or Intermittent;Liquid Precipitation - Convective;WA-DBALPC---A**;MAIN;Area;Bounded Areas : Liquid Precipitation - Non-Convective Continuous or Intermittent : Liquid Precipitation - Convective;45170501,45170501,Area,styleItemTags > 255;
{Symbols_Root}\Appendices\METOC\Atmospheric\45170600.emf,64,Bounded Areas : Freezing /Frozen Precipitation,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Freezing /Frozen Precipitation;WA-DBAFP----A**;MAIN;Area;Bounded Areas : Freezing /Frozen Precipitation;45170600,45170600,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170700.emf,64,Bounded Areas : Thunderstorm,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Thunderstorm;WA-DBAT-----A**;MAIN;Area;Bounded Areas : Thunderstorm;45170700,45170700,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170800.emf,64,Bounded Areas : Fog,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Fog;WA-DBAFG----A**;MAIN;Area;Bounded Areas : Fog;45170800,45170800,Area,
{Symbols_Root}\Appendices\METOC\Atmospheric\45170900.emf,64,Bounded Areas : Dust or Sand,Meteorological - Atmospheric : Area,Meteorological - Atmospheric;Bounded Areas of Weather;Dust or Sand;WA-DBAD-----A**;MAIN;Area;Bounded Areas : Dust or Sand;45170900,45170900,Area,
