filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\METOC\Atmospheric\45110000.svg,32,Atmospheric : Pressure Systems,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Point;Appendices\METOC\Atmospheric\45110000.svg;Atmospheric : Pressure Systems;45110000,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110100.svg,32,Atmospheric : Pressure Systems : Low Pressure Center,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Low Pressure Center;Point;Appendices\METOC\Atmospheric\45110100.svg;Atmospheric : Pressure Systems : Low Pressure Center;45110100,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110101.svg,32,Atmospheric : Pressure Systems : Low Pressure Center : Cyclone Center,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Low Pressure Center;Cyclone Center;Point;Appendices\METOC\Atmospheric\45110101.svg;Atmospheric : Pressure Systems : Low Pressure Center : Cyclone Center;45110101,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110102.svg,32,Atmospheric : Pressure Systems : Low Pressure Center : Tropopause Low,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Low Pressure Center;Tropopause Low;Point;Appendices\METOC\Atmospheric\45110102.svg;Atmospheric : Pressure Systems : Low Pressure Center : Tropopause Low;45110102,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110200.svg,32,Atmospheric : Pressure Systems : High Pressure Center,Atmospheric : Main Icon,Atmospheric;Pressure Systems;High Pressure Center;Point;Appendices\METOC\Atmospheric\45110200.svg;Atmospheric : Pressure Systems : High Pressure Center;45110200,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110201.svg,32,Atmospheric : Pressure Systems : High Pressure Center : Anticyclone Center,Atmospheric : Main Icon,Atmospheric;Pressure Systems;High Pressure Center;Anticyclone Center;Point;Appendices\METOC\Atmospheric\45110201.svg;Atmospheric : Pressure Systems : High Pressure Center : Anticyclone Center;45110201,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110102.svg,32,Atmospheric : Pressure Systems : High Pressure Center : Tropopause High,Atmospheric : Main Icon,Atmospheric;Pressure Systems;High Pressure Center;Tropopause High;Point;Appendices\METOC\Atmospheric\45110102.svg;Atmospheric : Pressure Systems : High Pressure Center : Tropopause High;45110102,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110500.svg,32,Atmospheric : Pressure Systems : Pressure Tendency,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Point;Appendices\METOC\Atmospheric\45110500.svg;Atmospheric : Pressure Systems : Pressure Tendency;45110500,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110501.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Rise Then Fall Higher,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Rise Then Fall Higher;Point;Appendices\METOC\Atmospheric\45110501.svg;Atmospheric : Pressure Systems : Pressure Tendency : Rise Then Fall Higher;45110501,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110502.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Rise Then Steady,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Rise Then Steady;Point;Appendices\METOC\Atmospheric\45110502.svg;Atmospheric : Pressure Systems : Pressure Tendency : Rise Then Steady;45110502,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110503.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Rise,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Rise;Point;Appendices\METOC\Atmospheric\45110503.svg;Atmospheric : Pressure Systems : Pressure Tendency : Rise;45110503,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110504.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Rise Then Rise Higher,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Rise Then Rise Higher;Point;Appendices\METOC\Atmospheric\45110504.svg;Atmospheric : Pressure Systems : Pressure Tendency : Rise Then Rise Higher;45110504,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110505.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Steady,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Steady;Point;Appendices\METOC\Atmospheric\45110505.svg;Atmospheric : Pressure Systems : Pressure Tendency : Steady;45110505,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110506.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Fall Then Rise Lower,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Fall Then Rise Lower;Point;Appendices\METOC\Atmospheric\45110506.svg;Atmospheric : Pressure Systems : Pressure Tendency : Fall Then Rise Lower;45110506,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110507.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Fall Then Steady,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Fall Then Steady;Point;Appendices\METOC\Atmospheric\45110507.svg;Atmospheric : Pressure Systems : Pressure Tendency : Fall Then Steady;45110507,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110508.svg,32,Atmospheric : Pressure Systems : Pressure Tendency : Fall,Atmospheric : Main Icon,Atmospheric;Pressure Systems;Pressure Tendency;Fall;Point;Appendices\METOC\Atmospheric\45110508.svg;Atmospheric : Pressure Systems : Pressure Tendency : Fall;45110508,
