filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,styleItemUniqueId,styleItemGeometryType,notes
{Symbols_Root}\Appendices\METOC\Atmospheric\45110301.emf,64,Pressure Systems : Frontal Systems : Cold Front,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Cold Front;MAIN;WA-DPFC----L-**;Line;Pressure Systems : Frontal Systems : Cold Front;45110301,45110301,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110302.emf,64,Pressure Systems : Frontal Systems : Upper Cold Front,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Upper Cold Front;MAIN;WA-DPFCU---L-**;Line;Pressure Systems : Frontal Systems : Upper Cold Front;45110302,45110302,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110303.emf,64,Pressure Systems : Frontal Systems : Cold Frontogenesis,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Cold Frontogenesis;MAIN;WA-DPFC-FG-L-**;Line;Pressure Systems : Frontal Systems : Cold Frontogenesis;45110303,45110303,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110304.emf,64,Pressure Systems : Frontal Systems : Cold Frontolysis,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Cold Frontolysis;MAIN;WA-DPFC-FY-L-**;Line;Pressure Systems : Frontal Systems : Cold Frontolysis;45110304,45110304,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110305.emf,64,Pressure Systems : Frontal Systems : Warm Front,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Warm Front;MAIN;WA-DPFW----L-**;Line;Pressure Systems : Frontal Systems : Warm Front;45110305,45110305,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110306.emf,64,Pressure Systems : Frontal Systems : Upper Warm Front,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Upper Warm Front;MAIN;WA-DPFWU---L-**;Line;Pressure Systems : Frontal Systems : Upper Warm Front;45110306,45110306,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110307.emf,64,Pressure Systems : Frontal Systems : Warm Frontogenesis,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Warm Frontogenesis;MAIN;WA-DPFW-FG-L-**;Line;Pressure Systems : Frontal Systems : Warm Frontogenesis;45110307,45110307,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110308.emf,64,Pressure Systems : Frontal Systems : Warm Frontolysis,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Warm Frontolysis;MAIN;WA-DPFW-FY-L-**;Line;Pressure Systems : Frontal Systems : Warm Frontolysis;45110308,45110308,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110309.emf,64,Pressure Systems : Frontal Systems : Occluded Front,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Occluded Front;MAIN;WA-DPFO----L-**;Line;Pressure Systems : Frontal Systems : Occluded Front;45110309,45110309,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110310.emf,64,Pressure Systems : Frontal Systems : Upper Occluded Front,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Upper Occluded Front;MAIN;WA-DPFOU---L-**;Line;Pressure Systems : Frontal Systems : Upper Occluded Front;45110310,45110310,Line,
{Symbols_Root}\Appendices\METOC\Atmospheric\45110311.emf,64,Pressure Systems : Frontal Systems : Occluded Frontolysis,Meteorological - Atmospheric : Line,Meteorological - Atmospheric;Pressure Systems;Frontal Systems;Occluded Frontolysis;MAIN;WA-DPFO-FY-L-**;Line;Pressure Systems : Frontal Systems : Occluded Frontolysis;45110311,45110311,Line,
