filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\METOC\Atmospheric\45110100.emf,32,Pressure Systems : Low Pressure Center,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;Low Pressure Center;MAIN;Appendices\METOC\Atmospheric\45110100.svg;Point;Pressure Systems : Low Pressure Center;45110100,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110101.emf,32,Pressure Systems : Low Pressure Center : Cyclone Center,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;Low Pressure Center;Cyclone Center;MAIN;Appendices\METOC\Atmospheric\45110101.svg;Point;Pressure Systems : Low Pressure Center : Cyclone Center;45110101,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110102.emf,32,Pressure Systems : Low Pressure Center : Tropopause Low,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;Low Pressure Center;Tropopause Low;MAIN;Appendices\METOC\Atmospheric\45110102.svg;Point;Pressure Systems : Low Pressure Center : Tropopause Low;45110102,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110200.emf,32,Pressure Systems : High Pressure Center,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;High Pressure Center;MAIN;Appendices\METOC\Atmospheric\45110200.svg;Point;Pressure Systems : High Pressure Center;45110200,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110201.emf,32,Pressure Systems : High Pressure Center : Anticyclone Center,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;High Pressure Center;Anticyclone Center;MAIN;Appendices\METOC\Atmospheric\45110201.svg;Point;Pressure Systems : High Pressure Center : Anticyclone Center;45110201,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110102.emf,32,Pressure Systems : High Pressure Center : Tropopause High,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;High Pressure Center;Tropopause High;MAIN;Appendices\METOC\Atmospheric\45110102.svg;Point;Pressure Systems : High Pressure Center : Tropopause High;45110202,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110501.emf,32,Pressure Systems : Pressure Tendency : Rise Then Fall Higher,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;Pressure Tendency;Rise Then Fall Higher;MAIN;Appendices\METOC\Atmospheric\45110501.svg;Point;Pressure Systems : Pressure Tendency : Rise Then Fall Higher;45110501,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110502.emf,32,Pressure Systems : Pressure Tendency : Rise Then Steady,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;Pressure Tendency;Rise Then Steady;MAIN;Appendices\METOC\Atmospheric\45110502.svg;Point;Pressure Systems : Pressure Tendency : Rise Then Steady;45110502,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110503.emf,32,Pressure Systems : Pressure Tendency : Rise,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;Pressure Tendency;Rise;MAIN;Appendices\METOC\Atmospheric\45110503.svg;Point;Pressure Systems : Pressure Tendency : Rise;45110503,icon is MAIN;image file does not exist;
{Symbols_Root}\Appendices\METOC\Atmospheric\45110504.emf,32,Pressure Systems : Pressure Tendency : Rise Then Rise Higher,Meteorological - Atmospheric : Main Icon,Meteorological - Atmospheric;Pressure Systems;Pressure Tendency;Rise Then Rise Higher;MAIN;Appendices\METOC\Atmospheric\45110504.svg;Point;Pressure Systems : Pressure Tendency : Rise Then Rise Higher;45110504,icon is MAIN;image file does not exist;
