field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_notes
identity,Integer,4,Standard Identity,NULLABLE,Identity,,
symbolset,SmallInteger,2,Symbol Set,NULLABLE,,25,
entity,Integer,4,Area Entity,NULLABLE,Control_Measure_Area_Entities,,
echelon,Integer,4,Echelon,NULLABLE,Echelons,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,
additionalinformation,String,20,Additional Information,NULLABLE,,,
additionalinformation2,String,20,Additional Information 2,NULLABLE,,,
distance,Double,8,Distance (meters),NULLABLE,,,
azimuth,SmallInteger,2,Azimuth (degrees),NULLABLE,,,
distance2,Double,8,Distance 2 (meters),NULLABLE,,,
targetdesignator,String,6,Target Designator,NULLABLE,,,
hostile,String,3,Hostile (ENY),NULLABLE,,,
type,String,24,Type of Equipment,NULLABLE,,,
x,Double,8,X Location,NULLABLE,,,
y,Double,8,Y Location,NULLABLE,,,
z,Double,8,Altitude/Depth,NULLABLE,,,
x2,Double,8,X Location 2,NULLABLE,,,
y2,Double,8,Y Location 2,NULLABLE,,,
z2,Double,8,Altitude/Depth 2,NULLABLE,,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,
createdby,String,50,Created By,NULLABLE,,,
createdtime,Date,8,Created Time,NULLABLE,,,
editedby,String,50,Edited By,NULLABLE,,,
editedtime,Date,8,Edited Time,NULLABLE,,,
