field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_notes
symbolset,SmallInteger,2,Symbol Set,NULLABLE,,,
entity,Integer,4,METOC Point Entity,NULLABLE,,,
additionalinformation,String,20,Additional Information,NULLABLE,,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,
createdby,String,50,Created By,NULLABLE,,,
createdtime,Date,8,Created Time,NULLABLE,,,
editedby,String,50,Edited By,NULLABLE,,,
editedtime,Date,8,Edited Time,NULLABLE,,,
