field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_notes
identity,Integer,4,Standard Identity,NULLABLE,Identity,,
context,SmallInteger,2,Context,NULLABLE,Context,,
symbolset,SmallInteger,2,Symbol Set,NULLABLE,,,
entity,Integer,4,SIGINT Entity,NULLABLE,,,
modifier1,Integer,4,Modifier 1,NULLABLE,,,
sigintmobility,String,1,SIGINT Mobility,NULLABLE,SIGINTMobility,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,
additionalinformation,String,20,Additional Information,NULLABLE,,,
staffcomment,String,20,Staff Comments,NULLABLE,,,
higherformation,String,21,Higher Formation,NULLABLE,,,
platformtype,String,5,Platform Type (ELNOT or CENOT),NULLABLE,,,
equipmentteardown,SmallInteger,2,Equipment Teardown Time (min),NULLABLE,,,
commonidentifier,String,12,Common Identifier,NULLABLE,,,
credibility,SmallInteger,2,Credibility,NULLABLE,Credibility,,
reliability,String,2,Reliability,NULLABLE,Reliability,,
signatureequipment,String,1,Signature Equipment (hostile),NULLABLE,,,
type,String,24,Type of Equipment,NULLABLE,,,
quantity,SmallInteger,2,Quantity,NULLABLE,,,
specialdesignator,String,3,Special Track Designator,NULLABLE,,,
guardedunit,String,2,Guarded Unit,NULLABLE,,,
direction,SmallInteger,2,Direction,NULLABLE,Direction,,
speed,SmallInteger,2,Speed,NULLABLE,,,
speedunit,String,3,Speed Unit,NULLABLE,SpeedUnits,,
x,Double,8,X Location,NULLABLE,,,
y,Double,8,Y Location,NULLABLE,,,
z,Double,8,Altitude/Depth,NULLABLE,,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,
countrycode,String,3,Country Code,NULLABLE,,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,
createdby,String,50,Created By,NULLABLE,,,
createdtime,Date,8,Created Time,NULLABLE,,,
editedby,String,50,Edited By,NULLABLE,,,
editedtime,Date,8,Edited Time,NULLABLE,,,
