Name,Value
Air : Military,01110000
Air : Military : Fixed-Wing,01110100
Air : Military : Fixed-Wing : Medical Evacuation (MEDEVAC),01110101
Air : Military : Fixed-Wing : Attack/Strike,01110102
Air : Military : Fixed-Wing : Bomber,01110103
Air : Military : Fixed-Wing : Fighter,01110104
Air : Military : Fixed-Wing : Fighter/Bomber,01110105
Air : Military : Fixed-Wing : Cargo,01110107
Air : Military : Fixed-Wing : Electronic Combat (EC)/Jammer,01110108
Air : Military : Fixed-Wing : Tanker,01110109
Air : Military : Fixed-Wing : Patrol,01110110
Air : Military : Fixed-Wing : Reconnaissance,01110111
Air : Military : Fixed-Wing : Trainer,01110112
Air : Military : Fixed-Wing : Utility,01110113
Air : Military : Fixed-Wing : VSTOL,01110114
Air : Military : Fixed-Wing : Airborne Command Post (ACP),01110115
Air : Military : Fixed-Wing : Airborne Early Warning (AEW),01110116
Air : Military : Fixed-Wing : Antisurface Warfare,01110117
Air : Military : Fixed-Wing : Antisubmarine Warfare,01110118
Air : Military : Fixed-Wing : Communications,01110119
Air : Military : Fixed-Wing : Combat Search and Rescue (CSAR),01110120
Air : Military : Fixed-Wing : Electronic Support (ES),01110121
Air : Military : Fixed-Wing : Government,01110122
Air : Military : Fixed-Wing : Mine Countermeasures (MCM),01110123
Air : Military : Fixed-Wing : Personnel Recovery,01110124
Air : Military : Fixed-Wing : Search and Rescue,01110125
Air : Military : Fixed-Wing : Special Operations Forces,01110126
Air : Military : Fixed-Wing : Ultra Light,01110127
Air : Military : Fixed-Wing : Photographic Reconnaissance,01110128
Air : Military : Fixed-Wing : Very Important Person (VIP),01110129
Air : Military : Fixed-Wing : Suppression of Enemy Air Defense,01110130
Air : Military : Fixed-Wing : Passenger,01110131
Air : Military : Fixed-Wing : Escort,01110132
Air : Military : Fixed-Wing : Electronic Attack (EA),01110133
Air : Military : Rotary-Wing,01110200
Air : Military : Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV),01110300
Air : Military : Vertical-Takeoff UAV (VT-UAV),01110400
Air : Military : Lighter Than Air,01110500
Air : Military : Airship,01110600
Air : Military : Tethered Lighter Than Air,01110700
Air : Civilian,01120000
Air : Civilian : Fixed Wing,01120100
Air : Civilian : Rotary Wing,01120200
Air : Civilian : Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remote Piloted Vehicle (RPV),01120300
Air : Civilian : Lighter Than Air,01120400
Air : Civilian : Airship,01120500
Air : Civilian : Tethered Lighter than Air,01120600
Air : Weapon,01130000
Air : Weapon : Bomb,01130100
Air : Weapon : Decoy,01130200
Air : Manual Track,01140000
Air : Modifier 1 : Military Aircraft Type : Attack/Strike,01011
Air : Modifier 1 : Military Aircraft Type : Bomber,01021
Air : Modifier 1 : Aircraft Type : Cargo,01031
Air : Modifier 1 : Military Aircraft Type : Fighter,01041
Air : Modifier 1 : Military Aircraft Type : Interceptor,01051
Air : Modifier 1 : Aircraft Type : Tanker,01061
Air : Modifier 1 : Aircraft Type : Utility,01071
Air : Modifier 1 : Aircraft Type : VSTOL/VTOL,01081
Air : Modifier 1 : Aircraft Type : Passenger,01091
Air : Modifier 1 : Aircraft Type : Ultra Light,01101
Air : Modifier 1 : Military Aircraft Type : Airborne Command Post (ACP),01111
Air : Modifier 1 : Military Aircraft Type : Airborne Early Warning (AEW),01121
Air : Modifier 1 : Aircraft Type : Government,01131
Air : Modifier 1 : Mission Area : Medical Evacuation (MEDEVAC),01141
Air : Modifier 1 : Military Mission Area : Escort,01151
Air : Modifier 1 : Military Mission Area : Electronic Combat (EC)/Jammer,01161
Air : Modifier 1 : Mission Area : Patrol,01171
Air : Modifier 1 : Mission Area : Reconnaissance,01181
Air : Modifier 1 : Mission Area : Trainer,01191
Air : Modifier 1 : Mission Area : Photographic (Reconnaissance),01201
Air : Modifier 1 : Mission Area : Personnel Recovery,01211
Air : Modifier 1 : Military Mission Area : Antisubmarine Warfare,01221
Air : Modifier 1 : Mission Area : Communications,01231
Air : Modifier 1 : Military Mission Area : Electronic Support (ES),01241
Air : Modifier 1 : Military Mission Area : Mine Countermeasures (MCM),01251
Air : Modifier 1 : Mission Area : Search and Rescue,01261
Air : Modifier 1 : Military Mission Area : Special Operations Forces,01271
Air : Modifier 1 : Military Mission Area : Surface Warfare,01281
Air : Modifier 1 : Mission Area : Very Important Person (VIP) Transport,01291
Air : Modifier 1 : Military Mission Area : Combat Search and Rescue (CSAR),01301
Air : Modifier 1 : Military Mission Area : Suppression of Enemy Air Defenses,01311
Air : Modifier 1 : Military Mission Area : Antisurface Warfare,01321
Air : Modifier 1 : Military Aircraft Type : Fighter/Bomber,01331
Air : Modifier 1 : Mission Area : Intensive Care,01341
Air : Modifier 1 : Military Mission Area : Electronic Attack (EA),01351
Air : Modifier 1 : Mission Area : Multimission,01361
Air : Modifier 1 : Crime : Hijacking,01371
Air : Modifier 1 : Mission Area : ASW Helo - LAMPS,01381
Air : Modifier 1 : Mission Area : ASW Helo – SH-60R,01391
Air : Modifier 2 : Cargo/Transport Capacity : Heavy,01012
Air : Modifier 2 : Cargo/Transport Capacity : Medium,01022
Air : Modifier 2 : Cargo/Transport Capacity : Light,01032
Air : Modifier 2 : Re-fueling Capability : Boom-Only,01042
Air : Modifier 2 : Re-fueling Capability : Drogue-Only,01052
Air : Modifier 2 : Re-fueling Capability : Boom and Drogue,01062
Air : Modifier 2 : Range : Close Range,01072
Air : Modifier 2 : Range : Short Range,01082
Air : Modifier 2 : Range : Medium Range,01092
Air : Modifier 2 : Range : Long Range,01102
Air : Modifier 2 : Track Link Availability : Downlinked,01112
