Name,Value
Military (Air),"01110000"
Military (Air) : Fixed-Wing,"01110100"
Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC),"01110101"
Military (Air) : Fixed-Wing : Attack/Strike,"01110102"
Military (Air) : Fixed-Wing : Bomber,"01110103"
Military (Air) : Fixed-Wing : Fighter,"01110104"
Military (Air) : Fixed-Wing : Fighter/Bomber,"01110105"
Military (Air) : Fixed-Wing : Cargo,"01110107"
Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer,"01110108"
Military (Air) : Fixed-Wing : Tanker,"01110109"
Military (Air) : Fixed-Wing : Patrol,"01110110"
Military (Air) : Fixed-Wing : Reconnaissance,"01110111"
Military (Air) : Fixed-Wing : Trainer,"01110112"
Military (Air) : Fixed-Wing : Utility,"01110113"
Military (Air) : Fixed-Wing : VSTOL,"01110114"
Military (Air) : Fixed-Wing : Airborne Command Post (ACP),"01110115"
Military (Air) : Fixed-Wing : Airborne Early Warning (AEW),"01110116"
Military (Air) : Fixed-Wing : Antisurface Warfare,"01110117"
Military (Air) : Fixed-Wing : Antisubmarine Warfare,"01110118"
Military (Air) : Fixed-Wing : Communications,"01110119"
Military (Air) : Fixed-Wing : Combat Search and Rescue (CSAR),"01110120"
Military (Air) : Fixed-Wing : Electronic Support (ES),"01110121"
Military (Air) : Fixed-Wing : Government,"01110122"
Military (Air) : Fixed-Wing : Mine Countermeasures (MCM),"01110123"
Military (Air) : Fixed-Wing : Personnel Recovery,"01110124"
Military (Air) : Fixed-Wing : Search and Rescue,"01110125"
Military (Air) : Fixed-Wing : Special Operations Forces,"01110126"
Military (Air) : Fixed-Wing : Ultra Light,"01110127"
Military (Air) : Fixed-Wing : Photographic Reconnaissance,"01110128"
Military (Air) : Fixed-Wing : Very Important Person (VIP),"01110129"
Military (Air) : Fixed-Wing : Suppression of Enemy Air Defense,"01110130"
Military (Air) : Fixed-Wing : Passenger,"01110131"
Military (Air) : Fixed-Wing : Escort,"01110132"
Military (Air) : Fixed-Wing : Electronic Attack (EA),"01110133"
Military (Air) : Rotary-Wing,"01110200"
Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV),"01110300"
Military (Air) : Vertical-Takeoff UAV (VT-UAV),"01110400"
Military (Air) : Lighter Than Air,"01110500"
Military (Air) : Airship,"01110600"
Military (Air) : Tethered Lighter Than Air,"01110700"
Civilian (Air),"01120000"
Civilian (Air) : Fixed Wing,"01120100"
Civilian (Air) : Rotary Wing,"01120200"
Civilian (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV),"01120300"
Civilian (Air) : Lighter Than Air,"01120400"
Civilian (Air) : Airship,"01120500"
Civilian (Air) : Tethered Lighter than Air,"01120600"
Weapon (Air),"01130000"
Weapon (Air) : Bomb,"01130100"
Weapon (Air) : Decoy,"01130200"
Manual Track (Air),"01140000"
Missile (Air Missile),"02110000"
Military (Space),"05110000"
Military (Space) : Space Vehicle,"05110100"
Military (Space) : Re-Entry Vehicle,"05110200"
Military (Space) : Planet Lander,"05110300"
Military (Space) : Orbiter Shuttle,"05110400"
Military (Space) : Capsule,"05110500"
Military (Space) : Satellite- General,"05110600"
Military (Space) : Satellite,"05110700"
Military (Space) : Antisatellite Weapon,"05110800"
Military (Space) : Astronomical Satellite,"05110900"
Military (Space) : Biosatellite,"05111000"
Military (Space) : Communications Satellite,"05111100"
Military (Space) : Earth Observation Satellite,"05111200"
Military (Space) : Miniaturized Satellite,"05111300"
Military (Space) : Navigational Satellite,"05111400"
Military (Space) : Reconnaissance Satellite,"05111500"
Military (Space) : Space Station,"05111600"
Military (Space) : Tethered Satellite,"05111700"
Military (Space) : Weather Satellite,"05111800"
Military (Space) : Space Launched Vehicle (SLV),"05111900"
Civilian (Space),"05120000"
Civilian (Space) : Orbiter Shuttle,"05120100"
Civilian (Space) : Capsule,"05120200"
Civilian (Space) : Satellite,"05120300"
Civilian (Space) : Astronomical Satellite,"05120400"
Civilian (Space) : Biosatellite,"05120500"
Civilian (Space) : Communications Satellite,"05120600"
Civilian (Space) : Earth Observation Satellite,"05120700"
Civilian (Space) : Miniaturized Satellite,"05120800"
Civilian (Space) : Navigational Satellite,"05120900"
Civilian (Space) : Space Station,"05121000"
Civilian (Space) : Tethered Satellite,"05121100"
Civilian (Space) : Weather Satellite,"05121200"
Manual Track (Space),"05130000"
Missile (Space Missile),"06110000"
Command and Control,"10110000"
Command and Control : Broadcast Transmitter Antennae,"10110100"
Command and Control : Civil Affairs,"10110200"
Command and Control : Civil-Military Cooperation,"10110300"
Command and Control : Information Operations,"10110400"
Command and Control : Liaison,"10110500"
Command and Control : Military Information Support (MISO),"10110600"
Command and Control : Military Information Support (MISO) : Broadcast Transmitter Antennae,"10110601"
Command and Control : Radio,"10110700"
Command and Control : Radio Relay,"10110800"
Command and Control : Radio Teletype Center,"10110900"
Command and Control : Signal : Unknown,"10111000_0"
Command and Control : Signal : Friend,"10111000_1"
Command and Control : Signal : Neutral,"10111000_2"
Command and Control : Signal : Hostile,"10111000_3"
Command and Control : Signal : Radio : Unknown,"10111001_0"
Command and Control : Signal : Radio : Friend,"10111001_1"
Command and Control : Signal : Radio : Neutral,"10111001_2"
Command and Control : Signal : Radio : Hostile,"10111001_3"
Command and Control : Signal : Radio Relay : Unknown,"10111002_0"
Command and Control : Signal : Radio Relay : Friend,"10111002_1"
Command and Control : Signal : Radio Relay : Neutral,"10111002_2"
Command and Control : Signal : Radio Relay : Hostile,"10111002_3"
Command and Control : Signal : Teletype : Unknown,"10111003_0"
Command and Control : Signal : Teletype : Friend,"10111003_1"
Command and Control : Signal : Teletype : Neutral,"10111003_2"
Command and Control : Signal : Teletype : Hostile,"10111003_3"
Command and Control : Signal : Tactical Satellite : Unknown,"10111004_0"
Command and Control : Signal : Tactical Satellite : Friend,"10111004_1"
Command and Control : Signal : Tactical Satellite : Neutral,"10111004_2"
Command and Control : Signal : Tactical Satellite : Hostile,"10111004_3"
Command and Control : Signal : Video Imagery (Combat Camera) : Unknown,"10111005_0"
Command and Control : Signal : Video Imagery (Combat Camera) : Friend,"10111005_1"
Command and Control : Signal : Video Imagery (Combat Camera) : Neutral,"10111005_2"
Command and Control : Signal : Video Imagery (Combat Camera) : Hostile,"10111005_3"
Command and Control : Tactical Satellite,"10111100"
Command and Control : Video Imagery (Combat Camera),"10111200"
Movement and Maneuver : Air Assault with Organic Lift : Unknown,"10120100_0"
Movement and Maneuver : Air Assault with Organic Lift : Friend,"10120100_1"
Movement and Maneuver : Air Assault with Organic Lift : Neutral,"10120100_2"
Movement and Maneuver : Air Assault with Organic Lift : Hostile,"10120100_3"
Movement and Maneuver : Air Traffic Services/Airfield Operations,"10120200"
Movement and Maneuver : Amphibious : Unknown,"10120300_0"
Movement and Maneuver : Amphibious : Friend,"10120300_1"
Movement and Maneuver : Amphibious : Neutral,"10120300_2"
Movement and Maneuver : Amphibious : Hostile,"10120300_3"
Movement and Maneuver : Antitank/Antiarmor : Unknown,"10120400_0"
Movement and Maneuver : Antitank/Antiarmor : Friend,"10120400_1"
Movement and Maneuver : Antitank/Antiarmor : Neutral,"10120400_2"
Movement and Maneuver : Antitank/Antiarmor : Hostile,"10120400_3"
Movement and Maneuver : Antitank/Antiarmor : Armored : Unknown,"10120401_0"
Movement and Maneuver : Antitank/Antiarmor : Armored : Friend,"10120401_1"
Movement and Maneuver : Antitank/Antiarmor : Armored : Neutral,"10120401_2"
Movement and Maneuver : Antitank/Antiarmor : Armored : Hostile,"10120401_3"
