Name,Value
Civilian (Land Civilian) : Organization or Group,O-G-------
Civilian (Land Civilian) : Organization or Group : Organization : Displaced Person(s)- Refugee(s) and Evacuee(s),O-G-A-----
Civilian (Land Civilian) : Organization or Group : Organization : Nongovernmental Organization Member or Nongovernmental Organization,O-G-B-----
Civilian (Land Civilian) : Organization or Group : Organization : Targeted Individual or Organization,O-G-C-----
Civilian (Land Civilian) : Organization or Group : Organization : Religious or Religious Organization,O-G-D-----
Civilian (Land Civilian) : Organization or Group : Organization : Foreign Fighter(s),O-G-E-----
Civilian (Land Civilian) : Organization or Group : Organization : Gang Member or Gang,O-G-F-----
Civilian Vehicle : Drug Vehicle,O-I-D-----
Operation : Law Enforcement Operation : Internal Security Force,O-I-F-----
Incident : Criminal Activity Incident : Graffiti,O-I-G-----
Civilian Vehicle : Known Insurgent Vehicle,O-I-I-----
Installation : Safe House,O-I-S-----
Incident : Criminal Activity Incident : Vandalism / Loot / Ransack / Plunder,O-I-V-----
Installation : Black List Location,O-L-B-----
Installation : Gray List Location,O-L-G-----
Installation : Mass Grave Site,O-L-M-----
Installation : White List Location,O-L-W-----
Incident : Criminal Activity Incident : Arrest,O-O-A-----
Civilian (Land Civilian) : Composite Loss,O-O-C-----
Civilian (Land Civilian) : Composite Loss : Composite Loss : Combat,O-O-CA----
Civilian (Land Civilian) : Composite Loss : Composite Loss : Accident (Land Civilian),O-O-CB----
Civilian (Land Civilian) : Composite Loss : Composite Loss : Other (Land Civilian),O-O-CC----
Civil Disturbance : Demonstration,O-O-D-----
Incident : Criminal Activity Incident : Extortion,O-O-E-----
Operation : Foraging/Searching,O-O-F-----
Transportation Incident : Air : Crime : Hijacking/Hijacked (Activities),O-O-HA----
Transportation Incident : Vehicle : Crime : Hijacking/Hijacked (Activities),O-O-HT----
Transportation Incident : Marine : Crime : Hijacking/Hijacked (Activities),O-O-HV----
Civilian (Land Civilian) : Individual : Crime : Kidnapping (Land Civilian),O-O-K-----
Incident : Criminal Activity Incident : Attempted Criminal Activity : Crime : Kidnapping (Activities),O-O-KA----
Operation : Mine Laying,O-O-M-----
Operation : Emergency Operation : Emergency Food Distribution,O-O-O-----
Operation : Patrolling,O-O-P-----
Operation : Recruitment : Coerced/Impressed,O-O-RC----
Operation : Recruitment : Willing,O-O-RW----
Operation : Spy,O-O-S-----
Incident : Criminal Activity Incident : Drug Related,O-O-U-----
Operation : Military Information Support Operation (MISO),O-O-Y-----
Operation : Military Information Support Operation (MISO) : Psychological Operations : House-to-House,O-O-YH----
Operation : Military Information Support Operation (MISO) : TV and Radio Propaganda,O-O-YT----
Operation : Military Information Support Operation (MISO) : Psychological Operations : Written Psychological Operations,O-O-YW----
Civilian (Land Civilian) : Individual,O-P-------
Civilian (Land Civilian) : Individual : Organization : Leader or Leadership 1,O-P-A-----
