Name,Value
Incident : Criminal Activity Incident,40110100
Incident : Criminal Activity Incident : Arrest,40110101
Incident : Criminal Activity Incident : Arson,40110102
Incident : Criminal Activity Incident : Attempted Criminal Activity,40110103
Incident : Criminal Activity Incident : Drive-by Shooting,40110104
Incident : Criminal Activity Incident : Drug Related,40110105
Incident : Criminal Activity Incident : Extortion,40110106
Incident : Criminal Activity Incident : Graffiti,40110107
Incident : Criminal Activity Incident : Killing,40110108
Incident : Criminal Activity Incident : Poisoning,40110109
Incident : Criminal Activity Incident : Civil Rioting,40110110
Incident : Criminal Activity Incident : Booby Trap,40110111
Incident : Criminal Activity Incident : Home Eviction,40110112
Incident : Criminal Activity Incident : Black Marketing,40110113
Incident : Criminal Activity Incident : Vandalism / Loot / Ransack / Plunder,40110114
Incident : Criminal Activity Incident : Jail Break,40110115
Incident : Criminal Activity Incident : Robbery,40110116
Incident : Criminal Activity Incident : Theft,40110117
Incident : Criminal Activity Incident : Burglary,40110118
Incident : Criminal Activity Incident : Smuggling,40110119
Incident : Criminal Activity Incident : Rock Throwing,40110120
Incident : Criminal Activity Incident : Dead Body,40110121
Incident : Criminal Activity Incident : Sabotage,40110122
Incident : Criminal Activity Incident : Suspicious Activity,40110123
Incident : Bomb/Bombing,40110200
Incident : Bomb/Bombing : Bomb Threat,40110201
Incident : IED Event,40110300
Incident : IED Event : IED Explosion,40110301
Incident : IED Event : Premature IED Explosion,40110302
Incident : IED Event : IED Cache,40110303
Incident : IED Event : IED Suicide Bomber,40110304
Incident : Shooting,40110400
Incident : Shooting : Sniping,40110401
Incident : Illegal Drug Operation,40110500
Incident : Illegal Drug Operation : Trafficking,40110501
Incident : Illegal Drug Operation : Illegal Drug Lab,40110502
Incident : Explosion,40110600
Incident : Explosion : Grenade Explosion,40110601
Incident : Explosion : Incendiary Explosion,40110602
Incident : Explosion : Mine Explosion,40110603
Incident : Explosion : Mortar Fire Explosion,40110604
Incident : Explosion : Rocket Explosion,40110605
Incident : Explosion : Bomb Explosion,40110606
Civil Disturbance,40120000
Civil Disturbance : Demonstration,40120100
Operation : Patrolling,40130100
Operation : Military Information Support Operation (MISO),40130200
Operation : Military Information Support Operation (MISO) : TV and Radio Propaganda,40130201
Operation : Foraging/Searching,40130300
Operation : Recruitment : Willing,40130401
Operation : Recruitment : Coerced/Impressed,40130402
Operation : Mine Laying,40130500
Operation : Spy,40130600
Operation : Warrant Served,40130700
Operation : Exfiltration,40130800
Operation : Infiltration,40130900
Operation : Meeting,40131000
Operation : Meeting : Polling Place/Election,40131001
Operation : Raid on House,40131100
Operation : Emergency Operation,40131200
Operation : Emergency Operation : Emergency Collection Evacuation Point,40131201
Operation : Emergency Operation : Emergency Food Distribution,40131202
Operation : Emergency Operation : Emergency Incident Command Center,40131203
Operation : Emergency Operation : Emergency Operations Center,40131204
Operation : Emergency Operation : Emergency Public Information Center,40131205
Operation : Emergency Operation : Emergency Shelter,40131206
Operation : Emergency Operation : Emergency Staging Area,40131207
Operation : Emergency Operation : Emergency Water Distribution Center,40131208
Operation : Emergency Medical Operation,40131300
Operation : Emergency Medical Operation : EMT Station Location,40131301
Operation : Emergency Medical Operation : Health Department Facility,40131302
Operation : Emergency Medical Operation : Medical Facilities Outpatient,40131303
Operation : Emergency Medical Operation : Morgue,40131304
Operation : Emergency Medical Operation : Pharmacy,40131305
Operation : Emergency Medical Operation : Triage,40131306
Operation : Fire Fighting Operation,40131400
Operation : Fire Fighting Operation : Fire Hydrant,40131401
Operation : Fire Fighting Operation : Fire Station,40131402
Operation : Fire Fighting Operation : Other Water Supply Location,40131403
Operation : Law Enforcement Operation,40131500
Operation : Law Enforcement Operation : ATF,40131501
Operation : Law Enforcement Operation : Border Patrol,40131502
Operation : Law Enforcement Operation : Customs Service,40131503
Operation : Law Enforcement Operation : DEA,40131504
Operation : Law Enforcement Operation : DOJ,40131505
Operation : Law Enforcement Operation : FBI,40131506
Operation : Law Enforcement Operation : Police,40131507
Operation : Law Enforcement Operation : Prison,40131508
Operation : Law Enforcement Operation : USSS,40131509
Operation : Law Enforcement Operation : TSA,40131510
Operation : Law Enforcement Operation : Coast Guard,40131511
Operation : Law Enforcement Operation : US Marshals Service,40131512
Operation : Law Enforcement Operation : Internal Security Force,40131513
Fire Event,40140000
Fire Event : Fire Origin,40140100
Fire Event : Smoke,40140200
Fire Event : Hot Spot,40140300
Fire Event : Non-Residential Fire,40140400
Fire Event : Residential Fire,40140500
Fire Event : School Fire,40140600
Fire Event : Special Needs Fire,40140700
Fire Event : Wild Fire,40140800
Hazard Materials : Incident,40150100
Hazard Materials : Incident : Chemical Agent,40150101
Hazard Materials : Incident : Corrosive Material,40150102
Hazard Materials : Incident : Hazardous when Wet,40150103
Hazard Materials : Incident : Explosive Material,40150104
Hazard Materials : Incident : Flammable Gas,40150105
Hazard Materials : Incident : Flammable Liquid,40150106
Hazard Materials : Incident : Flammable Solid,40150107
Hazard Materials : Incident : Non-Flammable Gas,40150108
Hazard Materials : Incident : Organic Peroxide,40150109
Hazard Materials : Incident : Oxidizer,40150110
Hazard Materials : Incident : Radioactive Material,40150111
Hazard Materials : Incident : Spontaneously Combustible Material,40150112
Hazard Materials : Incident : Toxic Gas,40150113
Hazard Materials : Incident : Toxic Infectious Material,40150114
Hazard Materials : Incident : Unexploded Ordnance,40150115
Transportation Incident,40160000
Transportation Incident : Air,40160100
Transportation Incident : Marine,40160200
Transportation Incident : Rail,40160300
Transportation Incident : Vehicle,40160400
Transportation Incident : Wheeled Vehicle Explosion,40160500
Natural Event,40170000
Natural Event : Geologic,40170100
Natural Event : Geologic : Aftershock,40170101
Natural Event : Geologic : Avalanche,40170102
Natural Event : Geologic : Earthquake Epicenter,40170103
Natural Event : Geologic : Landslide,40170104
Natural Event : Geologic : Subsidence,40170105
Natural Event : Geologic : Volcanic Eruption,40170106
Natural Event : Geologic : Volcanic Threat,40170107
Natural Event : Geologic : Cave Entrance,40170108
Natural Event : Hydro-Meteorological,40170200
Natural Event : Hydro-Meteorological : Drought,40170201
Natural Event : Hydro-Meteorological : Flood,40170202
Natural Event : Hydro-Meteorological : Tsunami,40170203
Natural Event : Infestation,40170300
Natural Event : Infestation : Bird,40170301
Natural Event : Infestation : Insect,40170302
Natural Event : Infestation : Microbial,40170303
Natural Event : Infestation : Reptile,40170304
Natural Event : Infestation : Rodent,40170305
Individual : Religious Leader,40180100
Individual : Speaker,40180200
