Name,Value
Activities : Modifier 1 : Crime : Assassination,40011
Activities : Modifier 1 : Crime : Execution (Wrongful Killing),40021
Activities : Modifier 1 : Crime : Hijacking/Hijacked,40031
Activities : Modifier 1 : Psychological Operations : House-to-House,40041
Activities : Modifier 1 : Crime : Kidnapping,40051
Activities : Modifier 1 : Crime : Murder,40061
Activities : Modifier 1 : Crime : Piracy,40071
Activities : Modifier 1 : Crime : Rape,40081
Activities : Modifier 1 : Psychological Operations : Written Psychological Operations,40091
Activities : Modifier 1 : Crime : Pirate,40101
Activities : Modifier 1 : IED Category : False,40111
Activities : Modifier 1 : IED Category : Find,40121
Activities : Modifier 1 : IED Category : Found and Cleared,40131
Activities : Modifier 1 : IED Category : Hoax (Decoy),40141
Activities : Modifier 1 : Incident Qualifier : Attempted,40151
Activities : Modifier 1 : Incident Qualifier : Accident,40161
Activities : Modifier 1 : Incident Qualifier : Incident,40171
Activities : Modifier 1 : Crime : Theft,40181
