Name,Value
Military (Air),"01110000"
Military (Air) : Fixed-Wing,"01110100"
Military (Air) : Fixed-Wing : Medical Evacuation (MEDEVAC),"01110101"
Military (Air) : Fixed-Wing : Attack/Strike,"01110102"
Military (Air) : Fixed-Wing : Bomber,"01110103"
Military (Air) : Fixed-Wing : Fighter,"01110104"
Military (Air) : Fixed-Wing : Fighter/Bomber,"01110105"
Military (Air) : Fixed-Wing : Cargo,"01110107"
Military (Air) : Fixed-Wing : Electronic Combat (EC)/Jammer,"01110108"
Military (Air) : Fixed-Wing : Tanker,"01110109"
Military (Air) : Fixed-Wing : Patrol,"01110110"
Military (Air) : Fixed-Wing : Reconnaissance,"01110111"
Military (Air) : Fixed-Wing : Trainer,"01110112"
Military (Air) : Fixed-Wing : Utility,"01110113"
Military (Air) : Fixed-Wing : VSTOL,"01110114"
Military (Air) : Fixed-Wing : Airborne Command Post (ACP),"01110115"
Military (Air) : Fixed-Wing : Airborne Early Warning (AEW),"01110116"
Military (Air) : Fixed-Wing : Antisurface Warfare,"01110117"
Military (Air) : Fixed-Wing : Antisubmarine Warfare,"01110118"
Military (Air) : Fixed-Wing : Communications,"01110119"
Military (Air) : Fixed-Wing : Combat Search and Rescue (CSAR),"01110120"
Military (Air) : Fixed-Wing : Electronic Support (ES),"01110121"
Military (Air) : Fixed-Wing : Government,"01110122"
Military (Air) : Fixed-Wing : Mine Countermeasures (MCM),"01110123"
Military (Air) : Fixed-Wing : Personnel Recovery,"01110124"
Military (Air) : Fixed-Wing : Search and Rescue,"01110125"
Military (Air) : Fixed-Wing : Special Operations Forces,"01110126"
Military (Air) : Fixed-Wing : Ultra Light,"01110127"
Military (Air) : Fixed-Wing : Photographic Reconnaissance,"01110128"
Military (Air) : Fixed-Wing : Very Important Person (VIP),"01110129"
Military (Air) : Fixed-Wing : Suppression of Enemy Air Defense,"01110130"
Military (Air) : Fixed-Wing : Passenger,"01110131"
Military (Air) : Fixed-Wing : Escort,"01110132"
Military (Air) : Fixed-Wing : Electronic Attack (EA),"01110133"
Military (Air) : Rotary-Wing,"01110200"
Military (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV),"01110300"
Military (Air) : Vertical-Takeoff UAV (VT-UAV),"01110400"
Military (Air) : Lighter Than Air,"01110500"
Military (Air) : Airship,"01110600"
Military (Air) : Tethered Lighter Than Air,"01110700"
Civilian (Air),"01120000"
Civilian (Air) : Fixed Wing,"01120100"
Civilian (Air) : Rotary Wing,"01120200"
Civilian (Air) : Unmanned Aircraft (UA- UAV- UAS- RPV),"01120300"
Civilian (Air) : Lighter Than Air,"01120400"
Civilian (Air) : Airship,"01120500"
Civilian (Air) : Tethered Lighter than Air,"01120600"
Weapon (Air),"01130000"
Weapon (Air) : Bomb,"01130100"
Weapon (Air) : Decoy,"01130200"
Manual Track (Air),"01140000"
Missile (Air Missile),"02110000"
