Name,Value
Air : Modifier 2 : Cargo/Transport Capacity : Heavy,01012
Air : Modifier 2 : Cargo/Transport Capacity : Medium,01022
Air : Modifier 2 : Cargo/Transport Capacity : Light,01032
Air : Modifier 2 : Re-fueling Capability : Boom-Only,01042
Air : Modifier 2 : Re-fueling Capability : Drogue-Only,01052
Air : Modifier 2 : Re-fueling Capability : Boom and Drogue,01062
Air : Modifier 2 : Range : Close Range,01072
Air : Modifier 2 : Range : Short Range,01082
Air : Modifier 2 : Range : Medium Range,01092
Air : Modifier 2 : Range : Long Range,01102
Air : Modifier 2 : Track Link Availability : Downlinked,01112
Air Missile : Modifier 2 : Missile Destination : Air,02012
Air Missile : Modifier 2 : Missile Destination : Surface,02022
Air Missile : Modifier 2 : Missile Destination : Subsurface,02032
Air Missile : Modifier 2 : Missile Destination : Space,02042
Air Missile : Modifier 2 : Missile Status : Launched,02052
Air Missile : Modifier 2 : Missile Status : Missile,02062
Air Missile : Modifier 2 : Missile Type-BMD : Patriot,02072
Air Missile : Modifier 2 : Missile Type-AAW : Standard Missile-2 (SM-2),02082
Air Missile : Modifier 2 : Missile Type-AAW : Standard Missile-6 (SM-6),02092
Air Missile : Modifier 2 : Missile Type-AAW : Evolved Sea Sparrow Missile (ESSM),02102
Air Missile : Modifier 2 : Missile Type-AAW : Rolling Airframe Missile (RAM),02112
Air Missile : Modifier 2 : Missile Range : Short Range,02122
Air Missile : Modifier 2 : Missile Range : Medium Range,02132
Air Missile : Modifier 2 : Missile Range : Intermediate Range,02142
Air Missile : Modifier 2 : Missile Range : Long Range,02152
Air Missile : Modifier 2 : Missile Range : Intercontinental,02162
