Name,Value
Not Applicable,"00"
Team/Crew,"11"
Squad,"12"
Section,"13"
Platoon/Detachment,"14"
Company/Battery/Troop,"15"
Battalion/Squadron,"16"
Regiment/Group,"17"
Brigade,"18"
Extension,"19"
Division,"21"
Corps/MEF,"22"
Army,"23"
Army Group/Front,"24"
Region/Theater,"25"
Command,"26"
Extension,"29"
Wheeled limited cross country,"31"
Wheeled cross country,"32"
Tracked,"33"
Wheeled and tracked combination,"34"
Towed,"35"
Rail,"36"
Pack animals,"37"
Extension,"39"
Over snow (prime mover),"41"
Sled,"42"
Extension,"49"
Barge,"51"
Amphibious,"52"
Extension,"59"
Short towed array,"61"
Long towed array,"62"
Extension,"69"
Extension,"99"
