Name,Value
Fires Areas : Airspace Coordination Area : Circular,G-F-ACAC--
Fires Areas : Airspace Coordination Area : Irregular,G-F-ACAI--
Fires Areas : Airspace Coordination Area : Rectangular,G-F-ACAR--
Fires Areas : Target Build-up Area : Circular,G-F-ACBC--
Fires Areas : Target Build-up Area : Irregular,G-F-ACBI--
Fires Areas : Target Build-up Area : Rectangular,G-F-ACBR--
Fires Areas : Dead Space Area : Circular,G-F-ACDC--
Fires Areas : Dead Space Area : Irregular,G-F-ACDI--
Fires Areas : Dead Space Area : Rectangular,G-F-ACDR--
Fires Areas : Sensor Zone : Circular,G-F-ACEC--
Fires Areas : Sensor Zone : Irregular,G-F-ACEI--
Fires Areas : Sensor Zone : Rectangular,G-F-ACER--
Fires Areas : Free Fire Area : Circular,G-F-ACFC--
Fires Areas : Free Fire Area : Irregular,G-F-ACFI--
Fires Areas : Free Fire Area : Rectangular,G-F-ACFR--
Fires Areas : No Fire Area : Circular,G-F-ACNC--
Fires Areas : No Fire Area : Irregular,G-F-ACNI--
Fires Areas : No Fire Area : Rectangular,G-F-ACNR--
Fires Areas : Position Area For Artillery (PAA) : Circular,G-F-ACPC--
Fires Areas : Position Area For Artillery (PAA) : Rectangular,G-F-ACPR--
Fires Areas : Restricted Fire Area : Circular,G-F-ACRC--
Fires Areas : Restricted Fire Area : Irregular,G-F-ACRI--
Fires Areas : Restricted Fire Area : Rectangular,G-F-ACRR--
Fires Areas : Fire Support Area : Circular,G-F-ACSC--
Fires Areas : Fire Support Area : Irregular,G-F-ACSI--
Fires Areas : Fire Support Area : Rectangular,G-F-ACSR--
Fires Areas : Terminally Guided Munition Footprint (TGMF),G-F-ACT---
Fires Areas : Target Value Area : Circular,G-F-ACVC--
Fires Areas : Target Value Area : Irregular,G-F-ACVI--
Fires Areas : Target Value Area : Rectangular,G-F-ACVR--
Fires Areas : Zone of Responsibility : Circular,G-F-ACZC--
Fires Areas : Zone of Responsibility : Irregular,G-F-ACZI--
Fires Areas : Zone of Responsibility : Rectangular,G-F-ACZR--
Fires Areas : Kill Box : Circular-Blue,G-F-AKBC--
Fires Areas : Kill Box : Irregular-Blue,G-F-AKBI--
Fires Areas : Kill Box : Rectangular-Blue,G-F-AKBR--
Fires Areas : Kill Box : Circular-Purple,G-F-AKPC--
Fires Areas : Kill Box : Irregular-Purple,G-F-AKPI--
Fires Areas : Kill Box : Rectangular-Purple,G-F-AKPR--
Fires Areas : Area Targets : Area Target,G-F-AT----
Fires Areas : Area Targets : Bomb Area,G-F-ATB---
Fires Areas : Area Targets : Circular Target,G-F-ATC---
Fires Areas : Area Targets : Series of Targets,G-F-ATG---
Fires Areas : Area Targets : Rectangular Target,G-F-ATR---
Fires Areas : Area Targets : Smoke Target,G-F-ATS---
Fires Areas : Weapon/Sensor Range fan-Circular,G-F-AXC---
Fires Areas : Weapon/Sensor Range fan-Sector,G-F-AXS---
Fires Areas : Censor Zone : Irregular,G-F-AZCI--
Fires Areas : Censor Zone : Rectangular,G-F-AZCR--
Fires Areas : Critical Friendly Zone : Irregular,G-F-AZFI--
Fires Areas : Critical Friendly Zone : Rectangular,G-F-AZFR--
Fires Areas : Artillery Target Intelligence Zone : Irregular,G-F-AZII--
Fires Areas : Artillery Target Intelligence Zone : Rectangular,G-F-AZIR--
Fires Areas : Call for Fire Zone (CFFZ) : Irregular,G-F-AZXI--
Fires Areas : Call for Fire Zone (CFFZ) : Rectangular,G-F-AZXR--
Air Corridors : Short Range Air Defense Engagement Zone,G-G-AAF---
Air Corridors : High-Density Airspace Control Zone,G-G-AAH---
Air Corridors : Missile Engagement Zone,G-G-AAM---
Air Corridors : High Altitude Missile Engagement Zone,G-G-AAMH--
Air Corridors : Low Altitude Missile Engagement Zone,G-G-AAML--
Air Corridors : Restricted Operations Zone,G-G-AAR---
Air Corridors : Weapons Free Zone,G-G-AAW---
Maneuver Areas : Battle Position,G-G-DAB---
Maneuver Areas : Battle Position : Battle Position - Prepared (P) but not Occupied,G-G-DABP--
Maneuver Areas : Assembly Area,G-G-GAA---
Maneuver Areas : Drop Zone,G-G-GAD---
Maneuver Areas : Engagement Area (EA),G-G-GAE---
Maneuver Areas : Fortified Area,G-G-GAF---
Maneuver Areas : Landing Zone,G-G-GAL---
Maneuver Areas : Pick-Up Zone,G-G-GAP---
Maneuver Areas : Extraction Zone,G-G-GAX---
Maneuver Areas : Limited Access Area,G-G-GAY---
Command and Control Areas : Airfield Zone,G-G-GAZ---
Maneuver Areas : Assault Position,G-G-OAA---
Maneuver Areas : Attack Position,G-G-OAK---
Maneuver Areas : Objective,G-G-OAO---
Maneuver Areas : Penetration Box,G-G-OAP---
Protection Areas : Minefield : Dummy Minefield- Dymanic,G-G-PC----
Protection Areas : Decoy Mined Area,G-G-PM----
Protection Areas : Decoy Mined Area : Fenced,G-G-PY----
Maneuver Lines : Airhead Line,G-G-SAA---
Maneuver Areas : Encirclement : Friendly,G-G-SAE---
Command and Control Areas : Named Area of Interest,G-G-SAN---
Command and Control Areas : Area of Operations,G-G-SAO---
Command and Control Areas : Targeted Area of Interest,G-G-SAT---
Protection Areas : Assault Crossing,G-M-BCA---
Protection Areas : Biological Contaminated Area,G-M-NB----
Protection Areas : Chemical Contaminated Area,G-M-NC----
Protection Areas : Radiation Dose Rate Contour Lines,G-M-NL----
Protection Areas : Minimum Safe Distance Zone,G-M-NM----
Protection Areas : Nuclear Contaminated Area,G-M-NR----
Protection Areas : Mined Area,G-M-OFA---
Protection Areas : Minefield : Dynamic Depiction,G-M-OFD---
Protection Areas : Minefield : Completed,G-M-OFS---
Protection Areas : Obstacle Belt,G-M-OGB---
Protection Areas : Obstacle Free Zone,G-M-OGF---
Protection Areas : Obstacle Restricted Zone,G-M-OGR---
Protection Areas : Obstacle Zone,G-M-OGZ---
Protection Areas : Unexploded Explosive Ordnance (UXO) Area,G-M-OU----
Maneuver Areas : Battle Position : Strong Point,G-M-SP----
Sustainment Areas : Detainee Holding Area,G-S-AD----
Sustainment Areas : Enemy Prisoner of War Holding Area,G-S-AE----
Sustainment Areas : Refugee Holding Area,G-S-AH----
Sustainment Areas : Forward Arming and Refueling Point,G-S-AR----
Sustainment Areas : Brigade Support Area,G-S-ASB---
Sustainment Areas : Division Support Area,G-S-ASD---
Sustainment Areas : Regimental Support Area,G-S-ASR---
