Name,Value
Fires Points : Firing Point,G-F-PCB---
Fires Areas : Fire Support Station,G-F-PCF---
Fires Points : Hide Point,G-F-PCH---
Fires Points : Launch Point,G-F-PCL---
Fires Points : Reload Point,G-F-PCR---
Fires Points : Survey Control Point,G-F-PCS---
Fires Areas : Point Targets : Nuclear Target,G-F-PTN---
Fires Areas : Point Targets : Point or Single Target,G-F-PTS---
Airspace Control Points : Communications Checkpoint,G-G-APC---
Airspace Control Points : Downed Aircrew Pick-Up Point,G-G-APD---
Airspace Control Points : Air Control Point,G-G-APP---
Airspace Control Points : Pop-up Point,G-G-APU---
Maneuver Points : Observation Post/Outpost (Unspecified),G-G-DPO---
Maneuver Points : Observation Post/Outpost (Specified) : Combat Outpost,G-G-DPOC--
Maneuver Points : Observation Post/Outpost (Specified) : Forward Observer Outpost,G-G-DPOF--
Maneuver Points : Observation Post/Outpost (Specified) : CBRN Observation Outpost,G-G-DPON--
Maneuver Points : Observation Post/Outpost (Specified) : Reconnaissance Outpost,G-G-DPOR--
Maneuver Points : Observation Post/Outpost (Specified) : Sensor Outpost/Listening Post,G-G-DPOS--
Maneuver Points : Target Reference Point,G-G-DPT---
Airspace Control Points,G-G-GPA---
Airspace Control Points : ASW (Helo and F/W) Station,G-G-GPAA--
Airspace Control Points : SUCAP - Fixed Wing,G-G-GPAB--
Airspace Control Points : SUCAP - Rotary Wing,G-G-GPAC--
Airspace Control Points : MIW - Fixed Wing,G-G-GPAD--
Airspace Control Points : MIW - Rotary Wing,G-G-GPAE--
Airspace Control Points : Unmanned Aerial System (UAS/UA),G-G-GPAF--
Airspace Control Points : VTUA,G-G-GPAG--
Airspace Control Points : Antisubmarine Warfare- Rotary Wing,G-G-GPAH--
Airspace Control Points : Orbit,G-G-GPAI--
Airspace Control Points : Orbit - Figure Eight,G-G-GPAJ--
Airspace Control Points : Tanking,G-G-GPAK--
Airspace Control Points : Replemenshment Station,G-G-GPAL--
Airspace Control Points : Orbit - Race Track,G-G-GPAM--
Airspace Control Points : Orbit - Random Closed,G-G-GPAN--
Airspace Control Points : Tomcat,G-G-GPAO--
Airspace Control Points : CAP Station,G-G-GPAP--
Airspace Control Points : Rescue,G-G-GPAR--
Airspace Control Points : Strike Initial Point,G-G-GPAS--
Airspace Control Points : TACAN,G-G-GPAT--
Airspace Control Points : AEW Station,G-G-GPAW--
Maritime Points : General Subsurface Station,G-G-GPB---
Maritime Points : Submarine Subsurface Station,G-G-GPBS--
Maritime Points : Submarine Antisubmarine Warfare Subsurface Station,G-G-GPBSA-
Maritime Points : Unmanned Underwater Vehicle Subsurface Station,G-G-GPBU--
Maritime Points : Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Subsurface Station,G-G-GPBUA-
Maritime Points : Mine Warfare Unmanned Underwater Vehicle Subsurface Station,G-G-GPBUM-
Maritime Points : Surface Warfare Unmanned Underwater Vehicle Subsurface Station,G-G-GPBUS-
