Name,Value
Command and Control Areas : Area of Operations,25120100
Command and Control Areas : Named Area of Interest,25120200
Command and Control Areas : Targeted Area of Interest,25120300
Maneuver Lines : Airhead Line,25141300
Maneuver Areas : Area : Friendly,25150101
Maneuver Areas : Area : Friendly Planned or On Order,25150102
Maneuver Areas : Area : Enemy Known or Confirmed,25150103
Maneuver Areas : Area : Enemy Suspected,25150104
Maneuver Areas : Assembly Area,25150200
Maneuver Areas : Occupied Assembly Area,25150300
Maneuver Areas : Proposed or On Order Assembly Area,25150400
Maneuver Areas : Action Area : Joint Tactical Action Area (JTAA),25150501
Maneuver Areas : Action Area : Submarine Action Area (SAA),25150502
Maneuver Areas : Action Area : Submarine-Generated Action Area (SGAA),25150503
Maneuver Areas : Drop Zone,25150600
Maneuver Areas : Extraction Zone,25150700
Maneuver Areas : Landing Zone,25150800
Maneuver Areas : Pick-Up Zone,25150900
Maneuver Areas : Fortified Area,25151000
Maneuver Areas : Limited Access Area,25151100
Maneuver Areas : Battle Position,25151200
Maneuver Areas : Battle Position : Battle Position - Planned,25151201
Maneuver Areas : Battle Position : Battle Position - Prepared (P) but not Occupied,25151202
Maneuver Areas : Battle Position : Strong Point,25151203
Maneuver Areas : Engagement Area (EA),25151300
Maneuver Areas : Assault Position,25151500
Maneuver Areas : Attack Position,25151600
Maneuver Areas : Objective,25151700
Maneuver Areas : Encirclement : Friendly,25151801
Maneuver Areas : Encirclement : Enemy,25151802
Maneuver Areas : Penetration Box,25151900
Maneuver Areas : Attack by Fire Position,25152000
Air Corridors : Air Corridor,25170100
Air Corridors : Low Level Transit Route,25170200
Air Corridors : Minimum-Risk Route,25170300
Air Corridors : Safe Lane,25170400
Air Corridors : Standard Use Army Aircraft Flight Route,25170500
Air Corridors : Transit Corridor,25170600
Air Corridors : Unmanned Aircraft (UA) Route,25170700
Air Corridors : Base Defense Zone,25170800
Air Corridors : High-Density Airspace Control Zone,25170900
Air Corridors : Restricted Operations Zone,25171000
Air Corridors : Air-to-Air Restricted Operating Zone,25171100
Air Corridors : Unmanned Aircraft Restricted Operating Zone,25171200
Air Corridors : Weapon Engagement Zone,25171300
Air Corridors : Fighter Engagement Zone,25171400
Air Corridors : Joint Engagement Zone,25171500
Air Corridors : Missile Engagement Zone,25171600
Air Corridors : Low Altitude Missile Engagement Zone,25171700
Air Corridors : High Altitude Missile Engagement Zone,25171800
Air Corridors : Short Range Air Defense Engagement Zone,25171900
Air Corridors : Weapons Free Zone,25172000
Maritime Areas : Launch Area : Ellipse/Circle,25200101
Maritime Areas : Defended Area : Ellipse/Circle,25200201
Maritime Areas : Defended Area : Rectangle,25200202
Maritime Areas : No Attack (NOTACK) Zone,25200300
Maritime Areas : Ship Area of Interest,25200400
Maritime Areas : Ship Area of Interest : Ellipse/Circle,25200401
Maritime Areas : Ship Area of Interest : Rectangle,25200402
Maritime Areas : Active Maneuver Area,25200500
Maritime Areas : Cued Acquisition Doctrine,25200600
Maritime Areas : Radar Search Doctrine,25200700
Fires Areas : Airspace Coordination Area : Irregular,25240101
Fires Areas : Airspace Coordination Area : Rectangular,25240102
Fires Areas : Airspace Coordination Area : Circular,25240103
Fires Areas : Free Fire Area : Irregular,25240201
Fires Areas : Free Fire Area : Rectangular,25240202
Fires Areas : Free Fire Area : Circular,25240203
Fires Areas : No Fire Area : Irregular,25240301
