Name,Value
Command and Control Lines : Boundary,"25110100"
Command and Control Lines : Light Line,"25110200"
Maneuver Lines : Forward Line of Troops : Friendly Present,"25140101"
Maneuver Lines : Forward Line of Troops : Friendly Planned or on Order,"25140102"
Maneuver Lines : Forward Line of Troops : Enemy Known,"25140103"
Maneuver Lines : Forward Line of Troops : Enemy Suspected or Templated,"25140104"
Maneuver Lines : Line of Contact,"25140200"
Maneuver Lines : Phase Line,"25140300"
Maneuver Lines : Forward Edge of the Battle Area,"25140400"
Maneuver Lines : Forward Edge of the Battle Area : Proposed or On Order,"25140401"
Maneuver Lines : Principle Direction of Fire,"25140500"
Maneuver Lines : Direction of Attack : Friendly Aviation,"25140601"
Maneuver Lines : Direction of Attack : Friendly Direction of Main Attack,"25140602"
Maneuver Lines : Direction of Attack : Friendly Direction of Supporting Attack,"25140603"
Maneuver Lines : Direction of Attack : Friendly Planned or On Order,"25140604"
Maneuver Lines : Direction of Attack : Feint,"25140605"
Maneuver Lines : Direction of Attack : Enemy Confirmed,"25140606"
Maneuver Lines : Direction of Attack : Enemy Templated or Suspected,"25140607"
Maneuver Lines : Final Coordination Line,"25140700"
Maneuver Lines : Infiltration Lane,"25140800"
Maneuver Lines : Limit of Advance,"25140900"
Maneuver Lines : Line of Departure,"25141000"
Maneuver Lines : Line of Departure/Line of Contact,"25141100"
Maneuver Lines : Probable Line of Deployment,"25141200"
Maneuver Lines : Bridgehead Line,"25141400"
Maneuver Lines : Holding Line,"25141500"
Maneuver Lines : Release Line,"25141600"
Maneuver Lines : Ambush,"25141700"
Maneuver Areas : Battle Position : Contain,"25151204"
Maneuver Areas : Battle Position : Retain,"25151205"
Maneuver Areas : Axis of Advance : Friendly Airborne/Aviation,"25151401"
Maneuver Areas : Axis of Advance : Attack Helicopter,"25151402"
Maneuver Areas : Axis of Advance : Main Attack,"25151403"
Maneuver Areas : Axis of Advance : Supporting Attack,"25151404"
Maneuver Areas : Axis of Advance : Supporting Attack Planned or On Order,"25151405"
Maneuver Areas : Axis of Advance : Feint,"25151406"
Maneuver Areas : Axis of Advance : Enemy Confirmed,"25151407"
Maneuver Areas : Axis of Advance : Enemy Templated or Suspected,"25151408"
Maneuver Areas : Support by Fire,"25152100"
Maneuver Areas : Search Area/Reconnaissance Area,"25152200"
Airspace Control Lines : Identification Friend or Foe Off Line,"25190100"
Airspace Control Lines : Identification Friend or Foe On Line,"25190200"
Maritime Points : Navigational,"25218400"
Maritime Lines : Bearing Line,"25220100"
Maritime Lines : Bearing Line : Electronic,"25220101"
Maritime Lines : Bearing Line : Electronic Warfare (EW),"25220102"
Maritime Lines : Bearing Line : Acoustic,"25220103"
Maritime Lines : Bearing Line : Acoustic (Ambiguous),"25220104"
Maritime Lines : Bearing Line : Torpedo,"25220105"
Maritime Lines : Bearing Line : Electro-Optical Intercept,"25220106"
Maritime Lines : Bearing Line : Jammer,"25220107"
Maritime Lines : Bearing Line : Radio Direction Finder (RDF),"25220108"
Deception : Decoy/Dummy,"25230100"
Deception : Decoy/Dummy/Feint,"25230200"
Fires Areas : Linear Targets : Linear Target,"25240701"
Fires Areas : Linear Targets : Linear Smoke Target,"25240702"
Fires Areas : Linear Targets : Final Protective Fire (FPF),"25240703"
Fire Lines : Fire Support Coordination Line (FSCL),"25260100"
Fire Lines : Coordinated Fire Line (CFL),"25260200"
Fire Lines : No Fire Line,"25260300"
Fire Lines : Battlefield Coordination Line,"25260400"
Fire Lines : Restrictive Fire Line,"25260500"
Fire Lines : Munition Flight Path,"25260600"
Protection Areas : Obstacle Effects : Block,"25270501"
Protection Areas : Obstacle Effects : Disrupt,"25270502"
Protection Areas : Obstacle Effects : Fix,"25270503"
Protection Areas : Obstacle Effects : Turn,"25270504"
Protection Areas : Obstacle Bypass : Easy,"25270601"
Protection Areas : Obstacle Bypass : Difficult,"25270602"
Protection Areas : Obstacle Bypass : Impossible,"25270603"
Protection Areas : Roadblocks- Craters and Blown Bridges : Planned,"25271201"
Protection Areas : Roadblocks- Craters and Blown Bridges : Explosives-State of Readiness 1 (Safe),"25271202"
Protection Areas : Roadblocks- Craters and Blown Bridges : Explosives-State of Readiness 2 (armed but passable),"25271203"
Protection Areas : Bridge,"25271400"
Protection Areas : Ford Easy,"25271500"
Protection Areas : Ford Difficult,"25271600"
Protection Points : Abatis,"25280100"
Protection Points : Vertical Obstructions : Overhead Wire,"25282003"
Protection Lines : Obstacle Line,"25290100"
Protection Lines : Antitank Obstacles : Under Construction,"25290201"
Protection Lines : Antitank Obstacles : Completed,"25290202"
Protection Lines : Antitank Obstacles : Reinforced-with Antitank Mines,"25290203"
Protection Lines : Antitank Obstacles : Antitank Wall,"25290204"
Protection Lines : Wire Obstacles : Unspecified Wire,"25290301"
Protection Lines : Wire Obstacles : Single Fence Wire,"25290302"
Protection Lines : Wire Obstacles : Double Fence Wire,"25290303"
Protection Lines : Wire Obstacles : Double Apron Fence,"25290304"
Protection Lines : Wire Obstacles : Low Wire Fence,"25290305"
Protection Lines : Wire Obstacles : High Wire Fence,"25290306"
Protection Lines : Wire Obstacles : Single Concertina,"25290307"
Protection Lines : Wire Obstacles : Double Strand Concertina,"25290308"
Protection Lines : Wire Obstacles : Triple Strand Concertina,"25290309"
Protection Lines : Mine Cluster,"25290400"
Protection Lines : Trip Wire,"25290500"
Protection Lines : Lane,"25290600"
Protection Lines : Ferry,"25290700"
Protection Lines : Raft Site,"25290800"
Protection Lines : Fortified Line,"25290900"
Protection Lines : Fortified Position,"25291000"
Intelligence Lines : Intelligence Coordination Line,"25300100"
Sustainment Lines : Moving Convoy,"25330100"
Sustainment Lines : Halted Convoy,"25330200"
Sustainment Lines : Main Supply Route,"25330300"
Sustainment Lines : Main Supply Route : One Way Traffic,"25330301"
Sustainment Lines : Main Supply Route : Two Way Traffic,"25330302"
Sustainment Lines : Main Supply Route : Alternating Traffic,"25330303"
Sustainment Lines : Alternate Supply Route,"25330400"
Sustainment Lines : Alternate Supply Route : One Way Traffic,"25330401"
Sustainment Lines : Alternate Supply Route : Two Way Traffic,"25330402"
Sustainment Lines : Alternate Supply Route : Alternating Traffic,"25330403"
Mission Tasks : Block,"25340100"
Mission Tasks : Breach,"25340200"
Mission Tasks : Bypass,"25340300"
