Name,Value
Control Measure : Command and Control Areas : Airfield Zone,25120400
Control Measure : Command and Control Points : Action Point (General),25130100
Control Measure : Command and Control Points : Amnesty Point,25130200
Control Measure : Command and Control Points : Checkpoint,25130300
Control Measure : Command and Control Points : Center of Main Effort,25130400
Control Measure : Command and Control Points : Contact Point,25130500
Control Measure : Command and Control Points : Coordinating Point,25130600
Control Measure : Command and Control Points : Decision Point,25130700
Control Measure : Command and Control Points : Distress Call,25130800
Control Measure : Command and Control Points : Entry Control Point,25130900
Control Measure : Command and Control Points : Fly-To-Point : Fly-To-Point (Sonobuoy),25131001
Control Measure : Command and Control Points : Fly-To-Point : Fly-To-Point (Weapon),25131002
Control Measure : Command and Control Points : Fly-To-Point : Fly-To-Point (Normal),25131003
Control Measure : Command and Control Points : Linkup Point,25131100
Control Measure : Command and Control Points : Passage Point,25131200
Control Measure : Command and Control Points : Point of Interest,25131300
Control Measure : Command and Control Points : Point of Interest : Launch Event (Point of Interest),25131301
Control Measure : Command and Control Points : Rally Point,25131400
Control Measure : Command and Control Points : Release Point,25131500
Control Measure : Command and Control Points : Start Point,25131600
Control Measure : Command and Control Points : Special Point,25131700
Control Measure : Command and Control Points : Waypoint,25131800
Control Measure : Command and Control Points : Airfield,25131900
Control Measure : Maneuver Points : Observation Post/Outpost (Unspecified),25160100
Control Measure : Maneuver Points : Observation Post/Outpost (Specified),25160200
Control Measure : Maneuver Points : Observation Post/Outpost (Specified) : Reconnaissance Outpost,25160201
Control Measure : Maneuver Points : Observation Post/Outpost (Specified) : Forward Observer Outpost,25160202
Control Measure : Maneuver Points : Observation Post/Outpost (Specified) : CBRN Observation Outpost,25160203
Control Measure : Maneuver Points : Observation Post/Outpost (Specified) : Sensor Outpost/Listening Post,25160204
Control Measure : Maneuver Points : Observation Post/Outpost (Specified) : Combat Outpost,25160205
Control Measure : Maneuver Points : Target Reference Point,25160300
Control Measure : Maneuver Points : Point of Departure,25160400
Control Measure : Airspace Control Points,25180000
Control Measure : Airspace Control Points : Air Control Point,25180100
Control Measure : Airspace Control Points : Communications Checkpoint,25180200
Control Measure : Airspace Control Points : Downed Aircraft Pick-up Point,25180300
Control Measure : Airspace Control Points : Pop-up Point,25180400
Control Measure : Airspace Control Points : Air Control Rendezvous,25180500
Control Measure : Airspace Control Points : TACAN,25180600
Control Measure : Airspace Control Points : CAP Station,25180700
Control Measure : Airspace Control Points : AEW Station,25180800
Control Measure : Airspace Control Points : ASW (Helo and F/W) Station,25180900
Control Measure : Airspace Control Points : Strike Initial Point,25181000
Control Measure : Airspace Control Points : Replemenshment Station,25181100
Control Measure : Airspace Control Points : Tanking,25181200
Control Measure : Airspace Control Points : Antisubmarine Warfare- Rotary Wing,25181300
Control Measure : Airspace Control Points : SUCAP - Fixed Wing,25181400
Control Measure : Airspace Control Points : SUCAP - Rotary Wing,25181500
Control Measure : Airspace Control Points : MIW - Fixed Wing,25181600
Control Measure : Airspace Control Points : MIW - Rotary Wing,25181700
Control Measure : Airspace Control Points : Tomcat,25181800
Control Measure : Airspace Control Points : Rescue,25181900
Control Measure : Airspace Control Points : Unmanned Aerial System (UAS/UA),25182000
Control Measure : Airspace Control Points : VTUA,25182100
Control Measure : Airspace Control Points : Orbit,25182200
Control Measure : Airspace Control Points : Orbit - Figure Eight,25182300
Control Measure : Airspace Control Points : Orbit - Race Track,25182400
Control Measure : Airspace Control Points : Orbit - Random Closed,25182500
Control Measure : Maritime Control Points : Plan Ship,25210100
Control Measure : Maritime Control Points : Aim Point,25210200
Control Measure : Maritime Control Points : Defended Asset,25210300
Control Measure : Maritime Control Points : Drop Point,25210400
Control Measure : Maritime Control Points : Entry Point,25210500
Control Measure : Maritime Control Points : Air  Detonation,25210600
Control Measure : Maritime Control Points : Ground Zero,25210700
Control Measure : Maritime Control Points : Impact Point,25210800
Control Measure : Maritime Control Points : Predicted Impact Point,25210900
Control Measure : Maritime Control Points : Launched Torpedo,25211000
Control Measure : Maritime Control Points : Missile Detection Point,25211100
Control Measure : Maritime Control Points : Acoustic Countermeasure (Decoy),25211200
Control Measure : Maritime Control Points : Electronic Countermeasures (ECM) Decoy,25211300
Control Measure : Maritime Control Points : Brief Contact,25211400
Control Measure : Maritime Control Points : Datum Lost Contact,25211500
Control Measure : Maritime Control Points : BT Buoy Drop,25211600
Control Measure : Maritime Control Points : Reported Bottom Sub,25211700
Control Measure : Maritime Control Points : Moving Haven,25211800
Control Measure : Maritime Control Points : Screen Center,25211900
Control Measure : Maritime Control Points : Lost Contact,25212000
Control Measure : Maritime Control Points : Sinker,25212100
Control Measure : Maritime Control Points : Trial Track,25212200
Control Measure : Maritime Control Points : Acoustic Fix,25212300
Control Measure : Maritime Control Points : Electromagnetic Fix,25212400
Control Measure : Maritime Control Points : Electromagnetic - Magnetic Anomaly Detection (MAD),25212500
Control Measure : Maritime Control Points : Optical Fix,25212600
Control Measure : Maritime Control Points : Formation,25212700
Control Measure : Maritime Control Points : Harbor,25212800
Control Measure : Maritime Control Points : Harbor Entrance Point,25212900
Control Measure : Maritime Control Points : Harbor Entrance Point : A,25212901
Control Measure : Maritime Control Points : Harbor Entrance Point : Q,25212902
Control Measure : Maritime Control Points : Harbor Entrance Point : X,25212903
Control Measure : Maritime Control Points : Harbor Entrance Point : Y,25212904
Control Measure : Maritime Control Points : Dip Position,25213000
Control Measure : Maritime Control Points : Search,25213100
Control Measure : Maritime Control Points : Search Area,25213200
Control Measure : Maritime Control Points : Search Center,25213300
Control Measure : Maritime Control Points : Navigational Reference Point,25213400
Control Measure : Maritime Control Points : Sonobuoy,25213500
Control Measure : Maritime Control Points : Sonobuoy : Ambient Noise,25213501
Control Measure : Maritime Control Points : Sonobuoy : Air Transportable Communication,25213502
Control Measure : Maritime Control Points : Sonobuoy : Barra,25213503
Control Measure : Maritime Control Points : Sonobuoy : Bathythermograph Transmitting,25213504
Control Measure : Maritime Control Points : Sonobuoy : Command Active Multi-Beam (CAMBS),25213505
Control Measure : Maritime Control Points : Sonobuoy : Command Active Sonobuoy Directional Command Active Sonobuoy System (CASS),25213506
Control Measure : Maritime Control Points : Sonobuoy : Digital Frequency Analysis and Recording (DIFAR),25213507
Control Measure : Maritime Control Points : Sonobuoy : Directional Command Active Sonobuoy System (DICASS),25213508
