Name,Value
Cyberspace : Botnet : Command and Control (C2),60110100
Cyberspace : Botnet : Herder,60110200
Cyberspace : Botnet : Callback Domain,60110300
Cyberspace : Botnet : Zombie,60110400
Cyberspace : Infection : Advanced Persistent Threat (APT),60120100
Cyberspace : Infection : Advanced Persistent Threat (APT) : APT with C2,60120101
Cyberspace : Infection : Advanced Persistent Threat (APT) : APT with Self Propagation,60120102
Cyberspace : Infection : Advanced Persistent Threat (APT) : APT with C2 and Self Propagation,60120103
Cyberspace : Infection : Advanced Persistent Threat (APT) : APT Other,60120104
Cyberspace : Infection : Non-Advanced Persistent Threat (NAPT),60120200
Cyberspace : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with C2,60120201
Cyberspace : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with Self Propagation,60120202
Cyberspace : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT with C2 and Self Propagation,60120203
Cyberspace : Infection : Non-Advanced Persistent Threat (NAPT) : NAPT Other,60120204
Cyberspace : Health and Status : Normal,60130100
Cyberspace : Health and Status : Network Outage,60130200
Cyberspace : Health and Status : Unknown,60130300
Cyberspace : Health and Status : Impaired,60130400
Cyberspace : Device Type : Core Router,60140100
Cyberspace : Device Type : Router,60140200
Cyberspace : Device Type : Cross Domain Solution,60140300
Cyberspace : Device Type : Mail Server,60140400
Cyberspace : Device Type : Web Server,60140500
Cyberspace : Device Type : Domain Server,60140600
Cyberspace : Device Type : File Server,60140700
Cyberspace : Device Type : Peer-to-Peer Node,60140800
Cyberspace : Device Type : Firewall,60140900
Cyberspace : Device Type : Switch,60141000
Cyberspace : Device Type : Host,60141100
Cyberspace : Device Type : Virtual Private Network (VPN),60141200
Cyberspace : Device Domain : Department of Defense (DoD),60150100
Cyberspace : Device Domain : Government,60150200
Cyberspace : Device Domain : Contractor,60150300
Cyberspace : Device Domain : Supervisory Control and Data Acquisition (SCADA),60150400
Cyberspace : Device Domain : Non-Government,60150500
Cyberspace : Effect,60160000
Cyberspace : Effect : Infection,60160100
Cyberspace : Effect : Degradation,60160200
Cyberspace : Effect : Data Spoofing,60160300
Cyberspace : Effect : Data Manipulation,60160400
Cyberspace : Effect : Exfiltration,60160500
Cyberspace : Effect : Power Outage,60160600
Cyberspace : Effect : Network Outage,60160700
Cyberspace : Effect : Service Outage,60160800
Cyberspace : Effect : Device Outage,60160900
