Name,Value
Unspecified,00
Task : Close Protection,01
Task : Crowd and Riot Control,02
Task : Explosive Ordnance Disposal (EOD),03
Task : Security,04
Task : Sniper,05
Task : Special Weapons and Tactics,06
Organization : Non-Governmental Organization Member,07
Organization : Multinational,08
Organization : Multinational Specialized Unit,09
Organization : Governmental Organization Member,10
Task : Video Imagery (Combat Camera),11
Functional Staff Area : J1,12
Functional Staff Area : J2,13
Functional Staff Area : J3,14
Functional Staff Area : J4,15
Functional Staff Area : J5,16
Functional Staff Area : J6,17
Functional Staff Area : J7,18
Functional Staff Area : J8,19
Functional Staff Area : J9,20
Rank : OF-1,21
Rank : OF-2,22
Rank : OF-3,23
Rank : OF-4,24
Rank : OF-5,25
Rank : OF-6,26
Rank : OF-7,27
Rank : OF-8,28
Rank : OF-9,29
Rank : OF-10,30
Rank : OF-D,31
Rank : OR-1,32
Rank : OR-2,33
Rank : OR-3,34
Rank : OR-4,35
Rank : OR-5,36
Rank : OR-6,37
Rank : OR-7,38
Rank : OR-8,39
Rank : OR-9,40
Rank : WO-1,41
Rank : WO-2,42
Rank : WO-3,43
Rank : WO-4,44
Rank : WO-5,45
Echelon : Individual,46
Echelon : Team/Crew,47
Echelon : Squad,48
Echelon : Section,49
Echelon : Platoon/Detachment,50
Echelon : Company,51
Echelon : Battalion,52
Echelon : Regiment/Group,53
Echelon : Brigade,54
Echelon : Division,55
