Name,Value
Sensors : Sensor,S-G-ES----
Sensors : Sensor Emplaced,S-G-ESE---
Sensors : Radar,S-G-ESR---
Vehicle,S-G-EV----
Vehicle : Armored Vehicle,S-G-EVA---
Vehicle : Armored Vehicle : Armored Personnel Carrier,S-G-EVAA--
Vehicle : Armored Vehicle : Armored Personnel Carrier-Recovery,S-G-EVAAR-
Vehicle : Armored Vehicle : Armored Fighting Vehicle C2,S-G-EVAC--
Vehicle : Armored Vehicle : Armored Fighting Vehicle,S-G-EVAI--
Vehicle : Armored Vehicle : Light Wheeled Armored Vehicle,S-G-EVAL--
Vehicle : Armored Vehicle : Combat Service Support Vehicle,S-G-EVAS--
Vehicle : Tank,S-G-EVAT--
Vehicle : Tank : Heavy,S-G-EVATH-
Vehicle : Tank Recovery Vehicle : Heavy,S-G-EVATHR
Vehicle : Tank : Light,S-G-EVATL-
Vehicle : Tank Recovery Vehicle : Light,S-G-EVATLR
Vehicle : Tank : Medium,S-G-EVATM-
Vehicle : Tank Recovery Vehicle : Medium,S-G-EVATMR
Civilian Vehicle : Automobile,S-G-EVCA--
Civilian Vehicle : Automobile : Sedan,S-G-EVCAH-
Civilian Vehicle : Automobile : Compact,S-G-EVCAL-
Civilian Vehicle : Automobile : Midsize,S-G-EVCAM-
Civilian Vehicle : Tractor Trailer with Flatbed,S-G-EVCF--
Civilian Vehicle : Tractor Trailer with Flatbed : Large/Heavy,S-G-EVCFH-
Civilian Vehicle : Tractor Trailer with Flatbed : Small/Light,S-G-EVCFL-
Civilian Vehicle : Tractor Trailer with Flatbed : Medium,S-G-EVCFM-
Civilian Vehicle : Jeep Type Vehicle,S-G-EVCJ--
Civilian Vehicle : Jeep Type Vehicle : Large/Heavy,S-G-EVCJH-
Civilian Vehicle : Jeep Type Vehicle : Small/Light,S-G-EVCJL-
Civilian Vehicle : Jeep Type Vehicle : Medium,S-G-EVCJM-
Civilian Vehicle : Multiple Passenger Vehicle,S-G-EVCM--
Civilian Vehicle : Multiple Passenger Vehicle : Large Bus,S-G-EVCMH-
Civilian Vehicle : Multiple Passenger Vehicle : Van,S-G-EVCML-
Civilian Vehicle : Multiple Passenger Vehicle : Small Bus,S-G-EVCMM-
Civilian Vehicle : Open-Bed Truck,S-G-EVCO--
Civilian Vehicle : Open-Bed Truck : Large,S-G-EVCOH-
Civilian Vehicle : Open-Bed Truck : Pickup,S-G-EVCOL-
Civilian Vehicle : Open-Bed Truck : Small,S-G-EVCOM-
Civilian Vehicle : Tractor Trailer with Box,S-G-EVCT--
Civilian Vehicle : Tractor Trailer with Box : Large/Heavy,S-G-EVCTH-
Civilian Vehicle : Tractor Trailer with Box : Small/Light,S-G-EVCTL-
Civilian Vehicle : Tractor Trailer with Box : Medium,S-G-EVCTM-
Civilian Vehicle : Utility Vehicle,S-G-EVCU--
Civilian Vehicle : Utility Vehicle : Large Box Truck,S-G-EVCUH-
Civilian Vehicle : Utility Vehicle : Sport Utility Vehicle (SUV),S-G-EVCUL-
Civilian Vehicle : Utility Vehicle : Small Box Truck,S-G-EVCUM-
Engineer Equipment,S-G-EVE---
Engineer Equipment : Mine Clearing Equipment,S-G-EVEA--
Engineer Equipment : Mine Clearing Equipment : Mine Clearing Equipment on Tank Chassis,S-G-EVEAA-
Engineer Equipment : Mine Clearing Equipment : Trailer Mounted,S-G-EVEAT-
Engineer Equipment : Bridge,S-G-EVEB--
Engineer Equipment : Construction Vehicle,S-G-EVEC--
Engineer Equipment : Dozer,S-G-EVED--
Engineer Equipment : Dozer : Dozer-Armored,S-G-EVEDA-
Engineer Equipment : Earthmover,S-G-EVEE--
Engineer Equipment : Ferry Transporter,S-G-EVEF--
Engineer Equipment : Backhoe,S-G-EVEH--
Engineer Equipment : Mine Laying Equipment,S-G-EVEM--
Engineer Equipment : Mine Laying Equipment : Truck Mounted with Volcano,S-G-EVEML-
