Name,Value
Frame : Reality : Pending : Internal,0098
Frame : Reality : Pending : Unknown,0000
Frame : Reality : Pending : Air,0001
Frame : Reality : Pending : Space,0005
Frame : Reality : Pending : Land Unit,0010
Frame : Reality : Pending : Land Equipment,0015
Frame : Reality : Pending : Land Installations,0020
Frame : Reality : Pending : Sea Surface,0030
Frame : Reality : Pending : Sea Subsurface,0035
Frame : Reality : Pending : Activities,0040
Frame : Reality : Unknown : Unknown,0100
Frame : Reality : Unknown : Air,0101
Frame : Reality : Unknown : Space,0105
Frame : Reality : Unknown : Land Unit,0110
Frame : Reality : Unknown : Land Equipment,0115
Frame : Reality : Unknown : Land Installations,0120
Frame : Reality : Unknown : Sea Surface,0130
Frame : Reality : Unknown : Sea Subsurface,0135
Frame : Reality : Unknown : Activities,0140
Frame : Reality : Assumed Friend : Unknown,0200
Frame : Reality : Assumed Friend : Air,0201
Frame : Reality : Assumed Friend : Space,0205
Frame : Reality : Assumed Friend : Land Unit,0210
Frame : Reality : Assumed Friend : Land Equipment,0215
Frame : Reality : Assumed Friend : Land Installations,0220
Frame : Reality : Assumed Friend : Sea Surface,0230
Frame : Reality : Assumed Friend : Sea Subsurface,0235
Frame : Reality : Assumed Friend : Activities,0240
Frame : Reality : Friend : Unknown,0300
Frame : Reality : Friend : Air,0301
Frame : Reality : Friend : Space,0305
Frame : Reality : Friend : Land Unit,0310
Frame : Reality : Friend : Land Equipment,0315
Frame : Reality : Friend : Land Installations,0320
Frame : Reality : Friend : Sea Surface,0330
Frame : Reality : Friend : Sea Subsurface,0335
Frame : Reality : Friend : Activities,0340
Frame : Reality : Neutral : Unknown,0400
Frame : Reality : Neutral : Air,0401
Frame : Reality : Neutral : Space,0405
Frame : Reality : Neutral : Land Unit,0410
Frame : Reality : Neutral : Land Equipment,0415
Frame : Reality : Neutral : Land Installations,0420
Frame : Reality : Neutral : Sea Surface,0430
Frame : Reality : Neutral : Sea Subsurface,0435
Frame : Reality : Neutral : Activities,0440
Frame : Reality : Suspect/Joker : Unknown,0500
Frame : Reality : Suspect/Joker : Air,0501
Frame : Reality : Suspect/Joker : Space,0505
Frame : Reality : Suspect/Joker : Land Unit,0510
Frame : Reality : Suspect/Joker : Land Equipment,0515
Frame : Reality : Suspect/Joker : Land Installations,0520
Frame : Reality : Suspect/Joker : Sea Surface,0530
Frame : Reality : Suspect/Joker : Sea Subsurface,0535
Frame : Reality : Suspect/Joker : Activities,0540
Frame : Reality : Hostile/Faker : Unknown,0600
Frame : Reality : Hostile/Faker : Air,0601
Frame : Reality : Hostile/Faker : Space,0605
Frame : Reality : Hostile/Faker : Land Unit,0610
Frame : Reality : Hostile/Faker : Land Equipment,0615
Frame : Reality : Hostile/Faker : Land Installations,0620
Frame : Reality : Hostile/Faker : Sea Surface,0630
Frame : Reality : Hostile/Faker : Sea Subsurface,0635
Frame : Reality : Hostile/Faker : Activities,0640
Frame : Exercise : Pending : Unknown,1000
Frame : Exercise : Pending : Air,1001
Frame : Exercise : Pending : Space,1005
Frame : Exercise : Pending : Land Unit,1010
Frame : Exercise : Pending : Land Equipment,1015
Frame : Exercise : Pending : Land Installations,1020
Frame : Exercise : Pending : Sea Surface,1030
Frame : Exercise : Pending : Sea Subsurface,1035
Frame : Exercise : Pending : Activities,1040
Frame : Exercise : Unknown : Unknown,1100
Frame : Exercise : Unknown : Air,1101
Frame : Exercise : Unknown : Space,1105
Frame : Exercise : Unknown : Land Unit,1110
Frame : Exercise : Unknown : Land Equipment,1115
Frame : Exercise : Unknown : Land Installations,1120
Frame : Exercise : Unknown : Sea Surface,1130
Frame : Exercise : Unknown : Sea Subsurface,1135
Frame : Exercise : Unknown : Activities,1140
Frame : Exercise : Assumed Friend : Unknown,1200
Frame : Exercise : Assumed Friend : Air,1201
Frame : Exercise : Assumed Friend : Space,1205
Frame : Exercise : Assumed Friend : Land Unit,1210
Frame : Exercise : Assumed Friend : Land Equipment,1215
Frame : Exercise : Assumed Friend : Land Installations,1220
Frame : Exercise : Assumed Friend : Sea Surface,1230
