Name,Value
HQTFFD : Feint/Dummy : Air : Unknown,1011
HQTFFD : Feint/Dummy : Air : Friend,3011
HQTFFD : Feint/Dummy : Air : Neutral,4011
HQTFFD : Feint/Dummy : Air : Hostile,6011
HQTFFD : Feint/Dummy : Space : Unknown,1051
HQTFFD : Feint/Dummy : Space : Friend,3051
HQTFFD : Feint/Dummy : Space : Neutral,4051
HQTFFD : Feint/Dummy : Space : Hostile,6051
HQTFFD : Feint/Dummy : Land Unit : Unknown,1101
HQTFFD : Feint/Dummy : Land Unit : Friend,3101
HQTFFD : Feint/Dummy : Land Unit : Neutral,4101
HQTFFD : Feint/Dummy : Land Unit : Hostile,6101
HQTFFD : Feint/Dummy : Land Equipment : Unknown,1151
HQTFFD : Feint/Dummy : Land Equipment : Friend,3151
HQTFFD : Feint/Dummy : Land Equipment : Neutral,4151
HQTFFD : Feint/Dummy : Land Equipment : Hostile,6151
HQTFFD : Feint/Dummy : Land Installations : Unknown,1201
HQTFFD : Feint/Dummy : Land Installations : Friend,3201
HQTFFD : Feint/Dummy : Land Installations : Neutral,4201
HQTFFD : Feint/Dummy : Land Installations : Hostile,6201
HQTFFD : Feint/Dummy : Sea Surface : Unknown,1301
HQTFFD : Feint/Dummy : Sea Surface : Friend,3301
HQTFFD : Feint/Dummy : Sea Surface : Neutral,4301
HQTFFD : Feint/Dummy : Sea Surface : Hostile,6301
HQTFFD : Feint/Dummy : Sea Subsurface : Unknown,1351
HQTFFD : Feint/Dummy : Sea Subsurface : Friend,3351
HQTFFD : Feint/Dummy : Sea Subsurface : Neutral,4351
HQTFFD : Feint/Dummy : Sea Subsurface : Hostile,6351
HQTFFD : Headquarters : Air : Unknown,1012
HQTFFD : Headquarters : Air : Friend,3012
HQTFFD : Headquarters : Air : Neutral,4012
HQTFFD : Headquarters : Air : Hostile,6012
HQTFFD : Headquarters : Space : Unknown,1052
HQTFFD : Headquarters : Space : Friend,3052
HQTFFD : Headquarters : Space : Neutral,4052
HQTFFD : Headquarters : Space : Hostile,6052
HQTFFD : Headquarters : Land Unit : Unknown,1102
HQTFFD : Headquarters : Land Unit : Friend,3102
HQTFFD : Headquarters : Land Unit : Neutral,4102
HQTFFD : Headquarters : Land Unit : Hostile,6102
HQTFFD : Headquarters : Land Equipment : Unknown,1152
HQTFFD : Headquarters : Land Equipment : Friend,3152
HQTFFD : Headquarters : Land Equipment : Neutral,4152
HQTFFD : Headquarters : Land Equipment : Hostile,6152
HQTFFD : Headquarters : Land Installations : Unknown,1202
HQTFFD : Headquarters : Land Installations : Friend,3202
HQTFFD : Headquarters : Land Installations : Neutral,4202
HQTFFD : Headquarters : Land Installations : Hostile,6202
HQTFFD : Headquarters : Sea Surface : Unknown,1302
HQTFFD : Headquarters : Sea Surface : Friend,3302
HQTFFD : Headquarters : Sea Surface : Neutral,4302
