Name,Value
Infrastructure : Military : Military Base,S-G-IB----
Infrastructure : Transportation : Airport/Air Base,S-G-IBA---
Infrastructure : Transportation : Sea Port/Naval Base,S-G-IBN---
Installation : Equipment Manufacture,S-G-IE----
Installation : Government Leadership,S-G-IG----
Installation : Aircraft Production/Assembly,S-G-IMA---
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : No Category Listed : Biological,S-G-IMC---
Installation : Ammunition and Explosives/Assembly,S-G-IME---
Installation : Nuclear (Non CBRN Defense),S-G-IMF---
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Atomic Energy Reactor,S-G-IMFA--
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Nuclear Material Production,S-G-IMFP--
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Weapons Grade,S-G-IMFPW-
Installation : Nuclear (Non CBRN Defense) : No Category Listed : Nuclear Material Storage,S-G-IMFS--
Installation : Armament Production,S-G-IMG---
Installation : Missile and Space System Production,S-G-IMM---
Installation : Engineering Equipment Production,S-G-IMN---
Installation : Engineering Equipment Production : Bridge,S-G-IMNB--
Infrastructure : Transportation : Ship Yard,S-G-IMS---
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : CBRN Type : Radiological,S-G-IPD---
Installation : Mine,S-G-IRM---
Installation : Chemical-Biological-Radiological and Nuclear (CBRN),S-G-IRN---
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : CBRN Type : Biological,S-G-IRNB--
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : CBRN Type : Chemical,S-G-IRNC--
Installation : Chemical-Biological-Radiological and Nuclear (CBRN) : CBRN Type : Nuclear,S-G-IRNN--
Infrastructure : Energy Facility : Petroleum/Gas/Oil,S-G-IRP---
Infrastructure : Transportation,S-G-IT----
Infrastructure : Energy Facility,S-G-IUE---
Infrastructure : Energy Facility : Electric Power : CBRN Type : Nuclear,S-G-IUEN--
Infrastructure : Water Supply : Water,S-G-IUP---
Infrastructure : Medical : Medical,S-G-IX----
Infrastructure : Medical : Medical Treatment Facility (Hospital),S-G-IXH---
