Name,Value
Land Equipment : Weapon/Weapon System,15110000
Land Equipment : Weapon/Weapon System : Rifle,15110100
Land Equipment : Weapon/Weapon System : Rifle : Single Shot Rifle,15110101
Land Equipment : Weapon/Weapon System : Rifle : Semiautomatic Rifle,15110102
Land Equipment : Weapon/Weapon System : Rifle : Automatic Rifle,15110103
Land Equipment : Weapon/Weapon System : Machine Gun,15110200
Land Equipment : Weapon/Weapon System : Machine Gun : Light,15110201
Land Equipment : Weapon/Weapon System : Machine Gun : Medium,15110202
Land Equipment : Weapon/Weapon System : Machine Gun : Heavy,15110203
Land Equipment : Weapon/Weapon System : Grenade Launcher,15110300
Land Equipment : Weapon/Weapon System : Grenade Launcher : Light,15110301
Land Equipment : Weapon/Weapon System : Grenade Launcher : Medium,15110302
Land Equipment : Weapon/Weapon System : Grenade Launcher : Heavy,15110303
Land Equipment : Weapon/Weapon System : Flame Thrower,15110400
Land Equipment : Weapon/Weapon System : Air Defense Gun,15110500
Land Equipment : Weapon/Weapon System : Air Defense Gun : Light,15110501
Land Equipment : Weapon/Weapon System : Air Defense Gun : Medium,15110502
Land Equipment : Weapon/Weapon System : Air Defense Gun : Heavy,15110503
Land Equipment : Weapon/Weapon System : Antitank Gun,15110600
Land Equipment : Weapon/Weapon System : Antitank Gun : Light,15110601
Land Equipment : Weapon/Weapon System : Antitank Gun : Medium,15110602
Land Equipment : Weapon/Weapon System : Antitank Gun : Heavy,15110603
Land Equipment : Weapon/Weapon System : Direct Fire Gun,15110700
Land Equipment : Weapon/Weapon System : Direct Fire Gun : Light,15110701
Land Equipment : Weapon/Weapon System : Direct Fire Gun : Medium,15110702
Land Equipment : Weapon/Weapon System : Direct Fire Gun : Heavy,15110703
Land Equipment : Weapon/Weapon System : Recoilless Gun,15110800
Land Equipment : Weapon/Weapon System : Recoilless Gun : Light,15110801
Land Equipment : Weapon/Weapon System : Recoilless Gun : Medium,15110802
Land Equipment : Weapon/Weapon System : Recoilless Gun : Heavy,15110803
Land Equipment : Weapon/Weapon System : Howitzer,15110900
Land Equipment : Weapon/Weapon System : Howitzer : Light,15110901
Land Equipment : Weapon/Weapon System : Howitzer : Medium,15110902
Land Equipment : Weapon/Weapon System : Howitzer : Heavy,15110903
Land Equipment : Weapon/Weapon System : Missile Launcher,15111000
Land Equipment : Weapon/Weapon System : Missile Launcher : Light,15111001
Land Equipment : Weapon/Weapon System : Missile Launcher : Medium,15111002
Land Equipment : Weapon/Weapon System : Missile Launcher : Heavy,15111003
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher,15111100
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Light,15111101
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Light- Light Transporter-Launcher and Radar (TLAR),15111102
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Light- Light Tactical Landing Approach Radar (TELAR),15111103
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Medium,15111104
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Medium- TLAR,15111105
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Medium- TELAR Air Defense Missile Launcher,15111106
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Heavy,15111107
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Heavy- TLAR,15111108
Land Equipment : Weapon/Weapon System : Air Defense Missile Launcher : Heavy- TELAR,15111109
Land Equipment : Weapon/Weapon System : Antitank Missile Launcher,15111200
Land Equipment : Weapon/Weapon System : Antitank Missile Launcher : Light,15111201
Land Equipment : Weapon/Weapon System : Antitank Missile Launcher : Medium,15111202
Land Equipment : Weapon/Weapon System : Antitank Missile Launcher : Heavy,15111203
Land Equipment : Weapon/Weapon System : Surface-to-Surface Missile Launcher,15111300
Land Equipment : Weapon/Weapon System : Surface-to-Surface Missile Launcher : Light,15111301
