Name,Value
Land Installation : Installation,20110000
Land Installation : Installation : Aircraft Production/Assembly,20110100
Land Installation : Installation : Ammunition and Explosives/Assembly,20110200
Land Installation : Installation : Ammunition Cache,20110300
Land Installation : Installation : Armament Production,20110400
Land Installation : Installation : Black List Location,20110500
Land Installation : Installation : Chemical-Biological-Radiological and Nuclear (CBRN),20110600
Land Installation : Installation : Engineering Equipment Production,20110700
Land Installation : Installation : Engineering Equipment Production : Bridge,20110701
Land Installation : Installation : Equipment Manufacture,20110800
Land Installation : Installation : Government Leadership,20110900
Land Installation : Installation : Gray List Location,20111000
Land Installation : Installation : Mass Grave Site,20111100
Land Installation : Installation : Materiel,20111200
Land Installation : Installation : Mine,20111300
Land Installation : Installation : Missile and Space System Production,20111400
Land Installation : Installation : Nuclear (Non CBRN Defense),20111500
Land Installation : Installation : Printed Media,20111600
Land Installation : Installation : Safe House,20111700
Land Installation : Installation : White List Location,20111800
Land Installation : Installation : Tented Camp,20111900
Land Installation : Installation : Tented Camp : Displaced Persons / Refugee / Evacuees Camp,20111901
Land Installation : Installation : Tented Camp : Training Camp,20111902
Land Installation : Installation : Warehouse/Storage Facility,20112000
Land Installation : Installation : Law Enforcement,20112100
Land Installation : Installation : Law Enforcement : Bureau of Alcohol-Tobacco-Firearms and Explosives (ATF) (Department of Justice),20112101
Land Installation : Installation : Law Enforcement : Border Patrol,20112102
Land Installation : Installation : Law Enforcement : Customs Service,20112103
Land Installation : Installation : Law Enforcement : Drug Enforcement Administration (DEA),20112104
Land Installation : Installation : Law Enforcement : Department of Justice (DOJ),20112105
Land Installation : Installation : Law Enforcement : Federal Bureau of Investigation (FBI),20112106
Land Installation : Installation : Law Enforcement : Police,20112107
Land Installation : Installation : Law Enforcement : Prison,20112108
Land Installation : Installation : Law Enforcement : United States Secret Service (USSS),20112109
Land Installation : Installation : Law Enforcement : Transportation Security Administration (TSA),20112110
Land Installation : Installation : Law Enforcement : Coast Guard,20112111
Land Installation : Installation : Law Enforcement : US Marshals Service,20112112
Land Installation : Installation : Emergency Operation,20112200
Land Installation : Installation : Emergency Operation : Fire Station,20112201
Land Installation : Installation : Emergency Operation : Emergency Medical Operation,20112202
Land Installation : Infrastructure : Agriculture and Food Infrastructure,20120100
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Agriculture Laboratory,20120101
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Animal Feedlot,20120102
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Commercial Food Distribution Center,20120103
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Farm/Ranch,20120104
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Food Distribution,20120105
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Food Production Center,20120106
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Food Retail,20120107
Land Installation : Infrastructure : Agriculture and Food Infrastructure : Grain Storage,20120108
Land Installation : Infrastructure : Banking- Finance- and Insurance Infrastructure,20120200
Land Installation : Infrastructure : Banking- Finance- and Insurance Infrastructure : ATM,20120201
Land Installation : Infrastructure : Banking- Finance- and Insurance Infrastructure : Bank,20120202
