Name,Value
Land Installation : Modifier 1 : CBRN Type : Biological,20011
Land Installation : Modifier 1 : CBRN Type : Chemical,20021
Land Installation : Modifier 1 : CBRN Type : Nuclear,20031
Land Installation : Modifier 1 : CBRN Type : Radiological,20041
Land Installation : Modifier 1 : CBRN Type : Decontamination,20051
Land Installation : Modifier 1 : Electric Power Type : Coal,20061
Land Installation : Modifier 1 : Electric Power Type : Geothermal,20071
Land Installation : Modifier 1 : Electric Power Type : Hydroelectric,20081
Land Installation : Modifier 1 : Electric Power Type : Natural Gas,20091
Land Installation : Modifier 1 : Electric Power Type : Petroleum,20101
Land Installation : Modifier 1 : Operation : Civilian,20111
Land Installation : Modifier 1 : Civilian Telecommunications Type : Civilian Telephone,20121
Land Installation : Modifier 1 : Civilian Telecommunications Type : Civilian Television,20131
