Name,Value
Command and Control,10110000
Command and Control : Broadcast Transmitter Antennae,10110100
Command and Control : Civil Affairs,10110200
Command and Control : Civil-Military Cooperation,10110300
Command and Control : Information Operations,10110400
Command and Control : Liaison,10110500
Command and Control : Military Information Support (MISO),10110600
Command and Control : Military Information Support (MISO) : Broadcast Transmitter Antennae,10110601
Command and Control : Radio,10110700
Command and Control : Radio Relay,10110800
Command and Control : Radio Teletype Center,10110900
Command and Control : Signal,10111000
Command and Control : Signal : Radio,10111001
Command and Control : Signal : Radio Relay,10111002
Command and Control : Signal : Teletype,10111003
Command and Control : Signal : Tactical Satellite,10111004
Command and Control : Signal : Video Imagery (Combat Camera),10111005
Command and Control : Tactical Satellite,10111100
Command and Control : Video Imagery (Combat Camera),10111200
Movement and Maneuver : Air Assault with Organic Lift,10120100
Movement and Maneuver : Air Traffic Services/Airfield Operations,10120200
Movement and Maneuver : Amphibious,10120300
Movement and Maneuver : Antitank/Antiarmor,10120400
Movement and Maneuver : Antitank/Antiarmor : Armored,10120401
Movement and Maneuver : Antitank/Antiarmor : Motorized,10120402
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked,10120500
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Reconnaissance/Cavalry/Scout,10120501
Movement and Maneuver : Armor/Armored/Mechanized/Self-Propelled/Tracked : Amphibious,10120502
Movement and Maneuver : Army Aviation/Aviation Rotary Wing,10120600
Movement and Maneuver : Army Aviation/Aviation Rotary Wing : Reconnaissance,10120601
Movement and Maneuver : Aviation Composite,10120700
Movement and Maneuver : Aviation Fixed Wing,10120800
Movement and Maneuver : Aviation Fixed Wing : Reconnaissance,10120801
Movement and Maneuver : Combat,10120900
Movement and Maneuver : Combined Arms,10121000
Movement and Maneuver : Infantry,10121100
Movement and Maneuver : Infantry : Amphibious,10121101
Movement and Maneuver : Infantry : Armored/Mechanized/Tracked,10121102
Movement and Maneuver : Infantry : Main Gun System,10121103
Movement and Maneuver : Infantry : Motorized,10121104
Movement and Maneuver : Infantry : Infantry Fighting Vehicle,10121105
Movement and Maneuver : Observer,10121200
Movement and Maneuver : Reconnaissance/Cavalry/Scout,10121300
Movement and Maneuver : Reconnaissance/Cavalry/Scout : Reconnaissance and Surveillance,10121301
Movement and Maneuver : Reconnaissance/Cavalry/Scout : Marine,10121302
Movement and Maneuver : Reconnaissance/Cavalry/Scout : Motorized,10121303
Movement and Maneuver : Reconnaissance/Cavalry/Scout : Headquarters Element,10121395
Movement and Maneuver : Sea Air Land (SEAL),10121400
Movement and Maneuver : Sniper,10121500
Movement and Maneuver : Surveillance,10121600
Movement and Maneuver : Special Forces,10121700
Movement and Maneuver : SOF,10121800
Movement and Maneuver : SOF : Fixed Wing MISO,10121801
Movement and Maneuver : SOF : Ground,10121802
Movement and Maneuver : SOF : Special Boat,10121803
Movement and Maneuver : SOF : Special SSNR,10121804
Movement and Maneuver : SOF : Underwater Demolition Team,10121805
Movement and Maneuver : Unmanned Aerial Systems,10121900
Fires : Air Defense,10130100
Fires : Air Defense : Main Gun System,10130101
Fires : Air Defense : Missile,10130102
Fires : Air/Land Naval Gunfire Liaison,10130200
Fires : Field Artillery,10130300
Fires : Field Artillery : Self-propelled,10130301
Fires : Field Artillery : Target Acquisition,10130302
Fires : Field Artillery Observer,10130400
Fires : Joint Fire Support,10130500
Fires : Meteorological,10130600
Fires : Missile,10130700
Fires : Mortar,10130800
Fires : Mortar : Armored/Mechanized/Tracked,10130801
Fires : Mortar : Self-Propelled Wheeled,10130802
Fires : Mortar : Towed,10130803
Fires : Survey,10130900
Protection : CBRN Defense,10140100
Protection : CBRN Defense : Mechanized,10140101
Protection : CBRN Defense : Motorized,10140102
Protection : CBRN Defense : Reconnaissance,10140103
Protection : CBRN Defense : Reconnaissance Armored,10140104
Protection : CBRN Defense : Reconnaissance Equipped,10140105
Protection : Combat Support (Maneuver Enhancement),10140200
Protection : Criminal Investigation Division,10140300
Protection : Diving,10140400
Protection : Dog,10140500
Protection : Drilling,10140600
Protection : Engineer,10140700
Protection : Engineer : Mechanized,10140701
Protection : Engineer : Motorized,10140702
Protection : Engineer : Reconnaissance,10140703
Protection : Explosive Ordnance Disposal (EOD),10140800
Protection : Field Camp Construction,10140900
Protection : Fire Fighting/Fire Protection,10141000
Protection : Geospatial Support/Geospatial Information Support,10141100
Protection : Military Police,10141200
Protection : Mine,10141300
Protection : Mine Clearing,10141400
Protection : Mine Launching,10141500
Protection : Mine Laying,10141600
Protection : Security,10141700
Protection : Security : Mechanized,10141701
Protection : Security : Motorized,10141702
Protection : Search and Rescue,10141800
Protection : Security Police (Air),10141900
Protection : Shore Patrol,10142000
Protection : Topographic,10142100
Intelligence : Analysis,10150100
Intelligence : Counterintelligence,10150200
Intelligence : Direction Finding,10150300
Intelligence : Electronic Ranging,10150400
Intelligence : Electronic Warfare,10150500
Intelligence : Electronic Warfare : Analysis,10150501
Intelligence : Electronic Warfare : Direction Finding,10150502
Intelligence : Electronic Warfare : Intercept,10150503
Intelligence : Electronic Warfare : Jamming,10150504
Intelligence : Electronic Warfare : Search,10150505
Intelligence : Intercept (Search and Recording),10150600
Intelligence : Interrogation,10150700
Intelligence : Jamming,10150800
Intelligence : Joint Intelligence Center,10150900
Intelligence : Military Intelligence,10151000
Intelligence : Search,10151100
Intelligence : Sensor,10151200
Sustainment,10160000
Sustainment : Administrative,10160100
Sustainment : All Classes of Supply,10160200
Sustainment : Airport of Debarkation/Airport of Embarkation,10160300
Sustainment : Ammunition,10160400
Sustainment : Band,10160500
Sustainment : Combat Service Support,10160600
Sustainment : Finance,10160700
Sustainment : Judge Advocate General,10160800
Sustainment : Labor,10160900
Sustainment : Laundry/Bath,10161000
Sustainment : Maintenance,10161100
Sustainment : Material,10161200
Sustainment : Medical,10161300
Sustainment : Medical Treatment Facility,10161400
Sustainment : Morale Welfare and Recreation,10161500
Sustainment : Mortuary Affairs/Graves Registration,10161600
Sustainment : Multiple Classes of Supply,10161700
Sustainment : NATO Supply Class I,10161800
Sustainment : NATO Supply Class II,10161900
Sustainment : NATO Supply Class III,10162000
Sustainment : NATO Supply Class IV,10162100
Sustainment : NATO Supply Class V,10162200
Sustainment : Ordnance,10162300
Sustainment : Personnel Services,10162400
Sustainment : Petroleum Oil and Lubricants,10162500
Sustainment : Pipeline,10162600
Sustainment : Postal,10162700
Sustainment : Public Affairs/Public Information,10162800
Sustainment : Quartermaster,10162900
Sustainment : Railhead,10163000
Sustainment : Religious Support,10163100
Sustainment : Replacement Holding Unit,10163200
Sustainment : Sea Port of Debarkation/Sea Port of Embarkation,10163300
Sustainment : Supply,10163400
Sustainment : Joint Information Bureau,10163500
Sustainment : Transportation,10163600
Sustainment : US Supply Class I,10163700
Sustainment : US Supply Class II,10163800
Sustainment : US Supply Class III,10163900
Sustainment : US Supply Class IV,10164000
Sustainment : US Supply Class V,10164100
Sustainment : US Supply Class VI,10164200
Sustainment : US Supply Class VII,10164300
Sustainment : US Supply Class VIII,10164400
Sustainment : US Supply Class IX,10164500
Sustainment : US Supply Class X,10164600
Sustainment : Water,10164700
Sustainment : Water Purification,10164800
Sustainment : Broadcast,10164900
Naval : Naval,10170100
Named Headquarters : Allied Command Europe Rapid Reaction Corps (ARRC),10180100
Named Headquarters : Allied Command Operations,10180200
Named Headquarters : International Security Assistance Force (ISAF),10180300
Named Headquarters : Multinational (MN),10180400
Emergency Operation (Land Units),10190000
Law Enforcement (Land Units),10200000
Law Enforcement (Land Units) : ATF DOJ,10200100
Law Enforcement (Land Units) : Border Patrol,10200200
Law Enforcement (Land Units) : Customs Service,10200300
Law Enforcement (Land Units) : DEA,10200400
Law Enforcement (Land Units) : DOJ,10200500
Law Enforcement (Land Units) : FBI,10200600
Law Enforcement (Land Units) : Police,10200700
Law Enforcement (Land Units) : Prison,10200800
Law Enforcement (Land Units) : US Secret Service (USSS),10200900
Law Enforcement (Land Units) : TSA,10201000
Law Enforcement (Land Units) : Coast Guard,10201100
Law Enforcement (Land Units) : US Marshals Service,10201200
Law Enforcement (Land Units) : Internal Security Force,10201300
Civilian (Land Civilian),11110000
Civilian (Land Civilian) : Environmental Protection,11110100
Civilian (Land Civilian) : Government Organization,11110200
Civilian (Land Civilian) : Individual,11110300
Civilian (Land Civilian) : Organization or Group,11110400
Civilian (Land Civilian) : Killing Victim,11110500
Civilian (Land Civilian) : Killing Victims,11110600
Civilian (Land Civilian) : Victim of an Attempted Crime,11110700
Civilian (Land Civilian) : Spy,11110800
Civilian (Land Civilian) : Composite Loss,11110900
Civilian (Land Civilian) : Emergency Medical Operation,11111000
