Name,Value
Land Units : Modifier 1 : Mobility : Air Mobile/Air Assault (US Only),10011
Land Units : Modifier 1 : Capability : Area,10021
Land Units : Modifier 1 : Capability : Attack,10031
Land Units : Modifier 1 : Capability : Biological,10041
Land Units : Modifier 1 : Capability : Border,10051
Land Units : Modifier 1 : Capability : Bridging,10061
Land Units : Modifier 1 : Capability : Chemical,10071
Land Units : Modifier 1 : Capability : Close Protection,10081
Land Units : Modifier 1 : Capability : Combat,10091
Land Units : Modifier 1 : Capability : Command and Control,10101
Land Units : Modifier 1 : Capability : Communications Contingency Package,10111
Land Units : Modifier 1 : Capability : Construction,10121
Land Units : Modifier 1 : Capability : Cross Cultural Communication,10131
Land Units : Modifier 1 : Capability : Crowd and Riot Control,10141
Land Units : Modifier 1 : Capability : Decontamination,10151
Land Units : Modifier 1 : Capability : Detention,10161
Land Units : Modifier 1 : Capability : Direct Communications,10171
Land Units : Modifier 1 : Capability : Diving,10181
Land Units : Modifier 1 : Capability : Division,10191
Land Units : Modifier 1 : Capability : Dog,10201
Land Units : Modifier 1 : Capability : Drilling,10211
Land Units : Modifier 1 : Capability : Electro-Optical,10221
Land Units : Modifier 1 : Capability : Enhanced,10231
Land Units : Modifier 1 : Capability : Explosive Ordnance Disposal (EOD),10241
Land Units : Modifier 1 : Capability : Fire Direction Center,10251
Land Units : Modifier 1 : Capability : Force,10261
Land Units : Modifier 1 : Capability : Forward,10271
Land Units : Modifier 1 : Capability : Ground Station Module,10281
Land Units : Modifier 1 : Capability : Landing Support,10291
Land Units : Modifier 1 : Capability : Large Extension Node,10301
Land Units : Modifier 1 : Capability : Maintenance,10311
Land Units : Modifier 1 : Capability : Meteorological,10321
Land Units : Modifier 1 : Capability : Mine Countermeasure,10331
Land Units : Modifier 1 : Capability : Missile,10341
Land Units : Modifier 1 : Capability : Mobile Advisor and Support,10351
Land Units : Modifier 1 : Capability : Mobile Subscriber Equipment,10361
Land Units : Modifier 1 : Capability : Mobility Support,10371
Land Units : Modifier 1 : Capability : Movement Control Center,10381
Land Units : Modifier 1 : Capability : Multinational,10391
Land Units : Modifier 1 : Capability : Multinational Specialized Unit,10401
Land Units : Modifier 1 : Capability : Multiple Rocket Launcher,10411
Land Units : Modifier 1 : Capability : NATO Medical Role 1,10421
Land Units : Modifier 1 : Capability : NATO Medical Role 2,10431
Land Units : Modifier 1 : Capability : NATO Medical Role 3,10441
Land Units : Modifier 1 : Capability : NATO Medical Role 4,10451
Land Units : Modifier 1 : Capability : Naval,10461
Land Units : Modifier 1 : Capability : Node Center,10471
Land Units : Modifier 1 : Capability : Nuclear,10481
Land Units : Modifier 1 : Capability : Operations,10491
Land Units : Modifier 1 : Capability : Radar,10501
Land Units : Modifier 1 : Capability : Radio Frequency Identification (RFID) Interrogator / Sensor,10511
Land Units : Modifier 1 : Capability : Radiological,10521
Land Units : Modifier 1 : Capability : Search and Rescue,10531
Land Units : Modifier 1 : Capability : Security,10541
Land Units : Modifier 1 : Capability : Sensor,10551
Land Units : Modifier 1 : Capability : Sensor Control Module (SCM),10561
Land Units : Modifier 1 : Capability : Signals Intelligence,10571
Land Units : Modifier 1 : Capability : Single Shelter Switch,10581
Land Units : Modifier 1 : Capability : Single Rocket Launcher,10591
Land Units : Modifier 1 : Capability : Smoke,10601
Land Units : Modifier 1 : Capability : Sniper,10611
Land Units : Modifier 1 : Capability : Sound Ranging,10621
Land Units : Modifier 1 : Capability : Special Operations Forces (SOF),10631
Land Units : Modifier 1 : Capability : Special Weapons and Tactics,10641
Land Units : Modifier 1 : Capability : Survey,10651
Land Units : Modifier 1 : Capability : Tactical Exploitation,10661
Land Units : Modifier 1 : Capability : Target Acquisition,10671
Land Units : Modifier 1 : Capability : Topographic,10681
Land Units : Modifier 1 : Capability : Utility,10691
Land Units : Modifier 1 : Capability : Video Imagery (Combat Camera),10701
Land Units : Modifier 1 : Composite Loss : Accident,10711
Land Units : Modifier 1 : Composite Loss : Other,10721
Land Units : Modifier 1 : Operation : Civilian,10731
Land Units : Modifier 1 : Capability : Antisubmarine Warfare,10741
Land Units : Modifier 1 : Capability : Medevac,10751
Land Units : Modifier 1 : Capability : Ranger,10761
Land Units : Modifier 1 : Capability : Support,10771
Land Units : Modifier 1 : Capability : Aviation,10781
Land Civilian : Modifier 1 : Crime : Assassination,11011
Land Civilian : Modifier 1 : Crime : Execution (Wrongful Killing),11021
Land Civilian : Modifier 1 : Crime : Murder Victims,11031
Land Civilian : Modifier 1 : Crime : Hijacking,11041
Land Civilian : Modifier 1 : Crime : Kidnapping,11051
Land Civilian : Modifier 1 : Crime : Piracy,11061
Land Civilian : Modifier 1 : Crime : Rape,11071
Land Civilian : Modifier 1 : Organization : Civilian,11081
Land Civilian : Modifier 1 : Organization : Displaced Person(s)- Refugee(s) and Evacuee(s),11091
Land Civilian : Modifier 1 : Organization : Foreign Fighter(s),11101
Land Civilian : Modifier 1 : Organization : Gang Member or Gang,11111
Land Civilian : Modifier 1 : Organization : Government Organization,11121
Land Civilian : Modifier 1 : Organization : Leader or Leadership,11131
Land Civilian : Modifier 1 : Organization : Nongovernmental Organization Member or Nongovernmental Organization,11141
Land Civilian : Modifier 1 : Organization : Coerced/Impressed Recruit,11151
Land Civilian : Modifier 1 : Organization : Willing Recruit,11161
Land Civilian : Modifier 1 : Organization : Religious or Religious Organization,11171
Land Civilian : Modifier 1 : Organization : Targeted Individual or Organization,11181
Land Civilian : Modifier 1 : Organization : Terrorist or Terrorist Organization,11191
Land Civilian : Modifier 1 : Organization : Speaker,11201
Land Civilian : Modifier 1 : Composite Loss : Accident,11211
Land Civilian : Modifier 1 : Composite Loss : Combat,11221
Land Civilian : Modifier 1 : Composite Loss : Other,11231
Land Civilian : Modifier 1 : Crime : Loot,11241
