Name,Value
Land Units : Modifier 2 : Mobility : Airborne,10012
Land Units : Modifier 2 : Mobility : Arctic,10022
Land Units : Modifier 2 : Capability : Battle Damage Repair,10032
Land Units : Modifier 2 : Mobility : Bicycle Equipped,10042
Land Units : Modifier 2 : Close Range and Support : Casualty Staging,10052
Land Units : Modifier 2 : Capability : Clearing,10062
Land Units : Modifier 2 : Capability : Close Range,10072
Land Units : Modifier 2 : Capability : Control,10082
Land Units : Modifier 2 : Capability : Decontamination,10092
Land Units : Modifier 2 : Capability : Demolition,10102
Land Units : Modifier 2 : Capability : Dental,10112
Land Units : Modifier 2 : Capability : Digital,10122
Land Units : Modifier 2 : Capability : Enhanced Position Location Reporting System (EPLRS),10132
Land Units : Modifier 2 : Capability : Equipment,10142
Land Units : Modifier 2 : Capability : Heavy,10152
Land Units : Modifier 2 : Capability : High Altitude,10162
Land Units : Modifier 2 : Capability : Intermodal,10172
Land Units : Modifier 2 : Capability : Intensive Care,10182
Land Units : Modifier 2 : Capability : Light,10192
Land Units : Modifier 2 : Capability : Laboratory,10202
Land Units : Modifier 2 : Capability : Launcher,10212
Land Units : Modifier 2 : Capability : Long Range,10222
Land Units : Modifier 2 : Capability : Low Altitude,10232
Land Units : Modifier 2 : Capability : Medium,10242
Land Units : Modifier 2 : Capability : Medium Altitude,10252
Land Units : Modifier 2 : Capability : Medium Range,10262
Land Units : Modifier 2 : Capability : Mountain,10272
Land Units : Modifier 2 : Capability : High to Medium Altitude,10282
Land Units : Modifier 2 : Capability : Multi-Channel,10292
Land Units : Modifier 2 : Capability : Optical (Flash),10302
Land Units : Modifier 2 : Capability : Pack Animal,10312
Land Units : Modifier 2 : Capability : Patient Evacuation Coordination,10322
Land Units : Modifier 2 : Capability : Preventive Maintenance,10332
Land Units : Modifier 2 : Capability : Psychological,10342
Land Units : Modifier 2 : Capability : Radio Relay Line of Sight,10352
Land Units : Modifier 2 : Mobility : Railroad,10362
Land Units : Modifier 2 : Capability : Recovery (Unmanned Systems),10372
Land Units : Modifier 2 : Capability : Recovery (Maintenance),10382
Land Units : Modifier 2 : Capability : Rescue Coordination Center,10392
Land Units : Modifier 2 : Mobility : Riverine,10402
Land Units : Modifier 2 : Capability : Single Channel,10412
Land Units : Modifier 2 : Mobility : Ski,10422
Land Units : Modifier 2 : Capability : Short Range,10432
Land Units : Modifier 2 : Capability : Strategic,10442
Land Units : Modifier 2 : Capability : Support,10452
Land Units : Modifier 2 : Capability : Tactical,10462
Land Units : Modifier 2 : Mobility : Towed,10472
Land Units : Modifier 2 : Capability : Troop,10482
Land Units : Modifier 2 : Mobility : Vertical or Short Take-Off and Landing (VTOL/VSTOL),10492
Land Units : Modifier 2 : Capability : Veterinary,10502
Land Units : Modifier 2 : Mobility : Wheeled,10512
Land Units : Modifier 2 : Capability : High to Low Altitude,10522
Land Units : Modifier 2 : Capability : Medium to Low Altitude,10532
Land Units : Modifier 2 : Capability : Attack,10542
Land Units : Modifier 2 : Capability : Refuel,10552
Land Units : Modifier 2 : Capability : Utility,10562
Land Units : Modifier 2 : Capability : Combat Search and Rescue,10572
Land Civilian : Modifier 2 : Organization : Leader or Leadership,11012
