Name,Value
Bounded Areas : Dust or Sand,W---BAD---
Bounded Areas : Operator-Defined Freeform,W---BAFF--
Bounded Areas : Fog,W---BAFG--
Bounded Areas : Freezing /Frozen Precipitation,W---BAFP--
Bounded Areas : Icing,W---BAI---
Bounded Areas : Instrument Flight Rule (IFR),W---BAIF--
Bounded Areas : Liquid Precipitation - Non-Convective Continuous or Intermittent : Liquid Precipitation - Convective,W---BALPC-
Bounded Areas : Liquid Precipitation - Non-Convective Continuous or Intermittent,W---BALPNC
Bounded Areas : Marginal Visual Flight Rule (MVFR),W---BAMV--
Bounded Areas : Thunderstorm,W---BAT---
Bounded Areas : Turbulence,W---BATB--
Oceanography : Beach Slope : Flat,W---BSF---
Oceanography : Beach Slope : Gentle,W---BSG---
Oceanography : Beach Slope : Moderate,W---BSM---
Oceanography : Beach Slope : Steep,W---BST---
Geophysics/Acoustics : MIW : MIW Bottom Category A,W---GMBCA-
Geophysics/Acoustics : MIW : MIW Bottom Category B,W---GMBCB-
Geophysics/Acoustics : MIW : MIW Bottom Category C,W---GMBCC-
Geophysics/Acoustics : MIW : MIW Bottom Type A1,W---GMBTA-
Geophysics/Acoustics : MIW : MIW Bottom Type A2,W---GMBTB-
Geophysics/Acoustics : MIW : MIW Bottom Type A3,W---GMBTC-
Geophysics/Acoustics : MIW : MIW Bottom Type B1,W---GMBTD-
Geophysics/Acoustics : MIW : MIW Bottom Type B2,W---GMBTE-
Geophysics/Acoustics : MIW : MIW Bottom Type B3,W---GMBTF-
Geophysics/Acoustics : MIW : MIW Bottom Type C1,W---GMBTG-
Geophysics/Acoustics : MIW : MIW Bottom Type C2,W---GMBTH-
Geophysics/Acoustics : MIW : MIW Bottom Type C3,W---GMBTI-
Geophysics/Acoustics : MIW : Clutter (Bottom) - High,W---GMCH--
Geophysics/Acoustics : MIW : Clutter (Bottom) - Low,W---GMCL--
Geophysics/Acoustics : MIW : Clutter (Bottom) - Medium,W---GMCM--
Geophysics/Acoustics : MIW : Impact Burial - 0%,W---GMIBA-
Geophysics/Acoustics : MIW : Impact Burial - 0-10%,W---GMIBB-
Geophysics/Acoustics : MIW : Impact Burial - 10-20%,W---GMIBC-
Geophysics/Acoustics : MIW : Impact Burial - 20-75%,W---GMIBD-
Geophysics/Acoustics : MIW : Impact Burial - >75%,W---GMIBE-
Geophysics/Acoustics : MIW : MIW Bottom Sediment - Land,W---GML---
Geophysics/Acoustics : MIW : MIW Bottom Sediment - No Data,W---GMN---
Geophysics/Acoustics : MIW : Bottom Roughness - Moderate,W---GMRM--
Geophysics/Acoustics : MIW : Bottom Roughness - Rough,W---GMRR--
Geophysics/Acoustics : MIW : Bottom Roughness - Smooth,W---GMRS--
Geophysics/Acoustics : MIW : MIW Bottom Sediments - Boulders,W---GMSB--
Geophysics/Acoustics : MIW : MIW Bottom Sediments - Clay,W---GMSC--
Geophysics/Acoustics : MIW : MIW Bottom Sediments - Cobbles-Oyster Shells,W---GMS-CO
Geophysics/Acoustics : MIW : MIW Bottom Sediments - Coarse Silt,W---GMSIC-
Geophysics/Acoustics : MIW : MIW Bottom Sediments - Fine Silt,W---GMSIF-
Geophysics/Acoustics : MIW : MIW Bottom Sediments - Medium Silt,W---GMSIM-
Geophysics/Acoustics : MIW : MIW Bottom Sediments - Very Fine Silt,W---GMSIVF
