Name,Value
Hydrography : Aids to Navigation : Leading Line,W---HALLA-
Hydrography : Coastal Hydrography : Coastline,W---HCC---
Hydrography : Coastal Hydrography : Foreshore - Line,W---HCF---
Hydrography : Depth : Depth Contour,W---HDDC--
Hydrography : Depth : Depth Curve,W---HDDL--
Hydrography : Dangers/Hazards : Breakers,W---HHDB--
Hydrography : Ports and Harbors : Anchorage - Line,W---HPBA--
Hydrography : Ports and Harbors : Pier/Wharf/Quay,W---HPBP--
Hydrography : Ports and Harbors : Ramp - Above Water,W---HPMRA-
Hydrography : Ports and Harbors : Ramp - Below Water,W---HPMRB-
Hydrography : Ports and Harbors : Breakwater/Groin/Jetty - Above Water,W---HPSPA-
Hydrography : Ports and Harbors : Breakwater/Groin/Jetty - Below Water,W---HPSPB-
Hydrography : Ports and Harbors : Seawall,W---HPSPS-
Ice Systems : Limits : Estimated Ice Edge or Boundary,W---ILIEE-
Ice Systems : Limits : Observed Ice Edge or Boundary,W---ILIEO-
Ice Systems : Limits : Ice Edge or Boundary From Radar,W---ILIER-
Ice Systems : Limits : Limits of Radar Observation,W---ILOR--
Ice Systems : Limits : Limits of Visual Observation,W---ILOV--
Ice Systems : Limits : Limits of Under Cast,W---ILUC--
Ice Systems : Openings in the Ice : Cracks,W---IOC---
Ice Systems : Openings in the Ice : Cracks at a Specific Location,W---IOCS--
Ice Systems : Openings in the Ice : Lead,W---IOL---
Ice Systems : Openings in the Ice : Frozen Lead,W---IOLF--
Isopleths : Contour - Upper Air,W---IPCO--
Isopleths : Operator-Defined Freeform,W---IPFF--
Isopleths : Isobar - Surface,W---IPIB--
Isopleths : Isodrosotherm,W---IPID--
Isopleths : Isotherm,W---IPIS--
Isopleths : Isotach,W---IPIT--
Isopleths : Thickness,W---IPTH--
Limits : Maritime Limit Boundary,W---L-ML--
Limits : Restricted Area,W---L-RA--
Man-Made Structures : Submarine Cable,W---MCA---
Man-Made Structures : Canal,W---MCD---
Man-Made Structures : Pipelines/Pipe,W---MPA---
Pressure Systems : Frontal Systems : Cold Front,W---PFC---
Pressure Systems : Frontal Systems : Cold Frontogenesis,W---PFC-FG
Pressure Systems : Frontal Systems : Cold Frontolysis,W---PFC-FY
Pressure Systems : Frontal Systems : Upper Cold Front,W---PFCU--
Pressure Systems : Frontal Systems : Occluded Front,W---PFO---
Pressure Systems : Frontal Systems : Occluded Frontolysis,W---PFO-FY
Pressure Systems : Frontal Systems : Upper Occluded Front,W---PFOU--
Pressure Systems : Frontal Systems : Stationary Front,W---PFS---
Pressure Systems : Frontal Systems : Stationary Frontogenesis,W---PFS-FG
Pressure Systems : Frontal Systems : Stationary Frontolysis,W---PFS-FY
Pressure Systems : Frontal Systems : Upper Stationary Front,W---PFSU--
Pressure Systems : Frontal Systems : Warm Front,W---PFW---
Pressure Systems : Frontal Systems : Warm Frontogenesis,W---PFW-FG
Pressure Systems : Frontal Systems : Warm Frontolysis,W---PFW-FY
Pressure Systems : Frontal Systems : Upper Warm Front,W---PFWU--
Pressure Systems : Lines : Convergence Line,W---PXCV--
Pressure Systems : Lines : Instability Line,W---PXIL--
Pressure Systems : Lines : Inter-Tropical Convergence Zone,W---PXITCZ
Pressure Systems : Lines : Inter-Tropical Discontinuity,W---PXITD-
Pressure Systems : Lines : Ridge Axis,W---PXR---
Pressure Systems : Lines : Shear Line,W---PXSH--
Pressure Systems : Lines : Severe Squall Line,W---PXSQ--
Pressure Systems : Lines : Upper Trough Axis,W---PXT---
Hydrography : Dangers/Hazards : Reef,W-S-HHDR--
Hydrography : Tide and Current : Current Flow - Ebb,W---TCCCFE
Hydrography : Tide and Current : Current Flow - Flood,W---TCCCFF
Winds : Jet Stream,W---WJ----
Winds : Stream Line,W---WS----
