Name,Value
Hydrography : Dangers/Hazards : Kelp/Seaweed - Point,W---HHDK--
Hydrography : Ports and Harbors : Offshore Loading Facility - Point,W---HPMO--
Ice Systems : Dynamic Processes : Ice Drift (Direction),W---IDID--
Hydrography : Bottom Features : Bottom Characteristics - Cobbles,W-S-BFC-CB
Hydrography : Bottom Features : Bottom Characteristics - Clay,W-S-BFC-CL
Hydrography : Bottom Features : Bottom Characteristics - Coral,W-S-BFC-CO
Hydrography : Bottom Features : Bottom Characteristics - Gravel,W-S-BFC-G-
Hydrography : Bottom Features : Bottom Characteristics - Mud,W-S-BFC-M-
Hydrography : Bottom Features : Bottom Characteristics - Pebbles,W-S-BFC-P-
Hydrography : Bottom Features : Bottom Characteristics - Rock,W-S-BFC-R-
Hydrography : Bottom Features : Bottom Characteristics - Sand,W-S-BFC-S-
Hydrography : Bottom Features : Bottom Characteristics - Shell,W-S-BFC-SH
Hydrography : Bottom Features : Bottom Characteristics - Silt,W-S-BFC-SI
Hydrography : Bottom Features : Bottom Characteristics - Stones,W-S-BFC-ST
Hydrography : Bottom Features : Qualifying Terms - Coarse,W-S-BFQ-C-
Hydrography : Bottom Features : Qualifying Terms - Fine,W-S-BFQ-F-
Hydrography : Bottom Features : Qualifying Terms - Medium,W-S-BFQ-M-
Cloud Cover : Cloud Coverage : Broken Coverage,W-S-CCCSBC
Cloud Cover : Cloud Coverage : Clear Sky,W-S-CCCSCS
Cloud Cover : Cloud Coverage : Few Coverage,W-S-CCCSFC
Cloud Cover : Cloud Coverage : Sky Totally or Partially Obscured,W-S-CCCSOB
Cloud Cover : Cloud Coverage : Overcast Coverage,W-S-CCCSOC
Cloud Cover : Cloud Coverage : Scattered Coverage,W-S-CCCSSC
State of the Ground : Without Snow or Measurable Ice Cover : Extremely Dry with Cracks,W-S-GNDEWC
State of the Ground : Without Snow or Measurable Ice Cover : Surface Dry Without Cracks or Appreciable Dust or Loose Sand,W-S-GND-NC
State of the Ground : Without Snow or Measurable Ice Cover : Surface Flooded,W-S-GNFL--
State of the Ground : Without Snow or Measurable Ice Cover : Surface Frozen,W-S-GNFZ--
State of the Ground : Without Snow or Measurable Ice Cover : Glaze (Thin Ice) on Ground,W-S-GNG-TI
State of the Ground : Without Snow or Measurable Ice Cover : Moderate/Thick Loose Dry Dust or Sand Covering Ground Completely,W-S-GNLDMC
State of the Ground : Without Snow or Measurable Ice Cover : Loose Dry Dust or Sand not Covering Ground Completely,W-S-GNLDN-
State of the Ground : Without Snow or Measurable Ice Cover : Thin Loose Dry Dust or Sand Covering Ground Completely,W-S-GNLDTC
