Name,Value
Meteorological - Oceanographic : Hydrography : Depth : Depth Area,46120104
Meteorological - Oceanographic : Hydrography : Coastal Hydrography : Island,46120202
Meteorological - Oceanographic : Hydrography : Coastal Hydrography : Beach,46120203
Meteorological - Oceanographic : Hydrography : Coastal Hydrography : Water,46120204
Meteorological - Oceanographic : Hydrography : Coastal Hydrography : Foreshore - Area,46120206
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Anchorage - Area,46120306
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Fish Traps - Area,46120312
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Drydock,46120314
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Offshore Loading Facility - Area,46120318
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Perches/Stakes - Area,46120405
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Underwater Danger/Hazard,46120503
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Foul Ground - Area,46120505
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Kelp/Seaweed - Area,46120507
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Discolored Water,46120514
Meteorological - Oceanographic : Oceanography : Bioluminescence : Visual Detection Ratio (VDR) Level 1-2,46130101
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 2-3,46130102
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 3-4,46130103
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 4-5,46130104
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 5-6,46130105
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 6-7,46130106
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 7-8,46130107
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 8-9,46130108
Meteorological - Oceanographic : Oceanography : Bioluminescence : VDR Level 9-10,46130109
Meteorological - Oceanographic : Oceanography : Beach Slope : Flat,46130201
Meteorological - Oceanographic : Oceanography : Beach Slope : Gentle,46130202
Meteorological - Oceanographic : Oceanography : Beach Slope : Moderate,46130203
Meteorological - Oceanographic : Oceanography : Beach Slope : Steep,46130204
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Solid Rock,46140101
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Clay,46140102
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Very Coarse Sand,46140103
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Coarse Sand,46140104
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Medium Sand,46140105
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Fine Sand,46140106
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Very Fine Sand,46140107
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Very Fine Silt,46140108
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Fine Silt,46140109
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Medium Silt,46140110
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Coarse Silt,46140111
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Boulders,46140112
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Cobbles-Oyster Shells,46140113
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Pebbles-Shells,46140114
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediments - Sand and Shells,46140115
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediment - Land,46140116
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Sediment - No Data,46140117
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Bottom Roughness - Smooth,46140118
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Bottom Roughness - Moderate,46140119
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Bottom Roughness - Rough,46140120
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Clutter (Bottom) - Low,46140121
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Clutter (Bottom) - Medium,46140122
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Clutter (Bottom) - High,46140123
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Impact Burial - 0%,46140124
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Impact Burial - 0-10%,46140125
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Impact Burial - 10-20%,46140126
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Impact Burial - 20-75%,46140127
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : Impact Burial - >75%,46140128
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Category A,46140129
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Category B,46140130
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Category C,46140131
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type A1,46140132
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type A2,46140133
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type A3,46140134
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type B1,46140135
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type B2,46140136
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type B3,46140137
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type C1,46140138
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type C2,46140139
Meteorological - Oceanographic : Geophysics/Acoustics : Mine Warfare (MIW) Bottom Descriptors : MIW Bottom Type C3,46140140
Meteorological - Oceanographic : Limits : Maritime Area,46150200
Meteorological - Oceanographic : Limits : Swept Area,46150400
Meteorological - Oceanographic : Limits : Training Area,46150500
Meteorological - Oceanographic : Limits : Operator-Defined,46150600
