Name,Value
Meteorological - Oceanographic : Ice Systems : Limits : Limits of Visual Observation,46110501
Meteorological - Oceanographic : Ice Systems : Limits : Limits of Under Cast,46110502
Meteorological - Oceanographic : Ice Systems : Limits : Limits of Radar Observation,46110503
Meteorological - Oceanographic : Ice Systems : Limits : Observed Ice Edge or Boundary,46110504
Meteorological - Oceanographic : Ice Systems : Limits : Estimated Ice Edge or Boundary,46110505
Meteorological - Oceanographic : Ice Systems : Limits : Ice Edge or Boundary From Radar,46110506
Meteorological - Oceanographic : Ice Systems : Openings in the Ice,46110600
Meteorological - Oceanographic : Ice Systems : Openings in the Ice : Cracks,46110601
Meteorological - Oceanographic : Ice Systems : Openings in the Ice : Cracks at a Specific Location,46110602
Meteorological - Oceanographic : Ice Systems : Openings in the Ice : Lead,46110603
Meteorological - Oceanographic : Ice Systems : Openings in the Ice : Frozen Lead,46110604
Meteorological - Oceanographic : Hydrography : Depth : Depth Curve,46120102
Meteorological - Oceanographic : Hydrography : Depth : Depth Contour,46120103
Meteorological - Oceanographic : Hydrography : Coastal Hydrography : Coastline,46120201
Meteorological - Oceanographic : Hydrography : Coastal Hydrography : Foreshore - Line,46120205
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Anchorage - Line,46120305
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Pier/Wharf/Quay,46120308
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Offshore Loading Facility - Line,46120317
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Ramp - Above Water,46120319
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Ramp - Below Water,46120320
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Breakwater/Groin/Jetty - Above Water,46120326
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Breakwater/Groin/Jetty - Below Water,46120327
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Seawall,46120328
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Leading Line,46120407
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Breakers,46120511
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Reef,46120512
Meteorological - Oceanographic : Hydrography : Tide and Current : Current Flow - Ebb,46120702
Meteorological - Oceanographic : Hydrography : Tide and Current : Current Flow - Flood,46120703
Meteorological - Oceanographic : Limits : Maritime Limit Boundary,46150100
Meteorological - Oceanographic : Limits : Restricted Area,46150300
Meteorological - Oceanographic : Man-Made Structures : Submarine Cable,46160100
Meteorological - Oceanographic : Man-Made Structures : Canal,46160300
Meteorological - Oceanographic : Man-Made Structures : Pipelines/Pipe,46160800
