Name,Value
Meteorological - Oceanographic : Ice Systems : Icebergs : Many Icebergs,46110101
Meteorological - Oceanographic : Ice Systems : Icebergs : Belts and Strips,46110102
Meteorological - Oceanographic : Ice Systems : Icebergs : General,46110103
Meteorological - Oceanographic : Ice Systems : Icebergs : Many Icebergs - General,46110104
Meteorological - Oceanographic : Ice Systems : Icebergs : Bergy Bit,46110105
Meteorological - Oceanographic : Ice Systems : Icebergs : Many Bergy Bits,46110106
Meteorological - Oceanographic : Ice Systems : Icebergs : Growler,46110107
Meteorological - Oceanographic : Ice Systems : Icebergs : Many Growlers,46110108
Meteorological - Oceanographic : Ice Systems : Icebergs : Floeberg,46110109
Meteorological - Oceanographic : Ice Systems : Icebergs : Ice Island,46110110
Meteorological - Oceanographic : Ice Systems : Ice Concentration : Bergy Water,46110201
Meteorological - Oceanographic : Ice Systems : Ice Concentration : Water with Radar Targets,46110202
Meteorological - Oceanographic : Ice Systems : Ice Concentration : Ice Free,46110203
Meteorological - Oceanographic : Ice Systems : Dynamic Processes : Convergence,46110301
Meteorological - Oceanographic : Ice Systems : Dynamic Processes : Divergence,46110302
Meteorological - Oceanographic : Ice Systems : Dynamic Processes : Shearing or Shear Zone,46110303
Meteorological - Oceanographic : Ice Systems : Dynamic Processes : Ice Drift (Direction),46110304
Meteorological - Oceanographic : Ice Systems : Sea Ice,46110400
Meteorological - Oceanographic : Ice Systems : Sea Ice : Ice Thickness (Observed),46110401
Meteorological - Oceanographic : Ice Systems : Sea Ice : Ice Thickness (Estimated),46110402
Meteorological - Oceanographic : Ice Systems : Sea Ice : Melt Puddles or Flooded Ice,46110403
Meteorological - Oceanographic : Ice Systems : Snow Cover,46110700
Meteorological - Oceanographic : Ice Systems : Snow Cover : Sastrugi (with Orientation),46110701
Meteorological - Oceanographic : Ice Systems : Topographical Features : Ridges or Hummocks,46110801
Meteorological - Oceanographic : Ice Systems : Topographical Features : Rafting,46110802
Meteorological - Oceanographic : Ice Systems : Topographical Features : Jammed Brash Barrier,46110803
Meteorological - Oceanographic : Hydrography : Depth : Soundings,46120101
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Berths (Onshore),46120302
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Berths (Anchor),46120303
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Anchorage - Point,46120304
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Call in Point,46120307
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Fishing Harbor - Point,46120309
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Fish Weirs - Point,46120310
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Fish Stakes - Point,46120311
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Landing Place,46120315
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Offshore Loading Facility - Point,46120316
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Landing Ring,46120321
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Ferry Crossing,46120322
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Cable Ferry Crossing,46120323
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Dolphin,46120324
Meteorological - Oceanographic : Hydrography : Ports and Harbors : Shoreline Protection,46120325
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Beacon,46120401
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Buoy Default,46120402
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Marker,46120403
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Perches/Stakes - Point,46120404
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Light,46120406
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Light Vessel/Light Ship,46120408
Meteorological - Oceanographic : Hydrography : Aids to Navigation : Lighthouse,46120409
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Rock Submerged,46120501
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Rock Awashed,46120502
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Foul Ground - Point,46120504
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Kelp/Seaweed - Point,46120506
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Snags/Stumps,46120508
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Wreck (Uncovers),46120509
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Wreck (Submerged),46120510
Meteorological - Oceanographic : Hydrography : Dangers/Hazards : Eddies/Overfalls/Tide Rips,46120513
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Sand,46120601
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Mud,46120602
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Clay,46120603
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Silt,46120604
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Stones,46120605
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Gravel,46120606
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Pebbles,46120607
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Cobbles,46120608
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Rock,46120609
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Coral,46120610
Meteorological - Oceanographic : Hydrography : Bottom Features : Bottom Characteristics - Shell,46120611
Meteorological - Oceanographic : Hydrography : Bottom Features : Qualifying Terms - Fine,46120612
Meteorological - Oceanographic : Hydrography : Bottom Features : Qualifying Terms - Medium,46120613
Meteorological - Oceanographic : Hydrography : Bottom Features : Qualifying Terms - Coarse,46120614
Meteorological - Oceanographic : Hydrography : Tide and Current : Water Turbulence,46120701
Meteorological - Oceanographic : Hydrography : Tide and Current : Tide Data Point,46120704
Meteorological - Oceanographic : Hydrography : Tide and Current : Tide Gauge,46120705
Meteorological - Oceanographic : Man-Made Structures : Ford,46160400
Meteorological - Oceanographic : Man-Made Structures : Lock,46160500
Meteorological - Oceanographic : Man-Made Structures : Oil/Gas Rig,46160600
Meteorological - Oceanographic : Man-Made Structures : Pile/Piling/Post,46160900
