Name,Value
Fully Capable : Unknown : Pending,"000022"
Fully Capable : Air : Pending,"000122"
Fully Capable : Space : Pending,"000522"
Fully Capable : Land Unit : Pending,"001022"
Fully Capable : Land Equipment : Pending,"001522"
Fully Capable : Land Installations : Pending,"002022"
Fully Capable : Sea Surface : Pending,"003022"
Fully Capable : Sea Subsurface : Pending,"003522"
Fully Capable : Activities : Pending,"004022"
Fully Capable : Unknown : Unknown,"010022"
Fully Capable : Air : Unknown,"010122"
Fully Capable : Space : Unknown,"010522"
Fully Capable : Land Unit : Unknown,"011022"
Fully Capable : Land Equipment : Unknown,"011522"
Fully Capable : Land Installations : Unknown,"012022"
Fully Capable : Sea Surface : Unknown,"013022"
Fully Capable : Sea Subsurface : Unknown,"013522"
Fully Capable : Activities : Unknown,"014022"
Fully Capable : Unknown : Assumed Friend,"020022"
Fully Capable : Air : Assumed Friend,"020122"
Fully Capable : Space : Assumed Friend,"020522"
Fully Capable : Land Unit : Assumed Friend,"021022"
Fully Capable : Land Equipment : Assumed Friend,"021522"
Fully Capable : Land Installations : Assumed Friend,"022022"
Fully Capable : Sea Surface : Assumed Friend,"023022"
Fully Capable : Sea Subsurface : Assumed Friend,"023522"
Fully Capable : Activities : Assumed Friend,"024022"
Fully Capable : Unknown : Friend,"030022"
Fully Capable : Air : Friend,"030122"
Fully Capable : Space : Friend,"030522"
Fully Capable : Land Unit : Friend,"031022"
Fully Capable : Land Equipment : Friend,"031522"
Fully Capable : Land Installations : Friend,"032022"
Fully Capable : Sea Surface : Friend,"033022"
Fully Capable : Sea Subsurface : Friend,"033522"
Fully Capable : Activities : Friend,"034022"
Fully Capable : Unknown : Neutral,"040022"
Fully Capable : Air : Neutral,"040122"
Fully Capable : Space : Neutral,"040522"
Fully Capable : Land Unit : Neutral,"041022"
Fully Capable : Land Equipment : Neutral,"041522"
Fully Capable : Land Installations : Neutral,"042022"
Fully Capable : Sea Surface : Neutral,"043022"
Fully Capable : Sea Subsurface : Neutral,"043522"
Fully Capable : Activities : Neutral,"044022"
