Name,Value
Signals Intelligence - Space : Signal Intercept : Communications,50110100
Signals Intelligence - Space : Signal Intercept : Jammer,50110200
Signals Intelligence - Space : Signal Intercept : Radar,50110300
Signals Intelligence - Air : Signal Intercept : Communications,51110100
Signals Intelligence - Air : Signal Intercept : Jammer,51110200
Signals Intelligence - Air : Signal Intercept : Radar,51110300
Signals Intelligence - Land : Signal Intercept : Communications,52110100
Signals Intelligence - Land : Signal Intercept : Jammer,52110200
Signals Intelligence - Land : Signal Intercept : Radar,52110300
Signals Intelligence - Surface : Signal Intercept : Communications,53110100
Signals Intelligence - Surface : Signal Intercept : Jammer,53110200
Signals Intelligence - Surface : Signal Intercept : Radar,53110300
Signals Intelligence - Subsurface : Signal Intercept : Communications,54110100
Signals Intelligence - Subsurface : Signal Intercept : Jammer,54110200
Signals Intelligence - Subsurface : Signal Intercept : Radar,54110300
