Name,Value
Space/Air/Land/Sea Surface/Subsurface Radar : Data Transmission,50141
Space Radar : Earth Surveillance,50151
Space/Air/Land/Sea Surface/Subsurface Radar : Identification Friend or Foe (Interrogator),50211
Space/Air/Land/Sea Surface/Subsurface Radar : Identification Friend or Foe (Transponder),50241
Space/Air/Land/Sea Surface/Subsurface Jammer : Barrage Jammer,50251
Space/Air/Land/Sea Surface/Subsurface Jammer : Click Jammer,50261
Space/Air/Land/Sea Surface/Subsurface Jammer : Deceptive Jammer,50271
Space/Air/Land/Sea Surface/Subsurface Jammer : Frequency Swept Jammer,50281
Space/Air/Land/Sea Surface/Subsurface Jammer : Jammer (general),50291
Space/Air/Land/Sea Surface/Subsurface Jammer : Noise Jammer,50301
Space/Air/Land/Sea Surface/Subsurface Jammer : Pulsed Jammer,50311
Space/Air/Land/Sea Surface/Subsurface Jammer : Repeater Jammer,50321
Space/Air/Land/Sea Surface/Subsurface Jammer : Spot Noise Jammer,50331
Space/Air/Land/Sea Surface/Subsurface Jammer : Transponder Jammer,50341
Space/Air/Land/Sea Surface/Subsurface Jammer : Missile Control,50361
Space/Air/Land/Sea Surface/Subsurface Jammer : Multi-Function,50391
Space/Air/Land/Sea Surface/Subsurface Jammer : Missile Tracking,50421
Space/Air/Land/Sea Surface/Subsurface Jammer : Navigational/General,50431
Space/Air/Land/Sea Surface/Subsurface Jammer : Navigational/Distance Measuring Equipment,50441
Space/Air/Land/Sea Surface/Subsurface Jammer : Navigation/Terrain Following,50451
Space/Air/Land/Sea Surface/Subsurface Communications : Point-to-Point Line of Sight (LOS),50491
Space/Air/Land/Sea Surface/Subsurface Radar : Instrumentation,50501
Space/Air/Land/Sea Surface/Subsurface Radar : Range Only,50511
Space Communications : Satellite Downlink,50531
Space/Air/Land/Sea Surface/Subsurface Radar : Space,50541
Space/Air/Land/Sea Surface/Subsurface Radar : Surface Search,50551
Space/Air/Land/Sea Surface/Subsurface Jammer : Target Acquisition,50581
Space/Air/Land/Sea Surface/Subsurface Radar : Target Tracking,50611
Space/Air/Land/Sea Surface/Subsurface Radar : Unknown,50621
Space/Air/Land/Sea Surface/Subsurface Radar : Video Remoting,50631
Space/Air/Land/Sea Surface/Subsurface Radar : Experimental,50641
Air Radar : Airborne Search and Bombing,51021
Air Radar : Airborne Intercept,51031
