Name,Value
Military Combatant,S-S-C-----
Military Combatant : Amphibious Warfare Ship,S-S-CA----
Military Combatant : Amphibious Warfare Ship : Assault- Non-specified,S-S-CALA--
Military Combatant : Amphibious Warfare Ship : Landing Craft,S-S-CALC--
Military Combatant : Amphibious Warfare Ship : Landing Ship,S-S-CALS--
Military Combatant : Amphibious Warfare Ship : Landing Ship : Ship Capacity : Medium,S-S-CALSM-
Military Combatant : Amphibious Warfare Ship : Landing Ship : Cargo Capacity : Tank,S-S-CALST-
Military Combatant : Decoy,S-S-CD----
Military Combatant : Surface Combatant- Line,S-S-CL----
Military Combatant : Surface Combatant- Line : Battleship,S-S-CLBB--
Military Combatant : Surface Combatant- Line : Cruiser,S-S-CLCC--
Military Combatant : Carrier,S-S-CLCV--
Military Combatant : Surface Combatant- Line : Destroyer,S-S-CLDD--
Military Combatant : Surface Combatant- Line : Frigate,S-S-CLFF--
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship,S-S-CLLL--
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship : Mission Area : Antisubmarine Warfare (Sea Surface),S-S-CLLLAS
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship : Mission Area : Mine Warfare (Sea Surface),S-S-CLLLMI
Military Combatant : Surface Combatant- Line : Littoral Combatant Ship : Mission Area : Surface Warfare (Sea Surface),S-S-CLLLSU
Military Combatant : Mine Warfare Ship,S-S-CM----
Military Combatant : Mine Warfare Ship : Mine Countermeasures- Support Ship,S-S-CMMA--
Military Combatant : Mine Warfare Ship : Mine Hunter,S-S-CMMH--
Military Combatant : Mine Warfare Ship : Mine Layer,S-S-CMML--
Military Combatant : Mine Warfare Ship : Mine Sweeper,S-S-CMMS--
Military Combatant : Patrol Boat,S-S-CP----
Military Combatant : Patrol Boat : Patrol Craft- Submarine Chaser/Escort- General,S-S-CPSB--
Military Combatant : Patrol Boat : USV Control : Autonomous Control,S-S-CPSU--
Military Combatant : Patrol Boat : Patrol Ship- General,S-S-CPSUG-
Military Combatant : Patrol Boat : Weapons Capability : Torpedo,S-S-CPSUT-
Military Combatant : Unmanned Surface Water Vehicle (USV),S-S-CU----
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Mine Countermeasures (Sea Surface),S-S-CUM---
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Surface Warfare (Sea Surface),S-S-CUN---
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Remote Multi-Mission Vehicle (USV-only),S-S-CUR---
Military Combatant : Unmanned Surface Water Vehicle (USV) : Mission Area : Antisubmarine Warfare (Sea Surface),S-S-CUS---
Military Combatant : Navy Task Organization,S-S-G-----
Military Combatant : Navy Task Organization : Convoy,S-S-GC----
Military Combatant : Navy Task Organization : Navy Task Group,S-S-GG----
Military Combatant : Navy Task Organization : Navy Task Force,S-S-GT----
Military Combatant : Navy Task Organization : Navy Task Unit,S-S-GU----
Military Noncombatant,S-S-N-----
Military Noncombatant : Auxiliary Ship : Submarine Tender,S-S-NF----
Military Noncombatant : Auxiliary Ship : Intelligence Collector,S-S-NI----
Military Noncombatant : Auxiliary Ship : Hospital Ship,S-S-NM----
Military Noncombatant : Auxiliary Ship : Repair Ship,S-S-NR----
Military Noncombatant : Service Craft/Yard,S-S-NS----
Own Ship,S-S-O-----
Civilian (Sea Surface) : Leisure Craft- Motorized,S-S-XA----
Civilian (Sea Surface) : Leisure Craft- Motorized : Rigid-Hull Inflatable Boat,S-S-XAR---
Civilian (Sea Surface) : Leisure Craft- Motorized : Speedboat,S-S-XAS---
Civilian (Sea Surface) : Fishing Vessel,S-S-XF----
Civilian (Sea Surface) : Fishing Vessel : Drifter,S-S-XFDF--
Civilian (Sea Surface) : Fishing Vessel : Dredger,S-S-XFDR--
Civilian (Sea Surface) : Fishing Vessel : Trawler,S-S-XFTR--
Civilian (Sea Surface) : Merchant Ship : Hovercraft,S-S-XH----
Civilian (Sea Surface) : Law Enforcement Vessel,S-S-XL----
Civilian (Sea Surface) : Merchant Ship,S-S-XM----
Civilian (Sea Surface) : Merchant Ship : Cargo- General,S-S-XMC---
Civilian (Sea Surface) : Merchant Ship : Ferry,S-S-XMF---
Civilian (Sea Surface) : Merchant Ship : Transport Ship- Hazardous Material,S-S-XMH---
Civilian (Sea Surface) : Merchant Ship : Oiler/Tanker,S-S-XMO---
Civilian (Sea Surface) : Merchant Ship : Passenger,S-S-XMP---
Civilian (Sea Surface) : Merchant Ship : Roll On/Roll Off,S-S-XMR---
Civilian (Sea Surface) : Merchant Ship : Tow,S-S-XMTO--
Civilian (Sea Surface) : Merchant Ship : Tug- Ocean Going,S-S-XMTU--
Civilian (Sea Surface) : Jet Ski,S-S-XP----
Civilian (Sea Surface) : Leisure Craft- Sailing,S-S-XR----
