Name,Value
Sea Subsurface : Military,35110000
Sea Subsurface : Military : Submarine,35110100
Sea Subsurface : Military : Submarine : Submarine-Surfaced,35110101
Sea Subsurface : Military : Submarine : Submarine-Snorkeling,35110102
Sea Subsurface : Military : Submarine : Submarine-Bottomed,35110103
Sea Subsurface : Military : Other Submersible,35110200
Sea Subsurface : Military : Nonsubmarine,35110300
Sea Subsurface : Military : Autonomous Underwater Vehicle (AUV)/Unmanned Underwater Vehicle (UUV),35110400
Sea Subsurface : Military : Diver,35110500
Sea Subsurface : Civilian,35120000
Sea Subsurface : Civilian : Submersible,35120100
Sea Subsurface : Civilian : Autonomous Underwater Vehicle (AUV)/ Underwater Vehicle (UUV),35120200
Sea Subsurface : Civilian : Diver,35120300
Sea Subsurface : Weapon,35130000
Sea Subsurface : Weapon : Torpedo,35130100
Sea Subsurface : Weapon : Improvised Explosive Device (IED),35130200
Sea Subsurface : Weapon : Decoy,35130300
Sea Subsurface : Echo Tracker Classifier (ETC) / Possible Contact (POSCON),35140000
Sea Subsurface : Fused Track,35150000
Sea Subsurface : Manual Track,35160000
Mine Warfare : Sea Mine-General,36110000
Mine Warfare : Sea Mine-General : Sea Mine-Bottom,36110100
Mine Warfare : Sea Mine-General : Sea Mine-Moored,36110200
Mine Warfare : Sea Mine-General : Sea Mine-Floating,36110300
Mine Warfare : Sea Mine-General : Sea Mine-Rising,36110400
Mine Warfare : Sea Mine-General : Sea Mine-Other Position,36110500
Mine Warfare : Sea Mine-General : Kingfisher,36110600
Mine Warfare : Sea Mine-General : Small Object-Mine-Like,36110700
Mine Warfare : Sea Mine-General : Exercise Mine-General,36110800
Mine Warfare : Sea Mine-General : Exercise Mine-General : Exercise Mine-Bottom,36110801
Mine Warfare : Sea Mine-General : Exercise Mine-General : Exercise Mine-Moored,36110802
Mine Warfare : Sea Mine-General : Exercise Mine-General : Exercise Mine-Floating,36110803
Mine Warfare : Sea Mine-General : Exercise Mine-General : Exercise Mine-Rising,36110804
Mine Warfare : Sea Mine-General : Neutralized Mine-General,36110900
Mine Warfare : Sea Mine-General : Neutralized Mine-General : Neutralized Mine-Bottom,36110901
Mine Warfare : Sea Mine-General : Neutralized Mine-General : Neutralized Mine-Moored,36110902
Mine Warfare : Sea Mine-General : Neutralized Mine-General : Neutralized Mine-Floating,36110903
Mine Warfare : Sea Mine-General : Neutralized Mine-General : Neutralized Mine-Rising,36110904
Mine Warfare : Sea Mine-General : Neutralized Mine-General : Neutralized Mine-Other Position,36110905
Mine Warfare : Unexploded Ordnance,36120000
Mine Warfare : Sea Mine Decoy,36130000
Mine Warfare : Sea Mine Decoy : Sea Mine Decoy-Bottom,36130100
Mine Warfare : Sea Mine Decoy : Sea Mine Decoy-Moored,36130200
Mine Warfare : Mine-Like Contact (MILCO),36140000
Mine Warfare : Mine-Like Contact (MILCO) : MILCO - General,36140100
Mine Warfare : Mine-Like Contact (MILCO) : MILCO - General : MILCO - General-Confidence-Level 1,36140101
Mine Warfare : Mine-Like Contact (MILCO) : MILCO - General : MILCO - General-Confidence-Level 2,36140102
Mine Warfare : Mine-Like Contact (MILCO) : MILCO - General : MILCO - General-Confidence-Level 3,36140103
